,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년06월_계_총인구수,"457,953","31,871","30,911","22,718","26,279","42,580","21,112","21,489","16,115","18,563","15,233","12,446","20,890","21,066","20,225","47,073","34,029","25,190","30,163"
2020년06월_계_연령구간인구수,"457,953","31,871","30,911","22,718","26,279","42,580","21,112","21,489","16,115","18,563","15,233","12,446","20,890","21,066","20,225","47,073","34,029","25,190","30,163"
2020년06월_계_0~9세,"32,920","3,073","1,815","1,445","1,491","3,528","1,082","1,546",959,"1,575","1,041","1,297","1,154","1,861","1,360","3,632","1,858","2,142","2,061"
2020년06월_계_10~19세,"51,445","5,151","2,645","1,558","3,477","7,642","1,378","1,813","1,182","1,677","1,349","1,136","1,455","3,090","2,975","5,380","2,350","3,695","3,492"
2020년06월_계_20~29세,"60,646","3,472","5,105","3,640","4,200","4,665","2,705","2,682","2,116","2,173","2,149","1,457","2,723","2,520","2,657","6,027","5,345","3,248","3,762"
2020년06월_계_30~39세,"59,494","3,506","5,431","4,091","2,933","4,143","2,784","3,092","2,109","2,601","2,201","2,311","2,731","2,151","1,875","5,935","5,357","2,899","3,344"
2020년06월_계_40~49세,"80,086","7,038","4,692","3,294","4,699","9,378","3,208","3,379","2,325","3,056","2,358","1,969","3,038","4,141","3,886","8,263","5,328","4,772","5,262"
2020년06월_계_50~59세,"76,969","4,968","5,023","3,744","4,851","6,728","3,995","3,396","3,056","2,884","2,600","1,838","3,687","3,540","3,654","7,865","5,469","4,375","5,296"
2020년06월_계_60~69세,"56,132","2,796","3,756","2,948","2,595","3,937","3,492","3,279","2,516","2,690","2,065","1,491","3,419","2,127","2,183","5,636","4,740","2,564","3,898"
2020년06월_계_70~79세,"27,938","1,305","1,660","1,333","1,433","1,672","1,819","1,674","1,329","1,353","1,057",690,"1,824","1,100","1,083","3,025","2,634",963,"1,984"
2020년06월_계_80~89세,"10,483",467,664,574,524,713,548,545,458,491,362,207,761,436,466,"1,113",822,432,900
2020년06월_계_90~99세,"1,667",89,108,75,69,169,89,75,53,54,44,40,96,94,71,185,111,98,147
2020년06월_계_100세 이상,173,6,12,16,7,5,12,8,12,9,7,10,2,6,15,12,15,2,17
