,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년07월_계_총인구수,"1,853,339","228,198","280,925","281,366","114,369","151,662","46,040","28,254","25,766","64,273","40,826","62,662","37,998","34,858","69,399","54,223","81,522","32,307","53,440","45,126","50,210","30,425","39,490"
2020년07월_계_연령구간인구수,"1,853,339","228,198","280,925","281,366","114,369","151,662","46,040","28,254","25,766","64,273","40,826","62,662","37,998","34,858","69,399","54,223","81,522","32,307","53,440","45,126","50,210","30,425","39,490"
2020년07월_계_0~9세,"135,149","19,490","21,518","23,809","10,113","13,781","2,325","1,124","1,180","2,648","1,830","3,581","2,055","1,854","4,202","3,800","7,004","1,438","3,815","2,920","3,258","1,744","1,660"
2020년07월_계_10~19세,"169,577","25,200","26,816","30,728","9,355","16,185","3,047","2,027","1,914","3,965","2,652","5,833","2,892","2,572","5,374","4,579","8,790","2,088","4,271","3,313","3,682","2,246","2,048"
2020년07월_계_20~29세,"200,245","27,507","33,759","37,242","12,146","20,239","4,818","2,382","2,000","4,262","3,036","6,761","3,095","2,882","5,591","5,036","8,290","2,544","5,045","4,508","3,789","2,401","2,912"
2020년07월_계_30~39세,"189,273","27,265","31,580","33,246","14,545","18,895","3,687","1,771","1,715","3,797","2,624","4,848","2,888","2,551","5,288","5,062","9,256","2,182","4,945","3,823","4,159","2,275","2,871"
2020년07월_계_40~49세,"262,157","38,187","42,411","43,778","16,251","24,104","5,251","3,131","2,994","6,450","4,271","8,494","4,234","3,832","8,192","7,618","12,688","3,562","6,669","5,708","6,328","3,575","4,429"
2020년07월_계_50~59세,"314,722","36,735","48,586","49,147","17,231","28,812","8,138","4,923","4,648","10,466","6,770","11,312","6,379","5,750","11,778","9,385","12,447","5,592","8,678","7,575","8,184","5,032","7,154"
2020년07월_계_60~69세,"265,419","28,394","39,911","33,008","15,676","16,259","8,035","4,889","4,553","12,521","7,531","9,122","6,457","6,084","12,112","7,883","10,482","5,817","8,369","7,101","8,465","5,165","7,585"
2020년07월_계_70~79세,"192,186","17,481","24,163","18,804","11,527","8,027","6,331","4,324","3,913","11,440","6,686","7,488","5,500","5,281","10,091","6,336","7,815","5,216","7,137","5,982","7,427","4,778","6,439"
