,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년08월_계_총인구수,"375,133","21,634","27,239","34,332","20,885","37,509","18,424","32,599","17,554","22,411","17,589","17,012","8,868","11,181","17,921","20,335","14,088","12,381","23,171"
2020년08월_계_연령구간인구수,"375,133","21,634","27,239","34,332","20,885","37,509","18,424","32,599","17,554","22,411","17,589","17,012","8,868","11,181","17,921","20,335","14,088","12,381","23,171"
2020년08월_계_0~9세,"25,613","1,500","1,196","3,023","1,196","2,835","1,031","3,281","1,271","1,710",613,"1,194",317,826,"1,021","2,144",750,486,"1,219"
2020년08월_계_10~19세,"24,373","1,327",860,"2,906","1,018","2,304",984,"2,925","1,020","1,625",930,"1,184",615,748,"1,117","1,762",871,628,"1,549"
2020년08월_계_20~29세,"58,387","2,831","6,346","3,928","3,619","7,399","2,763","3,785","2,679","3,683","3,408","2,173","1,261","1,434","3,079","2,842","2,107","1,854","3,196"
2020년08월_계_30~39세,"68,153","3,365","6,620","5,370","4,243","8,185","3,313","6,095","4,293","5,106","2,966","2,549","1,106","1,629","2,915","3,498","1,845","1,691","3,364"
2020년08월_계_40~49세,"55,990","3,200","3,443","5,539","2,958","5,242","2,812","5,878","2,843","3,411","2,478","2,543","1,203","1,643","2,463","3,326","2,009","1,715","3,284"
2020년08월_계_50~59세,"56,511","3,669","3,601","5,132","3,084","4,800","2,990","4,121","2,095","3,047","2,617","2,952","1,625","1,956","2,787","3,115","2,433","2,193","4,294"
2020년08월_계_60~69세,"46,123","3,157","2,968","4,099","2,606","3,737","2,305","3,495","1,732","2,174","2,253","2,423","1,472","1,663","2,502","2,102","2,091","1,846","3,498"
2020년08월_계_70~79세,"27,132","1,801","1,528","2,691","1,442","1,973","1,506","2,059","1,103","1,108","1,558","1,415",855,899,"1,391","1,046","1,405","1,409","1,943"
2020년08월_계_80~89세,"11,037",660,562,"1,416",624,867,616,808,440,476,659,505,352,319,558,436,498,501,740
2020년08월_계_90~99세,"1,536",110,91,205,80,134,87,126,69,65,86,66,47,48,75,51,64,52,80
2020년08월_계_100세 이상,278,14,24,23,15,33,17,26,9,6,21,8,15,16,13,13,15,6,4
2020년08월_남_총인구수,"185,603","11,062","14,695","16,111","10,245","17,590","9,259","16,043","8,665","11,136","8,935","8,404","4,449","5,411","8,771","10,133","7,008","6,062","11,624"
2020년08월_남_연령구간인구수,"185,603","11,062","14,695","16,111","10,245","17,590","9,259","16,043","8,665","11,136","8,935","8,404","4,449","5,411","8,771","10,133","7,008","6,062","11,624"
2020년08월_남_0~9세,"13,039",745,584,"1,518",600,"1,428",544,"1,689",679,868,305,634,151,410,512,"1,147",392,244,589
2020년08월_남_10~19세,"12,717",710,473,"1,442",509,"1,151",513,"1,500",515,867,480,615,334,368,643,939,495,309,854
2020년08월_남_20~29세,"27,450","1,511","2,764","1,816","1,643","3,048","1,315","1,809","1,183","1,683","1,674","1,070",675,721,"1,465","1,430","1,039",946,"1,658"
2020년08월_남_30~39세,"35,035","1,758","3,695","2,441","2,209","3,965","1,740","2,932","2,225","2,637","1,711","1,321",614,854,"1,501","1,720",986,913,"1,813"
2020년08월_남_40~49세,"28,751","1,680","2,050","2,619","1,532","2,570","1,498","2,984","1,511","1,713","1,342","1,308",620,829,"1,249","1,676","1,060",875,"1,635"
2020년08월_남_50~59세,"28,739","1,900","2,265","2,466","1,551","2,299","1,568","2,107","1,074","1,583","1,384","1,471",812,944,"1,353","1,540","1,201","1,079","2,142"
2020년08월_남_60~69세,"22,422","1,607","1,808","1,915","1,243","1,811","1,131","1,635",794,"1,092","1,070","1,154",733,749,"1,161","1,010",979,830,"1,700"
2020년08월_남_70~79세,"12,494",840,792,"1,208",666,927,680,984,508,488,673,634,359,416,640,492,640,634,913
2020년08월_남_80~89세,"4,460",272,230,608,265,343,241,348,158,185,271,179,135,109,227,163,200,223,303
2020년08월_남_90~99세,424,37,30,75,24,37,22,45,17,18,21,15,10,7,15,14,13,7,17
2020년08월_남_100세 이상,72,2,4,3,3,11,7,10,1,2,4,3,6,4,5,2,3,2,0
2020년08월_여_총인구수,"189,530","10,572","12,544","18,221","10,640","19,919","9,165","16,556","8,889","11,275","8,654","8,608","4,419","5,770","9,150","10,202","7,080","6,319","11,547"
2020년08월_여_연령구간인구수,"189,530","10,572","12,544","18,221","10,640","19,919","9,165","16,556","8,889","11,275","8,654","8,608","4,419","5,770","9,150","10,202","7,080","6,319","11,547"
2020년08월_여_0~9세,"12,574",755,612,"1,505",596,"1,407",487,"1,592",592,842,308,560,166,416,509,997,358,242,630
