카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년10월_계_총인구수,"2,639,763","503,456","230,800","272,656","253,282","140,413","158,834","416,722","103,386","101,840","97,633","71,318","262,566","23,351","51,879","25,110","16,670","36,473","42,409","31,398","43,205","114,780","55,437","31,625","48,776","9,200"
2020년10월_계_연령구간인구수,"2,639,763","503,456","230,800","272,656","253,282","140,413","158,834","416,722","103,386","101,840","97,633","71,318","262,566","23,351","51,879","25,110","16,670","36,473","42,409","31,398","43,205","114,780","55,437","31,625","48,776","9,200"
2020년10월_계_0~9세,"191,307","40,108","17,674","22,434","16,357","10,521","10,736","41,714","6,150","5,776","5,248","4,090","20,629",696,"1,954",982,742,"1,695","1,554","1,426","1,920","9,609","4,625","1,421","2,946",408
2020년10월_계_10~19세,"226,880","46,889","21,319","25,570","20,935","12,135","13,821","45,204","8,945","6,684","7,655","5,624","22,716",987,"2,327","1,233",951,"2,130","2,284","2,071","2,283","11,542","4,343","1,858","3,792",471
2020년10월_계_20~29세,"283,897","56,539","26,227","30,312","26,888","14,687","16,651","56,661","9,646","10,157","8,222","6,130","35,844","1,524","3,155","1,722","1,127","2,466","2,868","2,512","3,477","12,144","4,076","2,030","4,518",853
2020년10월_계_30~39세,"293,035","60,119","27,187","32,932","25,542","15,256","15,521","65,998","8,595","9,464","7,536","5,763","33,155","1,347","3,291","1,716","1,037","2,448","2,843","2,297","3,259","15,174","5,471","2,000","4,314",889
2020년10월_계_40~49세,"384,467","77,218","35,690","41,528","36,835","19,374","22,412","73,395","13,982","12,727","11,592","8,809","41,549","2,179","4,735","2,400","1,734","3,931","4,462","3,904","4,762","20,533","7,069","3,252","6,306","1,307"
2020년10월_계_50~59세,"460,369","90,502","41,622","48,880","46,779","23,943","26,560","69,766","18,077","18,311","16,839","12,036","44,664","4,340","8,786","4,733","2,994","6,232","7,364","5,911","8,542","19,579","8,089","5,817","8,627","1,878"
2020년10월_계_60~69세,"404,700","77,846","36,351","41,495","40,711","21,742","25,347","38,845","18,225","18,444","18,190","13,283","34,414","5,314","11,710","5,486","3,406","7,337","9,563","6,204","9,149","13,547","9,289","6,780","8,099","1,769"
2020년10월_계_70~79세,"241,358","36,753","17,101","19,652","24,477","13,452","16,675","15,981","11,900","12,532","12,673","9,312","19,286","4,030","8,998","4,064","2,701","5,953","6,592","4,103","5,838","7,637","6,898","4,745","5,718","1,040"
