,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년08월_계_총인구수,"92,224","16,705","19,619","2,883","3,013","12,986","15,705","6,863","4,509","9,941"
2021년08월_계_연령구간인구수,"92,224","16,705","19,619","2,883","3,013","12,986","15,705","6,863","4,509","9,941"
2021년08월_계_0~9세,"5,568",849,"1,180",51,59,"1,479","1,053",236,167,494
2021년08월_계_10~19세,"7,467","1,350","1,909",114,121,"1,104","1,505",400,217,747
2021년08월_계_20~29세,"9,224","1,656","2,155",140,161,"1,349","1,798",622,336,"1,007"
2021년08월_계_30~39세,"9,229","1,437","1,890",165,156,"2,315","1,656",510,301,799
2021년08월_계_40~49세,"13,379","2,229","3,190",210,213,"2,236","2,764",825,464,"1,248"
2021년08월_계_50~59세,"17,380","3,122","3,909",507,513,"1,790","3,273","1,506",882,"1,878"
2021년08월_계_60~69세,"16,279","3,250","3,045",752,854,"1,586","2,160","1,523","1,088","2,021"
2021년08월_계_70~79세,"8,135","1,738","1,411",521,517,689,903,722,587,"1,047"
2021년08월_계_80~89세,"4,817",937,812,366,354,374,521,450,394,609
2021년08월_계_90~99세,726,135,113,55,63,64,72,65,70,89
2021년08월_계_100세 이상,20,2,5,2,2,0,0,4,3,2
2021년08월_남_총인구수,"48,801","8,530","10,483","1,485","1,565","6,891","8,587","3,808","2,417","5,035"
2021년08월_남_연령구간인구수,"48,801","8,530","10,483","1,485","1,565","6,891","8,587","3,808","2,417","5,035"
2021년08월_남_0~9세,"2,897",439,618,28,27,781,545,136,87,236
2021년08월_남_10~19세,"3,894",685,"1,036",62,74,568,787,211,110,361
2021년08월_남_20~29세,"5,321",940,"1,278",81,98,699,"1,080",389,213,543
2021년08월_남_30~39세,"5,197",781,"1,071",110,87,"1,250",967,310,184,437
2021년08월_남_40~49세,"7,480","1,214","1,737",137,142,"1,240","1,515",518,287,690
2021년08월_남_50~59세,"9,648","1,644","2,210",281,275,976,"1,886",873,507,996
2021년08월_남_60~69세,"8,676","1,669","1,582",396,473,898,"1,188",853,582,"1,035"
2021년08월_남_70~79세,"3,870",807,636,246,265,331,430,353,289,513
2021년08월_남_80~89세,"1,649",315,284,133,111,136,170,150,146,204
2021년08월_남_90~99세,163,35,30,11,13,12,19,13,11,19
2021년08월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년08월_여_총인구수,"43,423","8,175","9,136","1,398","1,448","6,095","7,118","3,055","2,092","4,906"
2021년08월_여_연령구간인구수,"43,423","8,175","9,136","1,398","1,448","6,095","7,118","3,055","2,092","4,906"
2021년08월_여_0~9세,"2,671",410,562,23,32,698,508,100,80,258
2021년08월_여_10~19세,"3,573",665,873,52,47,536,718,189,107,386
2021년08월_여_20~29세,"3,903",716,877,59,63,650,718,233,123,464
2021년08월_여_30~39세,"4,032",656,819,55,69,"1,065",689,200,117,362
2021년08월_여_40~49세,"5,899","1,015","1,453",73,71,996,"1,249",307,177,558
2021년08월_여_50~59세,"7,732","1,478","1,699",226,238,814,"1,387",633,375,882
2021년08월_여_60~69세,"7,603","1,581","1,463",356,381,688,972,670,506,986
2021년08월_여_70~79세,"4,265",931,775,275,252,358,473,369,298,534
2021년08월_여_80~89세,"3,168",622,528,233,243,238,351,300,248,405
2021년08월_여_90~99세,563,100,83,44,50,52,53,52,59,70
2021년08월_여_100세 이상,14,1,4,2,2,0,0,2,2,1
