카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년07월_계_총인구수,"140,627","7,190","3,027","3,140","2,491","3,334","4,098","3,202","3,496","1,956","2,266","2,854","1,601","1,266","2,213","1,062","6,836","7,818","4,009","24,898","20,590","11,043","22,237"
2020년07월_계_연령구간인구수,"140,627","7,190","3,027","3,140","2,491","3,334","4,098","3,202","3,496","1,956","2,266","2,854","1,601","1,266","2,213","1,062","6,836","7,818","4,009","24,898","20,590","11,043","22,237"
2020년07월_계_0~9세,"10,668",394,112,75,63,77,157,99,95,57,63,54,35,25,56,13,233,254,152,"2,172","1,451",919,"4,112"
2020년07월_계_10~19세,"12,167",433,136,150,103,109,201,146,189,82,100,92,58,41,197,36,390,446,246,"3,029","2,337","1,120","2,526"
2020년07월_계_20~29세,"14,788",590,254,256,199,187,320,269,316,150,143,184,92,67,124,48,648,848,333,"3,595","2,410","1,402","2,353"
2020년07월_계_30~39세,"15,453",603,217,192,145,183,221,204,221,123,127,139,76,51,118,29,566,735,272,"2,864","2,147","1,327","4,893"
2020년07월_계_40~49세,"19,494",855,308,307,210,256,427,288,319,184,215,207,118,113,164,96,845,895,418,"4,096","3,028","1,885","4,260"
2020년07월_계_50~59세,"23,948","1,457",558,604,484,599,753,641,747,385,438,547,277,223,388,235,"1,151","1,369",698,"4,234","3,755","1,906","2,499"
2020년07월_계_60~69세,"21,441","1,394",640,685,594,782,875,734,778,410,521,660,363,307,463,272,"1,502","1,606",829,"2,660","2,924","1,425","1,017"
2020년07월_계_70~79세,"13,506",842,454,481,408,594,675,508,472,291,346,518,313,240,379,154,"1,022","1,050",684,"1,380","1,608",708,379
2020년07월_계_80~89세,"7,978",535,308,326,247,477,394,277,301,241,270,383,231,172,288,158,426,538,339,767,826,303,171
2020년07월_계_90~99세,"1,130",85,40,59,38,69,71,34,54,32,41,69,34,25,34,19,53,72,35,94,101,46,25
2020년07월_계_100세 이상,54,2,0,5,0,1,4,2,4,1,2,1,4,2,2,2,0,5,3,7,3,2,2
2020년07월_남_총인구수,"70,548","3,618","1,576","1,613","1,252","1,664","2,080","1,641","1,782","1,010","1,124","1,411",801,631,"1,108",516,"3,480","3,837","1,942","12,318","10,290","5,628","11,226"
