,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년12월_계_총인구수,"667,960","13,901","25,518","12,980","19,243","19,731","19,561","16,188","26,169","18,484","39,504","24,813","20,646","32,527","31,455","27,057","27,792","33,015","20,689","29,378","30,199","30,305","28,572","36,110","35,316","21,721","17,198","9,888"
2020년12월_계_연령구간인구수,"667,960","13,901","25,518","12,980","19,243","19,731","19,561","16,188","26,169","18,484","39,504","24,813","20,646","32,527","31,455","27,057","27,792","33,015","20,689","29,378","30,199","30,305","28,572","36,110","35,316","21,721","17,198","9,888"
2020년12월_계_0~9세,"50,744",691,"1,980",670,"1,346",989,918,"1,095","1,220","1,321","2,866","1,246","1,637","1,627","1,596","1,646","3,251","2,582","1,351","1,683","2,421","4,925","1,281","4,167","3,298","2,844","1,486",607
2020년12월_계_10~19세,"59,068",900,"2,066","1,024","1,571","1,619","1,379","1,688","1,249","2,812","3,229","1,388","1,947","1,930","2,036","1,882","2,207","3,560","1,529","1,470","2,802","3,890","1,801","5,881","4,056","2,366","1,755","1,031"
2020년12월_계_20~29세,"94,119","1,721","3,840","1,849","2,246","2,383","2,476","2,488","5,184","2,183","5,605","4,603","2,925","5,625","5,383","4,197","3,548","4,581","3,303","5,276","4,123","2,919","5,109","3,305","3,917","2,035","2,011","1,284"
2020년12월_계_30~39세,"110,590","1,943","4,297","1,756","2,686","2,235","2,295","2,280","5,993","1,717","5,693","5,426","3,071","7,044","6,676","4,787","5,341","4,839","3,591","7,524","4,828","5,297","6,173","4,096","4,486","3,120","2,370","1,026"
2020년12월_계_40~49세,"109,299","1,995","4,063","1,959","3,039","2,859","2,774","2,693","3,663","3,404","5,844","3,506","3,187","4,925","5,195","3,894","4,451","5,652","2,895","4,321","4,808","6,151","4,448","8,705","6,297","4,387","2,776","1,408"
2020년12월_계_50~59세,"102,566","2,449","3,703","2,333","3,331","3,615","3,717","2,700","3,652","3,131","6,878","3,517","3,365","4,732","4,515","4,754","4,028","5,273","3,392","3,550","4,906","3,504","4,138","4,852","5,307","2,898","2,657","1,669"
2020년12월_계_60~69세,"84,184","2,436","3,280","1,927","2,749","3,274","3,389","1,952","3,162","2,445","5,679","3,072","2,842","3,931","3,680","3,648","3,283","4,070","2,933","3,136","3,759","2,276","3,389","2,898","4,659","2,434","2,436","1,445"
2020년12월_계_70~79세,"40,440","1,242","1,626","1,042","1,573","1,906","1,769",859,"1,503","1,023","2,510","1,496","1,169","1,996","1,717","1,572","1,305","1,701","1,207","1,621","1,720",950,"1,621","1,601","2,450","1,174","1,157",930
