,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년10월_계_총인구수,"28,405","10,348","5,266","2,467","2,078","3,202","1,859","1,507","1,678"
2021년10월_계_연령구간인구수,"28,405","10,348","5,266","2,467","2,078","3,202","1,859","1,507","1,678"
2021년10월_계_0~9세,"1,104",592,239,62,50,67,41,20,33
2021년10월_계_10~19세,"1,890",909,399,98,133,170,61,28,92
2021년10월_계_20~29세,"2,062","1,063",420,124,104,123,79,60,89
2021년10월_계_30~39세,"1,847",961,384,88,75,122,64,76,77
2021년10월_계_40~49세,"3,096","1,415",655,193,173,296,134,110,120
2021년10월_계_50~59세,"5,347","1,897",956,477,386,656,374,279,322
2021년10월_계_60~69세,"6,762","1,926","1,071",708,599,888,592,481,497
2021년10월_계_70~79세,"3,779",976,716,408,337,529,300,256,257
2021년10월_계_80~89세,"2,218",532,381,263,196,308,194,174,170
2021년10월_계_90~99세,287,73,44,43,24,42,20,22,19
2021년10월_계_100세 이상,13,4,1,3,1,1,0,1,2
2021년10월_남_총인구수,"14,397","5,180","2,732","1,232","1,111","1,527","1,021",769,825
2021년10월_남_연령구간인구수,"14,397","5,180","2,732","1,232","1,111","1,527","1,021",769,825
2021년10월_남_0~9세,578,303,134,29,30,32,24,8,18
2021년10월_남_10~19세,"1,014",465,221,53,84,94,41,13,43
2021년10월_남_20~29세,"1,202",596,259,63,61,83,57,29,54
2021년10월_남_30~39세,999,514,221,46,41,59,32,49,37
2021년10월_남_40~49세,"1,699",740,370,104,105,151,86,73,70
2021년10월_남_50~59세,"2,866","1,013",527,269,206,329,201,152,169
2021년10월_남_60~69세,"3,486",935,537,375,318,430,348,269,274
2021년10월_남_70~79세,"1,683",415,311,186,177,229,143,116,106
2021년10월_남_80~89세,794,183,140,96,82,111,82,53,47
2021년10월_남_90~99세,73,16,11,10,7,9,7,7,6
2021년10월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년10월_여_총인구수,"14,008","5,168","2,534","1,235",967,"1,675",838,738,853
2021년10월_여_연령구간인구수,"14,008","5,168","2,534","1,235",967,"1,675",838,738,853
2021년10월_여_0~9세,526,289,105,33,20,35,17,12,15
2021년10월_여_10~19세,876,444,178,45,49,76,20,15,49
2021년10월_여_20~29세,860,467,161,61,43,40,22,31,35
2021년10월_여_30~39세,848,447,163,42,34,63,32,27,40
2021년10월_여_40~49세,"1,397",675,285,89,68,145,48,37,50
2021년10월_여_50~59세,"2,481",884,429,208,180,327,173,127,153
2021년10월_여_60~69세,"3,276",991,534,333,281,458,244,212,223
2021년10월_여_70~79세,"2,096",561,405,222,160,300,157,140,151
2021년10월_여_80~89세,"1,424",349,241,167,114,197,112,121,123
2021년10월_여_90~99세,214,57,33,33,17,33,13,15,13
2021년10월_여_100세 이상,10,4,0,2,1,1,0,1,1
