카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년05월_계_총인구수,"100,013","38,503","8,594","28,296","3,495","3,460","2,953","2,345","2,121","3,262","3,540","3,444"
2020년05월_계_연령구간인구수,"100,013","38,503","8,594","28,296","3,495","3,460","2,953","2,345","2,121","3,262","3,540","3,444"
2020년05월_계_0~9세,"7,959","2,606",295,"4,399",107,133,82,49,28,82,84,94
2020년05월_계_10~19세,"9,644","4,448",466,"3,596",142,233,117,75,69,149,165,184
2020년05월_계_20~29세,"9,722","4,895",613,"2,727",225,239,155,124,115,216,186,227
2020년05월_계_30~39세,"10,760","3,725",516,"5,185",217,190,145,106,108,156,209,203
2020년05월_계_40~49세,"14,607","6,228",845,"5,335",339,376,245,171,134,286,287,361
2020년05월_계_50~59세,"15,930","6,812","1,515","3,335",652,596,463,390,369,577,600,621
2020년05월_계_60~69세,"14,256","4,998","1,815","1,987",745,695,621,545,504,752,825,769
2020년05월_계_70~79세,"9,941","3,022","1,549","1,040",578,530,582,455,426,589,618,552
2020년05월_계_80~89세,"6,311","1,537",848,612,429,425,493,363,325,397,494,388
2020년05월_계_90~99세,824,216,112,77,60,41,48,66,43,51,67,43
2020년05월_계_100세 이상,59,16,20,3,1,2,2,1,0,7,5,2
2020년05월_남_총인구수,"49,731","19,094","4,215","14,154","1,771","1,759","1,423","1,179","1,030","1,607","1,765","1,734"
2020년05월_남_연령구간인구수,"49,731","19,094","4,215","14,154","1,771","1,759","1,423","1,179","1,030","1,607","1,765","1,734"
2020년05월_남_0~9세,"4,142","1,343",158,"2,293",60,74,42,27,13,36,47,49
2020년05월_남_10~19세,"4,914","2,261",245,"1,827",81,125,59,37,30,69,85,95
2020년05월_남_20~29세,"5,370","2,726",370,"1,362",135,156,91,79,75,132,112,132
2020년05월_남_30~39세,"5,559","1,914",306,"2,549",131,108,85,71,71,90,128,106
2020년05월_남_40~49세,"7,646","3,045",491,"2,716",214,215,161,110,87,191,193,223
2020년05월_남_50~59세,"8,277","3,482",766,"1,749",352,319,252,222,188,290,316,341
2020년05월_남_60~69세,"6,971","2,377",864,964,380,359,302,272,246,378,428,401
2020년05월_남_70~79세,"4,433","1,348",681,480,256,249,245,215,194,265,249,251
2020년05월_남_80~89세,"2,195",534,294,201,147,147,174,129,119,141,184,125
2020년05월_남_90~99세,206,57,35,13,14,7,11,17,7,13,21,11
2020년05월_남_100세 이상,18,7,5,0,1,0,1,0,0,2,2,0
2020년05월_여_총인구수,"50,282","19,409","4,379","14,142","1,724","1,701","1,530","1,166","1,091","1,655","1,775","1,710"
2020년05월_여_연령구간인구수,"50,282","19,409","4,379","14,142","1,724","1,701","1,530","1,166","1,091","1,655","1,775","1,710"
2020년05월_여_0~9세,"3,817","1,263",137,"2,106",47,59,40,22,15,46,37,45
2020년05월_여_10~19세,"4,730","2,187",221,"1,769",61,108,58,38,39,80,80,89
2020년05월_여_20~29세,"4,352","2,169",243,"1,365",90,83,64,45,40,84,74,95
2020년05월_여_30~39세,"5,201","1,811",210,"2,636",86,82,60,35,37,66,81,97
2020년05월_여_40~49세,"6,961","3,183",354,"2,619",125,161,84,61,47,95,94,138
2020년05월_여_50~59세,"7,653","3,330",749,"1,586",300,277,211,168,181,287,284,280
2020년05월_여_60~69세,"7,285","2,621",951,"1,023",365,336,319,273,258,374,397,368
2020년05월_여_70~79세,"5,508","1,674",868,560,322,281,337,240,232,324,369,301
2020년05월_여_80~89세,"4,116","1,003",554,411,282,278,319,234,206,256,310,263
2020년05월_여_90~99세,618,159,77,64,46,34,37,49,36,38,46,32
2020년05월_여_100세 이상,41,9,15,3,0,2,1,1,0,5,3,2
