,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년04월_계_총인구수,"654,251","259,211","24,176","4,164","4,336","4,355","3,292","2,316","6,139","2,175","5,572","3,723","8,962","9,589","17,512","24,822","45,315","56,044","36,719","395,040","25,012","22,416","19,546","8,766","16,395","25,856","14,335","38,602","19,275","41,022","69,053","40,138","54,624"
2020년04월_계_연령구간인구수,"654,251","259,211","24,176","4,164","4,336","4,355","3,292","2,316","6,139","2,175","5,572","3,723","8,962","9,589","17,512","24,822","45,315","56,044","36,719","395,040","25,012","22,416","19,546","8,766","16,395","25,856","14,335","38,602","19,275","41,022","69,053","40,138","54,624"
2020년04월_계_0~9세,"63,652","21,384","1,845",150,124,151,87,57,273,33,176,100,448,312,"1,061","2,386","5,057","6,253","2,871","42,268","1,391","2,040","1,451",322,823,"1,038",947,"3,663","1,542","5,951","10,580","3,513","9,007"
2020년04월_계_10~19세,"69,442","26,864","2,865",248,200,248,181,90,356,83,313,185,727,747,"1,435","3,298","5,974","7,064","2,850","42,578","2,400","2,496","1,930",605,"1,131","1,490","1,294","5,184","2,450","5,670","9,253","3,869","4,806"
2020년04월_계_20~29세,"95,276","35,518","2,756",392,389,386,265,204,766,141,556,499,"1,142","1,192","2,752","3,048","6,219","7,301","7,510","59,758","2,899","2,599","2,411",953,"2,447","6,454","2,514","6,062","2,741","5,188","8,715","8,709","8,066"
2020년04월_계_30~39세,"106,218","34,229","2,566",327,310,340,208,179,588,107,509,407,921,949,"2,377","2,778","7,201","8,732","5,730","71,989","2,324","3,179","2,761",758,"2,288","5,681","1,965","5,415","2,462","7,286","14,973","7,620","15,277"
2020년04월_계_40~49세,"111,563","43,437","4,620",466,466,535,342,235,757,185,710,492,"1,283","1,398","2,862","4,674","9,057","10,227","5,128","68,126","3,994","4,256","3,529","1,160","2,539","3,824","2,010","6,910","3,294","7,766","13,683","6,573","8,588"
2020년04월_계_50~59세,"102,147","44,077","4,326",807,907,906,658,458,"1,197",474,"1,102",724,"1,800","1,948","3,276","4,227","6,762","8,367","6,138","58,070","4,326","3,705","3,481","1,845","3,234","3,612","2,634","6,702","3,539","5,567","8,159","5,716","5,550"
2020년04월_계_60~69세,"59,760","29,561","2,686",884,938,884,737,490,"1,102",485,"1,142",706,"1,403","1,516","2,246","2,512","3,061","4,821","3,948","30,199","3,813","2,314","2,151","1,547","2,205","2,335","1,854","2,904","1,826","2,272","2,388","2,437","2,153"
2020년04월_계_70~79세,"29,302","15,157","1,503",507,559,511,482,327,619,366,713,400,810,983,"1,016","1,265","1,241","2,146","1,709","14,145","2,450","1,170","1,134",950,"1,186",961,740,"1,114",875,874,844,"1,087",760
2020년04월_계_80~89세,"14,618","7,766",890,332,379,344,289,250,401,255,304,182,366,487,409,553,642,961,722,"6,852","1,229",569,620,531,479,388,315,581,469,384,388,538,361
2020년04월_계_90~99세,"2,106","1,133",119,51,62,49,40,24,72,42,36,26,53,51,69,76,98,162,103,973,157,85,74,82,55,67,61,62,75,62,67,71,55
2020년04월_계_100세 이상,167,85,0,0,2,1,3,2,8,4,11,2,9,6,9,5,3,10,10,82,29,3,4,13,8,6,1,5,2,2,3,5,1
2020년04월_남_총인구수,"333,525","131,359","12,400","2,241","2,185","2,244","1,725","1,251","3,231","1,161","2,948","1,962","4,667","4,939","8,957","12,423","23,048","28,003","17,974","202,166","12,963","11,690","10,636","4,684","8,617","13,754","7,079","18,977","9,323","20,528","34,657","20,710","28,548"
