카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년12월_계_총인구수,"22,278","14,214","3,381","2,024","1,346","1,313"
2020년12월_계_연령구간인구수,"22,278","14,214","3,381","2,024","1,346","1,313"
2020년12월_계_0~9세,"1,702","1,437",115,65,45,40
2020년12월_계_10~19세,"2,047","1,625",184,91,64,83
2020년12월_계_20~29세,"3,171","1,869",436,442,307,117
2020년12월_계_30~39세,"2,547","1,985",243,130,100,89
2020년12월_계_40~49세,"2,556","1,873",302,158,83,140
2020년12월_계_50~59세,"3,547","2,033",670,352,209,283
2020년12월_계_60~69세,"3,365","1,803",677,351,263,271
2020년12월_계_70~79세,"2,020",949,460,270,157,184
2020년12월_계_80~89세,"1,160",564,256,141,105,94
2020년12월_계_90~99세,148,65,34,24,13,12
2020년12월_계_100세 이상,15,11,4,0,0,0
2020년12월_남_총인구수,"11,829","7,295","1,858","1,164",803,709
2020년12월_남_연령구간인구수,"11,829","7,295","1,858","1,164",803,709
2020년12월_남_0~9세,861,719,62,32,22,26
2020년12월_남_10~19세,"1,035",804,100,46,38,47
2020년12월_남_20~29세,"2,132","1,127",335,339,259,72
2020년12월_남_30~39세,"1,415","1,063",147,91,66,48
2020년12월_남_40~49세,"1,396",992,180,93,47,84
2020년12월_남_50~59세,"1,887","1,045",378,186,119,159
2020년12월_남_60~69세,"1,788",933,360,199,146,150
2020년12월_남_70~79세,873,402,200,118,64,89
2020년12월_남_80~89세,398,186,86,53,40,33
2020년12월_남_90~99세,38,19,9,7,2,1
2020년12월_남_100세 이상,6,5,1,0,0,0
2020년12월_여_총인구수,"10,449","6,919","1,523",860,543,604
2020년12월_여_연령구간인구수,"10,449","6,919","1,523",860,543,604
2020년12월_여_0~9세,841,718,53,33,23,14
2020년12월_여_10~19세,"1,012",821,84,45,26,36
2020년12월_여_20~29세,"1,039",742,101,103,48,45
2020년12월_여_30~39세,"1,132",922,96,39,34,41
2020년12월_여_40~49세,"1,160",881,122,65,36,56
2020년12월_여_50~59세,"1,660",988,292,166,90,124
2020년12월_여_60~69세,"1,577",870,317,152,117,121
2020년12월_여_70~79세,"1,147",547,260,152,93,95
2020년12월_여_80~89세,762,378,170,88,65,61
2020년12월_여_90~99세,110,46,25,17,11,11
2020년12월_여_100세 이상,9,6,3,0,0,0
