,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년07월_계_총인구수,"316,241","18,516","24,390","16,373","20,995","8,889","27,201","48,870","20,470","31,872","26,500","30,212","16,898","14,301","10,754"
2021년07월_계_연령구간인구수,"316,241","18,516","24,390","16,373","20,995","8,889","27,201","48,870","20,470","31,872","26,500","30,212","16,898","14,301","10,754"
2021년07월_계_0~9세,"23,010",795,"1,904","1,263","1,738",474,"1,592","3,410","1,117","2,043","2,081","3,312","1,549","1,105",627
2021년07월_계_10~19세,"29,554","1,088","3,055","1,211","2,274",593,"2,001","4,297","1,646","3,370","3,104","3,293","1,813","1,250",559
2021년07월_계_20~29세,"44,543","2,456","3,165","2,100","2,773","1,330","4,161","7,854","3,079","5,729","3,595","3,261","2,205","1,765","1,070"
2021년07월_계_30~39세,"41,408","2,220","2,758","2,050","2,657","1,290","3,857","7,670","2,236","3,519","3,126","4,422","2,310","1,913","1,380"
2021년07월_계_40~49세,"50,262","2,421","4,263","2,460","3,580","1,384","4,081","8,299","2,871","5,026","4,159","5,481","2,574","2,264","1,399"
2021년07월_계_50~59세,"60,870","3,549","4,700","3,259","3,730","1,696","5,209","9,338","4,563","6,606","5,463","4,855","3,244","2,672","1,986"
2021년07월_계_60~69세,"43,231","3,688","2,859","2,545","2,719","1,302","4,106","5,648","3,149","3,651","3,444","3,545","2,232","2,211","2,132"
2021년07월_계_70~79세,"16,844","1,692","1,257","1,053","1,115",602,"1,499","1,757","1,243","1,343","1,105","1,500",720,809,"1,149"
2021년07월_계_80~89세,"5,838",551,374,377,357,199,633,524,510,523,383,492,222,286,407
2021년07월_계_90~99세,662,54,54,54,51,19,59,73,55,62,40,48,27,25,41
2021년07월_계_100세 이상,19,2,1,1,1,0,3,0,1,0,0,3,2,1,4
2021년07월_남_총인구수,"161,343","9,368","12,495","8,337","10,616","4,730","13,762","25,365","10,436","16,350","13,294","15,069","8,449","7,384","5,688"
2021년07월_남_연령구간인구수,"161,343","9,368","12,495","8,337","10,616","4,730","13,762","25,365","10,436","16,350","13,294","15,069","8,449","7,384","5,688"
2021년07월_남_0~9세,"11,816",419,"1,007",633,912,239,819,"1,726",624,"1,057","1,074","1,660",765,561,320
2021년07월_남_10~19세,"15,632",567,"1,646",647,"1,176",313,"1,075","2,277",863,"1,743","1,695","1,708",953,661,308
2021년07월_남_20~29세,"24,835","1,384","1,799","1,146","1,521",769,"2,304","4,310","1,720","3,313","2,054","1,745","1,186",972,612
2021년07월_남_30~39세,"22,167","1,245","1,438","1,102","1,419",729,"2,126","4,225","1,230","1,893","1,591","2,168","1,167","1,027",807
2021년07월_남_40~49세,"24,703","1,309","1,971","1,268","1,731",756,"2,055","4,086","1,440","2,357","1,828","2,695","1,199","1,196",812
2021년07월_남_50~59세,"30,462","1,738","2,431","1,638","1,871",880,"2,497","4,713","2,233","3,297","2,625","2,468","1,611","1,352","1,108"
2021년07월_남_60~69세,"21,507","1,732","1,439","1,252","1,315",663,"1,982","2,903","1,603","1,862","1,752","1,714","1,127","1,112","1,051"
2021년07월_남_70~79세,"8,041",761,608,488,528,299,685,929,544,629,545,729,365,411,520
2021년07월_남_80~89세,"2,066",205,148,155,133,80,207,181,169,189,124,169,73,87,146
2021년07월_남_90~99세,113,8,8,8,10,2,12,15,10,10,6,13,3,4,4
2021년07월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년07월_여_총인구수,"154,898","9,148","11,895","8,036","10,379","4,159","13,439","23,505","10,034","15,522","13,206","15,143","8,449","6,917","5,066"
2021년07월_여_연령구간인구수,"154,898","9,148","11,895","8,036","10,379","4,159","13,439","23,505","10,034","15,522","13,206","15,143","8,449","6,917","5,066"
2021년07월_여_0~9세,"11,194",376,897,630,826,235,773,"1,684",493,986,"1,007","1,652",784,544,307
2021년07월_여_10~19세,"13,922",521,"1,409",564,"1,098",280,926,"2,020",783,"1,627","1,409","1,585",860,589,251
2021년07월_여_20~29세,"19,708","1,072","1,366",954,"1,252",561,"1,857","3,544","1,359","2,416","1,541","1,516","1,019",793,458
2021년07월_여_30~39세,"19,241",975,"1,320",948,"1,238",561,"1,731","3,445","1,006","1,626","1,535","2,254","1,143",886,573
2021년07월_여_40~49세,"25,559","1,112","2,292","1,192","1,849",628,"2,026","4,213","1,431","2,669","2,331","2,786","1,375","1,068",587
2021년07월_여_50~59세,"30,408","1,811","2,269","1,621","1,859",816,"2,712","4,625","2,330","3,309","2,838","2,387","1,633","1,320",878
2021년07월_여_60~69세,"21,724","1,956","1,420","1,293","1,404",639,"2,124","2,745","1,546","1,789","1,692","1,831","1,105","1,099","1,081"
2021년07월_여_70~79세,"8,803",931,649,565,587,303,814,828,699,714,560,771,355,398,629
2021년07월_여_80~89세,"3,772",346,226,222,224,119,426,343,341,334,259,323,149,199,261
2021년07월_여_90~99세,549,46,46,46,41,17,47,58,45,52,34,35,24,21,37
2021년07월_여_100세 이상,18,2,1,1,1,0,3,0,1,0,0,3,2,0,4
