카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년07월_계_총인구수,"1,536,140","282,592","355,432","212,957","90,039","41,341","82,377","63,952","68,573","46,652","38,064","41,060","35,902","43,832","24,369","21,981","31,947","26,960","28,110"
2021년07월_계_연령구간인구수,"1,536,140","282,592","355,432","212,957","90,039","41,341","82,377","63,952","68,573","46,652","38,064","41,060","35,902","43,832","24,369","21,981","31,947","26,960","28,110"
2021년07월_계_0~9세,"102,580","20,975","27,738","13,097","6,409","2,397","5,721","3,657","3,671","2,118","1,590","1,777","1,683","3,234","1,745","1,684","2,474","1,301","1,309"
2021년07월_계_10~19세,"135,021","26,635","35,424","18,570","8,566","3,721","7,257","5,018","5,034","3,561","2,859","2,789","2,459","3,673","1,724","2,026","2,270","1,614","1,821"
2021년07월_계_20~29세,"176,875","37,272","45,121","24,932","9,363","3,540","8,928","6,896","6,587","3,778","3,149","3,259","2,700","5,470","3,715","2,926","4,213","2,643","2,383"
2021년07월_계_30~39세,"163,235","33,945","45,019","21,373","8,844","3,503","9,066","5,407","5,863","3,331","2,685","2,917","2,859","4,601","2,791","2,527","3,916","2,301","2,287"
2021년07월_계_40~49세,"220,452","41,944","56,734","31,957","14,333","6,132","12,236","8,608","8,053","5,006","4,381","5,153","4,748","5,555","2,614","2,480","3,936","3,078","3,504"
2021년07월_계_50~59세,"263,759","46,437","60,759","36,432","15,611","7,074","14,954","11,010","12,209","8,558","7,123","7,807","6,734","6,990","3,781","3,410","5,098","4,777","4,995"
2021년07월_계_60~69세,"253,985","40,534","48,562","35,106","14,429","7,734","13,491","11,607","14,730","10,825","8,337","9,243","7,737","7,028","4,055","3,573","5,590","5,543","5,861"
2021년07월_계_70~79세,"133,653","20,663","21,480","19,558","7,983","4,803","6,786","7,056","7,223","5,501","4,769","4,911","4,392","4,581","2,265","1,970","2,624","3,434","3,654"
2021년07월_계_80~89세,"74,741","12,215","12,641","10,192","3,936","2,161","3,319","4,052","4,528","3,410","2,804","2,817","2,254","2,329","1,446","1,199","1,565","1,929","1,944"
2021년07월_계_90~99세,"11,374","1,902","1,890","1,684",551,254,598,614,643,535,346,369,318,355,222,172,254,328,339
2021년07월_계_100세 이상,465,70,64,56,14,22,21,27,32,29,21,18,18,16,11,14,7,12,13
2021년07월_남_총인구수,"773,232","139,546","176,297","105,652","45,732","20,966","40,848","32,305","35,305","23,936","19,724","21,075","18,700","22,760","13,246","11,584","17,341","13,859","14,356"
2021년07월_남_연령구간인구수,"773,232","139,546","176,297","105,652","45,732","20,966","40,848","32,305","35,305","23,936","19,724","21,075","18,700","22,760","13,246","11,584","17,341","13,859","14,356"
2021년07월_남_0~9세,"52,541","10,773","14,146","6,764","3,296","1,267","2,914","1,861","1,862","1,117",838,884,870,"1,620",892,849,"1,252",664,672
2021년07월_남_10~19세,"70,136","13,860","18,275","9,734","4,461","1,935","3,772","2,567","2,561","1,864","1,548","1,458","1,268","1,918",866,"1,006","1,199",872,972
2021년07월_남_20~29세,"99,500","19,904","24,037","13,655","5,519","2,057","5,027","3,850","3,985","2,159","1,838","1,927","1,569","3,533","2,579","1,937","2,831","1,680","1,413"
2021년07월_남_30~39세,"85,889","17,354","22,840","11,277","4,747","1,860","4,863","2,917","3,213","1,754","1,462","1,582","1,584","2,553","1,651","1,404","2,261","1,313","1,254"
2021년07월_남_40~49세,"113,089","20,721","27,963","16,240","7,466","3,273","6,150","4,724","4,312","2,791","2,372","2,810","2,754","2,959","1,442","1,327","2,193","1,682","1,910"
2021년07월_남_50~59세,"136,100","23,368","30,529","18,434","8,115","3,804","7,402","5,953","6,468","4,524","3,966","4,196","3,750","3,731","2,044","1,823","2,721","2,588","2,684"
2021년07월_남_60~69세,"126,663","19,626","24,083","16,761","6,976","3,815","6,511","5,839","7,688","5,662","4,401","4,837","4,087","3,480","2,198","1,913","3,004","2,829","2,953"
2021년07월_남_70~79세,"60,131","9,085","9,569","8,772","3,607","2,117","2,938","3,121","3,432","2,685","2,182","2,293","1,976","2,038","1,010",860,"1,255","1,482","1,709"
2021년07월_남_80~89세,"26,574","4,372","4,422","3,671","1,438",777,"1,154","1,346","1,627","1,260","1,012","1,014",776,844,506,419,553,667,716
2021년07월_남_90~99세,"2,495",464,423,332,105,52,110,123,153,116,97,70,58,80,53,41,68,79,71
2021년07월_남_100세 이상,114,19,10,12,2,9,7,4,4,4,8,4,8,4,5,5,4,3,2
2021년07월_여_총인구수,"762,908","143,046","179,135","107,305","44,307","20,375","41,529","31,647","33,268","22,716","18,340","19,985","17,202","21,072","11,123","10,397","14,606","13,101","13,754"
2021년07월_여_연령구간인구수,"762,908","143,046","179,135","107,305","44,307","20,375","41,529","31,647","33,268","22,716","18,340","19,985","17,202","21,072","11,123","10,397","14,606","13,101","13,754"
2021년07월_여_0~9세,"50,039","10,202","13,592","6,333","3,113","1,130","2,807","1,796","1,809","1,001",752,893,813,"1,614",853,835,"1,222",637,637
2021년07월_여_10~19세,"64,885","12,775","17,149","8,836","4,105","1,786","3,485","2,451","2,473","1,697","1,311","1,331","1,191","1,755",858,"1,020","1,071",742,849
2021년07월_여_20~29세,"77,375","17,368","21,084","11,277","3,844","1,483","3,901","3,046","2,602","1,619","1,311","1,332","1,131","1,937","1,136",989,"1,382",963,970
