카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년03월_남_20~29세,"98,408","24,107","1,867","6,118","2,258","2,296","3,212","1,413","1,577","2,332","1,569","1,465","28,713",774,"1,893","1,498","3,401","3,194","2,131","3,230","2,530","2,476","3,585","2,893","1,108","14,853",498,"1,025",618,"1,628","2,126",770,"1,720","1,964","3,736",768,"30,735","1,746","1,270","3,725","2,000","3,438","2,525","3,326","3,373","2,440","1,692","3,701","1,499"
2020년03월_남_30~39세,"94,934","17,564","1,609","3,144","1,786","1,926","2,234","1,459","1,459","1,811","1,022","1,114","31,364",940,"2,090","1,493","3,014","3,036","1,828","3,408","4,821","2,440","3,990","3,135","1,169","13,495",476,944,627,"1,419","1,797",719,"1,708","1,181","3,850",774,"32,511","1,351","1,086","3,097","1,722","4,021","2,733","3,637","2,357","2,535","2,953","4,428","2,591"
2020년03월_남_40~49세,"103,570","23,297","1,988","3,381","2,707","2,551","4,424","1,657","1,584","2,378","1,365","1,262","31,873",772,"2,016","1,690","3,128","3,247","1,970","4,020","4,190","1,941","4,377","2,816","1,706","14,423",513,828,758,"1,942","2,210",951,"1,671","1,345","3,320",885,"33,977","1,536","1,257","3,464","1,829","3,731","3,525","2,175","2,976","2,904","2,689","5,206","2,685"
2020년03월_남_50~59세,"98,086","24,699","2,212","3,402","2,625","2,689","3,823","2,058","1,806","2,744","1,818","1,522","30,871",911,"2,188","1,736","3,820","3,463","2,461","3,703","2,861","2,142","3,779","2,394","1,413","15,641",635,"1,039",920,"2,072","2,549","1,190","1,862","1,304","2,818","1,252","26,875","1,635","1,344","2,799","1,825","2,348","2,789","1,534","2,744","2,586","1,794","3,655","1,822"
2020년03월_남_60~69세,"55,819","14,334","1,568","1,750","1,377","1,534","1,388","1,607","1,174","1,740","1,006","1,190","18,537",626,"1,567","1,339","2,346","2,318","1,538","1,901","1,666","1,338","2,050","1,011",837,"10,389",437,793,683,"1,440","1,219",974,"1,269",778,"1,826",970,"12,559",928,837,"1,311","1,042","1,345","1,141",542,"1,073","1,068",729,"1,445","1,098"
2020년03월_남_70~79세,"24,545","6,835",719,722,632,843,561,821,523,901,441,672,"7,723",300,741,658,"1,008","1,057",664,797,660,479,665,325,369,"5,174",234,360,430,750,544,526,676,319,816,519,"4,813",407,368,498,403,549,421,217,334,342,239,528,507
2020년03월_남_80~89세,"8,307","2,578",233,302,231,315,236,271,186,302,236,266,"2,458",103,260,196,315,291,218,290,202,140,207,132,104,"1,683",74,129,141,242,184,171,192,111,252,187,"1,588",107,116,154,142,160,187,94,149,104,76,156,143
2020년03월_남_90~99세,864,285,23,41,30,29,18,18,18,42,29,37,252,9,35,24,29,26,18,29,13,18,21,12,18,168,9,17,10,25,19,15,15,13,17,28,159,8,7,15,15,19,17,12,15,12,6,18,15
2020년03월_남_100세 이상,79,21,2,4,3,1,0,6,2,0,1,2,26,2,4,0,4,4,2,0,3,2,3,2,0,23,3,3,8,2,1,1,2,0,2,1,9,2,1,0,1,1,3,0,1,0,0,0,0
2020년03월_여_총인구수,"592,212","137,404","11,855","20,516","15,410","15,477","21,700","10,028","9,942","14,473","10,028","7,975","183,769","5,281","11,655","9,865","20,089","19,051","12,443","23,184","23,213","12,229","25,413","12,908","8,438","87,122","2,770","5,033","4,505","12,100","13,784","5,714","10,513","8,754","18,829","5,120","183,917","9,354","7,719","17,569","11,316","19,247","18,435","12,509","16,213","15,920","14,232","26,877","14,526"
