카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년12월_계_총인구수,"1,032,741","218,027","19,769","43,422","7,118","50,348","25,927","41,362","30,081","251,562","41,027","29,453","34,507","27,699","44,616","40,288","26,219","7,753","181,322","4,202","12,129","3,378","3,848","14,124","1,543","42,370","10,983","14,460","9,001","10,286","16,106","19,334","7,328","12,230","186,881","63,446","10,164","10,064","16,791","6,037","10,970","31,215","9,297","7,489","8,860","9,329","3,219","194,949","16,962","8,469","4,130","11,097","7,431","17,555","8,583","21,235","10,154","25,699","12,985","6,975","43,674"
2021년12월_계_연령구간인구수,"1,032,741","218,027","19,769","43,422","7,118","50,348","25,927","41,362","30,081","251,562","41,027","29,453","34,507","27,699","44,616","40,288","26,219","7,753","181,322","4,202","12,129","3,378","3,848","14,124","1,543","42,370","10,983","14,460","9,001","10,286","16,106","19,334","7,328","12,230","186,881","63,446","10,164","10,064","16,791","6,037","10,970","31,215","9,297","7,489","8,860","9,329","3,219","194,949","16,962","8,469","4,130","11,097","7,431","17,555","8,583","21,235","10,154","25,699","12,985","6,975","43,674"
2021년12월_계_0~9세,"78,953","17,098","1,039","6,206",232,"4,126","1,949","2,174","1,372","18,293","3,030","2,027","2,143","1,964","3,162","3,463","2,097",407,"13,189",107,"1,034",55,43,"2,053",70,"4,530",468,799,361,408,"1,217",967,398,679,"12,175","4,580",350,659,"1,084",153,526,"2,984",628,234,375,476,126,"18,198","1,365",283,160,920,507,"1,377",330,"2,214","1,002","3,237","1,771",486,"4,546"
2021년12월_계_10~19세,"98,134","19,331","1,784","4,036",375,"4,542","2,655","3,828","2,111","25,685","5,140","2,620","2,478","3,255","4,605","3,891","2,959",737,"14,271",148,"1,026",129,135,"1,285",79,"4,085",632,"1,333",703,845,"1,331","1,159",435,946,"17,589","7,819",603,766,"1,198",308,814,"3,471",555,448,642,759,206,"21,258","1,780",623,244,999,755,"2,415",516,"2,275","1,206","3,329","1,017",709,"5,390"
2021년12월_계_20~29세,"125,367","27,854","2,196","3,586",612,"6,668","3,829","6,114","4,849","36,742","5,270","4,455","6,162","3,955","6,218","5,786","3,916",980,"18,856",276,"1,041",239,203,"1,099",229,"4,976","1,700","1,498","1,046","1,107","1,527","1,940",673,"1,302","21,079","7,931",906,"1,074","1,710",537,"1,258","3,219","1,102",905,913,"1,221",303,"20,836","2,171",822,401,"1,108",769,"2,227","1,074","2,192","1,181","2,191","1,223",689,"4,788"
2021년12월_계_30~39세,"129,935","28,250","1,733","7,461",626,"6,805","3,694","4,248","3,683","34,408","4,450","4,042","6,044","3,409","6,155","6,086","3,332",890,"21,324",259,"1,303",191,166,"2,263",213,"6,329","1,039","1,410",797,851,"2,039","2,172",902,"1,390","20,252","6,179",859,"1,319","2,218",505,"1,227","3,817","1,221",715,819,"1,019",354,"25,701","2,128",657,311,"1,386",743,"2,052",984,"2,972","1,229","3,529","2,396",764,"6,550"
2021년12월_계_40~49세,"166,304","33,887","3,027","7,663",769,"7,933","4,327","6,108","4,060","40,443","7,103","4,511","5,244","4,607","7,382","6,243","4,142","1,211","26,814",379,"1,983",286,258,"2,599",203,"6,725","1,351","2,196","1,194","1,371","2,427","2,940","1,076","1,826","29,306","11,092","1,334","1,376","2,334",695,"1,551","5,562","1,306","1,043","1,173","1,331",509,"35,854","2,836","1,118",505,"1,710","1,197","3,395","1,258","3,830","1,708","5,137","2,170","1,193","9,797"
2021년12월_계_50~59세,"184,802","41,180","3,919","6,108","1,285","9,613","5,148","9,118","5,989","51,029","8,268","6,011","6,553","5,899","8,930","8,146","5,830","1,392","29,467",708,"1,943",650,688,"1,894",232,"6,644","1,840","2,431","1,641","1,877","2,497","3,180","1,177","2,065","33,657","12,477","1,680","1,599","2,814","1,096","1,884","5,166","1,609","1,366","1,709","1,644",613,"29,469","2,248","1,373",693,"1,806","1,204","2,828","1,476","3,425","1,432","3,493","1,796","1,213","6,482"
2021년12월_계_60~69세,"151,447","32,055","3,384","5,365","1,679","6,986","3,001","6,408","5,232","31,621","5,296","3,891","4,147","3,414","5,737","4,836","2,996","1,304","31,732","1,187","2,122",914,"1,012","1,782",312,"5,611","2,097","2,495","1,846","2,130","2,771","3,732","1,434","2,287","31,035","8,161","2,302","1,837","3,060","1,470","2,209","4,438","1,651","1,591","1,937","1,739",640,"25,004","2,182","1,575",876,"1,820","1,191","2,107","1,721","2,747","1,341","3,054","1,543","1,069","3,778"
2021년12월_계_70~79세,"65,921","12,278","1,700","1,915",932,"2,568",925,"2,353","1,885","9,049","1,757","1,279","1,198",778,"1,605","1,235",650,547,"17,049",707,"1,089",533,723,794,148,"2,469","1,231","1,509",892,"1,177","1,582","2,169",790,"1,236","15,312","3,518","1,426","1,014","1,721",868,"1,092","1,831",876,886,914,832,334,"12,233","1,411","1,246",598,918,671,790,851,"1,049",692,"1,162",663,522,"1,660"
2021년12월_계_80~89세,"28,070","5,335",881,936,524,969,354,893,778,"3,700",617,529,458,351,724,519,256,246,"7,542",361,502,312,518,316,52,871,548,709,466,475,628,956,392,436,"5,834","1,537",634,363,593,371,366,638,316,275,341,283,117,"5,659",726,687,303,387,354,319,328,471,330,514,365,281,594
2021년12월_계_90~99세,"3,743",741,105,141,83,135,43,115,119,584,93,87,80,64,98,82,41,39,"1,062",70,85,67,100,39,5,128,77,80,53,44,85,119,48,62,631,150,69,57,59,33,43,89,29,25,37,25,15,725,111,84,38,43,40,44,45,58,32,52,40,49,89
2021년12월_계_100세 이상,65,18,1,5,1,3,2,3,3,8,3,1,0,3,0,1,0,0,16,0,1,2,2,0,0,2,0,0,2,1,2,0,3,1,11,2,1,0,0,1,0,0,4,1,0,0,2,12,4,1,1,0,0,1,0,2,1,1,1,0,0
2021년12월_남_총인구수,"523,223","110,998","10,073","21,851","3,600","25,495","13,254","21,036","15,689","128,346","20,690","14,802","18,611","13,906","22,186","20,428","13,659","4,064","90,141","2,181","6,239","1,808","1,900","7,007",793,"21,034","5,436","7,030","4,350","5,058","7,988","9,550","3,707","6,060","93,661","31,908","5,028","4,975","8,387","3,069","5,501","15,398","4,725","3,755","4,447","4,664","1,804","100,077","8,811","4,183","2,079","5,621","3,666","9,013","4,541","10,590","5,004","12,858","6,594","3,583","23,534"
2021년12월_남_연령구간인구수,"523,223","110,998","10,073","21,851","3,600","25,495","13,254","21,036","15,689","128,346","20,690","14,802","18,611","13,906","22,186","20,428","13,659","4,064","90,141","2,181","6,239","1,808","1,900","7,007",793,"21,034","5,436","7,030","4,350","5,058","7,988","9,550","3,707","6,060","93,661","31,908","5,028","4,975","8,387","3,069","5,501","15,398","4,725","3,755","4,447","4,664","1,804","100,077","8,811","4,183","2,079","5,621","3,666","9,013","4,541","10,590","5,004","12,858","6,594","3,583","23,534"
2021년12월_남_0~9세,"40,798","8,723",515,"3,196",128,"2,072","1,007","1,117",688,"9,427","1,554","1,077","1,131","1,002","1,602","1,755","1,098",208,"6,833",63,555,28,21,"1,063",38,"2,329",240,428,186,228,616,490,198,350,"6,286","2,369",189,341,549,79,287,"1,516",337,123,182,242,72,"9,529",695,171,88,496,263,706,180,"1,127",533,"1,726",938,262,"2,344"
2021년12월_남_10~19세,"51,201","10,169",973,"2,058",202,"2,358","1,432","2,013","1,133","13,512","2,718","1,394","1,292","1,704","2,409","2,015","1,585",395,"7,355",73,524,76,74,638,39,"2,100",312,686,336,483,705,616,233,460,"9,183","4,089",312,417,631,159,432,"1,804",275,232,331,383,118,"10,982",887,338,131,538,404,"1,254",276,"1,177",615,"1,706",495,373,"2,788"
2021년12월_남_20~29세,"70,239","15,581","1,303","1,977",350,"3,689","2,097","3,400","2,765","20,618","2,982","2,449","3,496","2,214","3,412","3,265","2,205",595,"10,394",184,581,141,135,567,117,"2,771",962,830,548,623,822,"1,026",384,703,"11,714","4,458",520,548,916,317,711,"1,783",607,486,530,640,198,"11,932","1,390",504,232,630,427,"1,268",649,"1,202",676,"1,207",642,400,"2,705"
2021년12월_남_30~39세,"68,959","14,947",955,"3,600",393,"3,630","1,940","2,287","2,142","18,424","2,233","2,137","3,479","1,794","3,257","3,185","1,805",534,"11,258",173,698,120,92,"1,096",116,"3,227",549,753,446,481,"1,073","1,166",513,755,"10,744","3,137",517,699,"1,203",303,671,"1,878",668,424,471,556,217,"13,586","1,208",376,179,750,392,"1,091",603,"1,483",630,"1,692","1,213",416,"3,553"
2021년12월_남_40~49세,"84,833","17,415","1,567","4,087",446,"4,014","2,101","3,049","2,151","19,491","3,319","2,160","2,816","2,111","3,445","3,028","1,976",636,"14,158",257,"1,093",189,156,"1,374",101,"3,351",737,"1,110",612,702,"1,278","1,601",613,984,"14,962","5,328",737,729,"1,280",400,827,"2,726",717,565,632,703,318,"18,807","1,497",580,289,875,611,"1,641",741,"1,947",840,"2,573","1,156",608,"5,449"
2021년12월_남_50~59세,"91,651","20,227","1,992","2,929",651,"4,647","2,562","4,467","2,979","24,584","4,061","2,826","3,392","2,746","4,080","3,876","2,899",704,"14,705",376,"1,047",362,395,939,117,"3,180",899,"1,180",786,873,"1,271","1,630",612,"1,038","16,753","6,260",854,791,"1,386",563,917,"2,471",791,703,870,804,343,"15,382","1,220",698,356,893,581,"1,477",749,"1,656",709,"1,699",935,648,"3,761"
2021년12월_남_60~69세,"74,838","16,197","1,694","2,766",868,"3,470","1,547","3,212","2,640","16,664","2,732","1,961","2,207","1,845","3,043","2,567","1,682",627,"14,989",598,"1,039",516,539,836,172,"2,607",970,"1,142",874,981,"1,307","1,714",655,"1,039","14,834","4,165","1,025",863,"1,414",721,"1,013","2,107",800,707,866,819,334,"12,154","1,017",708,425,863,556,"1,067",820,"1,367",604,"1,499",776,535,"1,917"
2021년12월_남_70~79세,"30,477","5,894",792,942,400,"1,277",435,"1,135",913,"4,419",874,618,627,364,740,587,341,268,"7,665",334,525,271,324,380,77,"1,150",563,642,393,519,672,934,341,540,"6,966","1,600",610,455,767,371,509,841,409,414,426,399,165,"5,533",596,520,261,431,306,372,402,475,288,542,305,256,779
2021년12월_남_80~89세,"9,528","1,714",274,275,146,311,124,331,253,"1,109",208,163,156,110,184,138,63,87,"2,570",112,162,96,146,107,13,300,191,239,154,161,225,345,144,175,"2,106",488,251,121,225,145,128,255,116,97,131,113,36,"2,029",277,270,109,135,122,126,117,142,102,207,121,78,223
2021년12월_남_90~99세,687,128,8,20,15,27,9,25,24,95,9,16,15,15,14,11,5,10,211,11,15,8,18,7,3,19,13,20,15,7,18,28,13,16,112,14,13,11,16,11,6,17,4,4,8,5,3,141,23,18,9,10,4,11,4,14,7,7,12,7,15
2021년12월_남_100세 이상,12,3,0,1,1,0,0,0,1,3,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
2021년12월_여_총인구수,"509,518","107,029","9,696","21,571","3,518","24,853","12,673","20,326","14,392","123,216","20,337","14,651","15,896","13,793","22,430","19,860","12,560","3,689","91,181","2,021","5,890","1,570","1,948","7,117",750,"21,336","5,547","7,430","4,651","5,228","8,118","9,784","3,621","6,170","93,220","31,538","5,136","5,089","8,404","2,968","5,469","15,817","4,572","3,734","4,413","4,665","1,415","94,872","8,151","4,286","2,051","5,476","3,765","8,542","4,042","10,645","5,150","12,841","6,391","3,392","20,140"
2021년12월_여_연령구간인구수,"509,518","107,029","9,696","21,571","3,518","24,853","12,673","20,326","14,392","123,216","20,337","14,651","15,896","13,793","22,430","19,860","12,560","3,689","91,181","2,021","5,890","1,570","1,948","7,117",750,"21,336","5,547","7,430","4,651","5,228","8,118","9,784","3,621","6,170","93,220","31,538","5,136","5,089","8,404","2,968","5,469","15,817","4,572","3,734","4,413","4,665","1,415","94,872","8,151","4,286","2,051","5,476","3,765","8,542","4,042","10,645","5,150","12,841","6,391","3,392","20,140"
2021년12월_여_0~9세,"38,155","8,375",524,"3,010",104,"2,054",942,"1,057",684,"8,866","1,476",950,"1,012",962,"1,560","1,708",999,199,"6,356",44,479,27,22,990,32,"2,201",228,371,175,180,601,477,200,329,"5,889","2,211",161,318,535,74,239,"1,468",291,111,193,234,54,"8,669",670,112,72,424,244,671,150,"1,087",469,"1,511",833,224,"2,202"
2021년12월_여_10~19세,"46,933","9,162",811,"1,978",173,"2,184","1,223","1,815",978,"12,173","2,422","1,226","1,186","1,551","2,196","1,876","1,374",342,"6,916",75,502,53,61,647,40,"1,985",320,647,367,362,626,543,202,486,"8,406","3,730",291,349,567,149,382,"1,667",280,216,311,376,88,"10,276",893,285,113,461,351,"1,161",240,"1,098",591,"1,623",522,336,"2,602"
2021년12월_여_20~29세,"55,128","12,273",893,"1,609",262,"2,979","1,732","2,714","2,084","16,124","2,288","2,006","2,666","1,741","2,806","2,521","1,711",385,"8,462",92,460,98,68,532,112,"2,205",738,668,498,484,705,914,289,599,"9,365","3,473",386,526,794,220,547,"1,436",495,419,383,581,105,"8,904",781,318,169,478,342,959,425,990,505,984,581,289,"2,083"
2021년12월_여_30~39세,"60,976","13,303",778,"3,861",233,"3,175","1,754","1,961","1,541","15,984","2,217","1,905","2,565","1,615","2,898","2,901","1,527",356,"10,066",86,605,71,74,"1,167",97,"3,102",490,657,351,370,966,"1,006",389,635,"9,508","3,042",342,620,"1,015",202,556,"1,939",553,291,348,463,137,"12,115",920,281,132,636,351,961,381,"1,489",599,"1,837","1,183",348,"2,997"
2021년12월_여_40~49세,"81,471","16,472","1,460","3,576",323,"3,919","2,226","3,059","1,909","20,952","3,784","2,351","2,428","2,496","3,937","3,215","2,166",575,"12,656",122,890,97,102,"1,225",102,"3,374",614,"1,086",582,669,"1,149","1,339",463,842,"14,344","5,764",597,647,"1,054",295,724,"2,836",589,478,541,628,191,"17,047","1,339",538,216,835,586,"1,754",517,"1,883",868,"2,564","1,014",585,"4,348"
2021년12월_여_50~59세,"93,151","20,953","1,927","3,179",634,"4,966","2,586","4,651","3,010","26,445","4,207","3,185","3,161","3,153","4,850","4,270","2,931",688,"14,762",332,896,288,293,955,115,"3,464",941,"1,251",855,"1,004","1,226","1,550",565,"1,027","16,904","6,217",826,808,"1,428",533,967,"2,695",818,663,839,840,270,"14,087","1,028",675,337,913,623,"1,351",727,"1,769",723,"1,794",861,565,"2,721"
2021년12월_여_60~69세,"76,609","15,858","1,690","2,599",811,"3,516","1,454","3,196","2,592","14,957","2,564","1,930","1,940","1,569","2,694","2,269","1,314",677,"16,743",589,"1,083",398,473,946,140,"3,004","1,127","1,353",972,"1,149","1,464","2,018",779,"1,248","16,201","3,996","1,277",974,"1,646",749,"1,196","2,331",851,884,"1,071",920,306,"12,850","1,165",867,451,957,635,"1,040",901,"1,380",737,"1,555",767,534,"1,861"
2021년12월_여_70~79세,"35,444","6,384",908,973,532,"1,291",490,"1,218",972,"4,630",883,661,571,414,865,648,309,279,"9,384",373,564,262,399,414,71,"1,319",668,867,499,658,910,"1,235",449,696,"8,346","1,918",816,559,954,497,583,990,467,472,488,433,169,"6,700",815,726,337,487,365,418,449,574,404,620,358,266,881
2021년12월_여_80~89세,"18,542","3,621",607,661,378,658,230,562,525,"2,591",409,366,302,241,540,381,193,159,"4,972",249,340,216,372,209,39,571,357,470,312,314,403,611,248,261,"3,728","1,049",383,242,368,226,238,383,200,178,210,170,81,"3,630",449,417,194,252,232,193,211,329,228,307,244,203,371
2021년12월_여_90~99세,"3,056",613,97,121,68,108,34,90,95,489,84,71,65,49,84,71,36,29,851,59,70,59,82,32,2,109,64,60,38,37,67,91,35,46,519,136,56,46,43,22,37,72,25,21,29,20,12,584,88,66,29,33,36,33,41,44,25,45,28,42,74
2021년12월_여_100세 이상,53,15,1,4,0,3,2,3,2,5,3,0,0,2,0,0,0,0,13,0,1,1,2,0,0,2,0,0,2,1,1,0,2,1,10,2,1,0,0,1,0,0,3,1,0,0,2,10,3,1,1,0,0,1,0,2,1,1,0,0,0
