,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년10월_계_총인구수,"282,847","7,042","7,971","7,215","2,315","1,577","1,948","2,652","3,095","3,020","3,369","5,316","4,422","4,598","2,629","1,580","3,490","4,896","7,087","22,771","9,462","11,725","38,486","8,577","23,426","14,476","25,468","15,736","6,722","31,776"
2020년10월_계_연령구간인구수,"282,847","7,042","7,971","7,215","2,315","1,577","1,948","2,652","3,095","3,020","3,369","5,316","4,422","4,598","2,629","1,580","3,490","4,896","7,087","22,771","9,462","11,725","38,486","8,577","23,426","14,476","25,468","15,736","6,722","31,776"
2020년10월_계_0~9세,"19,445",381,542,271,66,28,35,72,109,95,184,327,87,188,72,23,103,319,319,"1,734",435,487,"3,680",888,"1,550","1,303","2,357",647,564,"2,579"
2020년10월_계_10~19세,"28,070",598,621,517,138,62,99,144,138,133,164,357,203,301,108,86,150,340,424,"2,244",724,845,"4,331",971,"2,748","2,097","3,477","1,153",661,"4,236"
2020년10월_계_20~29세,"36,356",631,702,681,175,96,129,178,219,142,328,680,266,404,250,101,361,508,900,"2,570","1,366","1,364","4,844",878,"3,388","2,297","3,533","4,111",756,"4,498"
2020년10월_계_30~39세,"28,685",540,807,526,127,62,97,147,197,161,272,464,226,341,161,68,315,532,786,"2,475",882,"1,002","4,417","1,177","2,397","1,654","3,126","1,475",853,"3,398"
2020년10월_계_40~49세,"42,190",815,"1,056",794,223,139,175,230,327,266,338,587,406,541,244,151,419,717,854,"3,510","1,262","1,504","6,281","1,444","3,603","2,819","5,003","1,728","1,050","5,704"
2020년10월_계_50~59세,"49,104","1,240","1,391","1,331",438,267,366,370,550,527,564,931,744,834,555,229,566,949,"1,121","4,027","1,901","1,933","6,330","1,264","4,510","2,483","4,447","2,310","1,078","5,848"
2020년10월_계_60~69세,"40,066","1,394","1,425","1,384",441,374,446,614,656,714,642,995,"1,004",925,524,362,742,841,"1,314","3,387","1,624","2,120","4,764","1,043","3,226",975,"2,122","2,021",880,"3,107"
2020년10월_계_70~79세,"24,431",868,848,984,410,290,342,524,530,562,511,621,837,579,391,317,570,467,892,"1,858",856,"1,733","2,489",630,"1,322",578,927,"1,453",522,"1,520"
