,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년07월_계_총인구수,"288,703","16,627","26,660","22,476","11,950","13,935","23,560","15,560","15,460","22,861","14,424","26,176","16,698","12,859","16,134","11,033","10,583","11,707"
2021년07월_계_연령구간인구수,"288,703","16,627","26,660","22,476","11,950","13,935","23,560","15,560","15,460","22,861","14,424","26,176","16,698","12,859","16,134","11,033","10,583","11,707"
2021년07월_계_0~9세,"19,749","1,200","2,293","1,167",414,956,"1,749","1,156","1,266","1,712","1,341","2,513","1,017",713,798,576,501,377
2021년07월_계_10~19세,"19,311","1,158","1,586","1,592",754,999,"2,056","1,607","1,073","1,414",939,"1,659","1,097",847,854,521,556,599
2021년07월_계_20~29세,"44,243","2,448","4,277","4,238","4,697","2,230","2,930","1,754","1,773","2,820","1,443","2,823","2,602","2,064","2,242","1,974","1,696","2,232"
2021년07월_계_30~39세,"47,543","2,876","4,596","3,215","1,579","2,259","3,562","2,173","2,616","4,099","2,659","4,940","2,861","2,323","2,562","1,935","1,597","1,691"
2021년07월_계_40~49세,"43,836","2,514","3,996","2,954","1,121","2,129","3,912","2,872","2,529","3,650","2,554","4,455","2,392","1,976","2,189","1,454","1,519","1,620"
2021년07월_계_50~59세,"46,498","2,699","4,389","3,662","1,296","2,243","3,919","2,484","2,355","3,639","2,092","3,837","3,072","1,991","3,019","1,769","1,941","2,091"
2021년07월_계_60~69세,"37,297","2,088","3,079","3,077",975,"1,688","2,850","1,740","2,143","2,988","1,833","3,336","2,255","1,674","2,682","1,555","1,674","1,660"
2021년07월_계_70~79세,"20,204","1,138","1,582","1,706",738,969,"1,744","1,142","1,120","1,675","1,049","1,717",959,879,"1,235",827,747,977
