,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년03월_계_총인구수,"468,501","48,286","13,148","10,545","29,980","9,009","13,273","11,334","3,872","7,511",0,551,0,166,0,"22,217","33,029","27,427","42,187","48,561","62,975","84,430"
2021년03월_계_연령구간인구수,"468,501","48,286","13,148","10,545","29,980","9,009","13,273","11,334","3,872","7,511",0,551,0,166,0,"22,217","33,029","27,427","42,187","48,561","62,975","84,430"
2021년03월_계_0~9세,"43,855","4,796",604,334,"1,730",186,635,466,93,559,0,19,0,6,0,"1,116","3,221","2,256","3,864","5,239","8,869","9,862"
2021년03월_계_10~19세,"49,305","4,757",809,702,"2,733",274,989,636,188,519,0,32,0,14,0,"1,488","4,248","2,759","5,514","6,096","7,576","9,971"
2021년03월_계_20~29세,"57,294","5,764","1,497","1,304","3,718","1,961","1,487","1,222",426,950,0,55,0,4,0,"3,445","4,224","3,836","4,790","5,878","6,644","10,089"
2021년03월_계_30~39세,"66,892","7,538","1,339",875,"2,934","2,157","1,452","1,014",242,865,0,47,0,11,0,"2,787","4,388","3,589","5,188","7,157","11,644","13,665"
2021년03월_계_40~49세,"81,012","7,525","1,669","1,172","4,467",975,"2,101","1,323",347,807,0,71,0,17,0,"3,266","5,994","4,309","8,292","9,310","12,505","16,862"
2021년03월_계_50~59세,"73,925","6,971","2,541","2,116","5,930","1,323","2,576","2,292",768,"1,194",0,104,0,30,0,"4,211","5,277","4,743","6,984","7,282","7,657","11,926"
2021년03월_계_60~69세,"50,843","5,387","2,313","2,033","4,591","1,162","2,076","2,273",798,"1,259",0,93,0,30,0,"3,151","2,935","3,223","4,103","4,338","4,362","6,716"
2021년03월_계_70~79세,"28,721","3,482","1,397","1,259","2,465",574,"1,166","1,247",591,895,0,86,0,33,0,"1,797","1,759","1,712","2,161","2,134","2,444","3,519"
2021년03월_계_80~89세,"14,504","1,820",847,654,"1,239",345,673,710,348,387,0,41,0,19,0,835,869,884,"1,108",979,"1,112","1,634"
2021년03월_계_90~99세,"2,066",236,124,96,162,52,110,148,68,74,0,3,0,2,0,118,110,114,171,142,157,179
2021년03월_계_100세 이상,84,10,8,0,11,0,8,3,3,2,0,0,0,0,0,3,4,2,12,6,5,7
2021년03월_남_총인구수,"237,528","24,709","7,026","5,635","15,244","5,763","7,197","6,184","2,036","4,050",0,279,0,92,0,"11,807","16,154","14,062","21,409","23,740","30,751","41,390"
2021년03월_남_연령구간인구수,"237,528","24,709","7,026","5,635","15,244","5,763","7,197","6,184","2,036","4,050",0,279,0,92,0,"11,807","16,154","14,062","21,409","23,740","30,751","41,390"
2021년03월_남_0~9세,"22,408","2,423",325,187,863,89,337,240,52,285,0,8,0,3,0,575,"1,652","1,122","1,959","2,665","4,538","5,085"
2021년03월_남_10~19세,"25,330","2,450",425,376,"1,373",153,512,356,99,296,0,13,0,5,0,786,"2,194","1,450","2,890","3,024","3,820","5,108"
2021년03월_남_20~29세,"30,404","3,172",907,812,"2,013","1,195",879,759,283,604,0,29,0,4,0,"1,943","2,129","2,106","2,605","2,831","3,160","4,973"
2021년03월_남_30~39세,"35,347","4,179",763,502,"1,609","1,755",852,606,140,490,0,21,0,6,0,"1,639","2,227","1,925","2,633","3,558","5,765","6,677"
2021년03월_남_40~49세,"41,485","4,003",980,673,"2,306",696,"1,187",782,202,464,0,50,0,7,0,"1,784","2,860","2,229","4,106","4,585","6,242","8,329"
2021년03월_남_50~59세,"38,709","3,639","1,462","1,158","3,110",818,"1,469","1,284",433,649,0,52,0,20,0,"2,376","2,695","2,452","3,750","3,626","3,799","5,917"
2021년03월_남_60~69세,"25,338","2,613","1,215","1,082","2,329",648,"1,126","1,265",410,674,0,52,0,16,0,"1,598","1,341","1,620","2,087","2,105","1,986","3,171"
2021년03월_남_70~79세,"12,656","1,497",620,598,"1,121",283,553,622,273,414,0,35,0,18,0,786,724,780,941,950,982,"1,459"
2021년03월_남_80~89세,"5,303",648,296,215,476,115,258,237,127,155,0,17,0,11,0,289,309,345,403,364,416,622
2021년03월_남_90~99세,527,81,31,32,41,11,23,32,14,19,0,2,0,2,0,31,21,32,34,32,41,48
2021년03월_남_100세 이상,21,4,2,0,3,0,1,1,3,0,0,0,0,0,0,0,2,1,1,0,2,1
2021년03월_여_총인구수,"230,973","23,577","6,122","4,910","14,736","3,246","6,076","5,150","1,836","3,461",0,272,0,74,0,"10,410","16,875","13,365","20,778","24,821","32,224","43,040"
2021년03월_여_연령구간인구수,"230,973","23,577","6,122","4,910","14,736","3,246","6,076","5,150","1,836","3,461",0,272,0,74,0,"10,410","16,875","13,365","20,778","24,821","32,224","43,040"
2021년03월_여_0~9세,"21,447","2,373",279,147,867,97,298,226,41,274,0,11,0,3,0,541,"1,569","1,134","1,905","2,574","4,331","4,777"
2021년03월_여_10~19세,"23,975","2,307",384,326,"1,360",121,477,280,89,223,0,19,0,9,0,702,"2,054","1,309","2,624","3,072","3,756","4,863"
2021년03월_여_20~29세,"26,890","2,592",590,492,"1,705",766,608,463,143,346,0,26,0,0,0,"1,502","2,095","1,730","2,185","3,047","3,484","5,116"
