카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년11월_계_총인구수,"106,634","5,392","4,188","2,795","2,082","2,761","1,750","1,769","2,033","2,500","3,384","2,801","1,665","2,272","1,200","2,086","17,121","2,960","20,323","3,222","10,278","6,042","4,050","3,960"
2021년11월_계_연령구간인구수,"106,634","5,392","4,188","2,795","2,082","2,761","1,750","1,769","2,033","2,500","3,384","2,801","1,665","2,272","1,200","2,086","17,121","2,960","20,323","3,222","10,278","6,042","4,050","3,960"
2021년11월_계_0~9세,"5,874",223,163,53,60,71,46,35,34,67,64,59,43,76,27,55,"1,316",144,"1,514",145,911,466,181,121
2021년11월_계_10~19세,"9,291",346,257,128,81,110,69,101,84,101,162,66,68,135,50,87,"1,901",270,"2,675",246,"1,324",506,302,222
2021년11월_계_20~29세,"10,218",370,364,176,104,145,101,126,112,145,213,127,77,146,68,103,"2,150",309,"2,419",330,"1,195",597,402,439
2021년11월_계_30~39세,"8,443",351,293,136,119,186,83,84,97,137,164,169,103,97,48,97,"1,831",234,"1,773",226,"1,014",608,275,318
2021년11월_계_40~49세,"14,081",587,438,226,166,247,149,176,166,206,306,216,141,217,80,176,"3,002",455,"3,309",356,"1,679",904,460,419
2021년11월_계_50~59세,"18,129",848,828,518,348,422,247,323,314,437,554,422,254,398,228,366,"3,044",546,"3,410",512,"1,712",959,754,685
2021년11월_계_60~69세,"17,739","1,050",824,621,431,622,393,375,443,556,736,677,362,451,292,467,"2,038",438,"2,643",635,"1,257",916,788,724
2021년11월_계_70~79세,"13,110",929,570,475,398,513,353,295,396,456,600,580,320,400,228,395,"1,186",329,"1,633",486,782,722,511,553
2021년11월_계_80~89세,"8,454",600,392,400,333,380,264,211,333,345,502,419,249,312,160,300,575,206,823,242,367,303,335,403
2021년11월_계_90~99세,"1,245",84,56,60,41,63,43,42,53,49,81,61,46,40,19,39,70,29,121,44,36,59,38,71
2021년11월_계_100세 이상,50,4,3,2,1,2,2,1,1,1,2,5,2,0,0,1,8,0,3,0,1,2,4,5
2021년11월_남_총인구수,"52,972","2,644","2,133","1,396","1,078","1,375",865,888,"1,003","1,266","1,689","1,417",846,"1,168",610,"1,050","8,659","1,445","9,807","1,556","5,082","3,004","1,935","2,056"
2021년11월_남_연령구간인구수,"52,972","2,644","2,133","1,396","1,078","1,375",865,888,"1,003","1,266","1,689","1,417",846,"1,168",610,"1,050","8,659","1,445","9,807","1,556","5,082","3,004","1,935","2,056"
2021년11월_남_0~9세,"3,014",106,72,29,35,33,26,16,18,40,36,36,21,34,14,25,665,71,775,79,499,232,85,67
2021년11월_남_10~19세,"4,923",206,134,71,46,55,38,57,57,50,91,41,37,84,30,40,"1,018",130,"1,334",123,738,260,161,122
2021년11월_남_20~29세,"5,678",205,221,106,68,94,56,74,70,91,122,71,44,91,40,52,"1,207",161,"1,273",195,667,320,209,241
2021년11월_남_30~39세,"4,516",209,166,81,69,123,54,57,59,76,105,103,67,66,32,58,964,114,864,105,500,308,139,197
2021년11월_남_40~49세,"7,383",335,245,137,107,165,96,106,107,136,195,149,96,129,48,112,"1,519",238,"1,538",191,770,482,246,236
2021년11월_남_50~59세,"9,772",469,458,306,218,246,145,185,183,262,325,255,149,242,131,238,"1,594",292,"1,713",254,823,497,391,396
2021년11월_남_60~69세,"8,875",525,437,324,220,322,205,195,230,294,369,338,188,242,169,246,995,229,"1,257",287,600,442,378,383
2021년11월_남_70~79세,"5,730",385,265,204,192,212,154,130,173,195,254,275,145,172,94,175,504,134,738,208,333,326,214,248
2021년11월_남_80~89세,"2,816",183,128,128,112,113,85,56,92,114,165,133,90,104,50,94,180,72,293,102,148,127,99,148
2021년11월_남_90~99세,256,21,7,10,11,11,6,12,14,8,26,15,9,4,2,10,13,4,20,12,4,9,11,17
2021년11월_남_100세 이상,9,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,2,1
2021년11월_여_총인구수,"53,662","2,748","2,055","1,399","1,004","1,386",885,881,"1,030","1,234","1,695","1,384",819,"1,104",590,"1,036","8,462","1,515","10,516","1,666","5,196","3,038","2,115","1,904"
2021년11월_여_연령구간인구수,"53,662","2,748","2,055","1,399","1,004","1,386",885,881,"1,030","1,234","1,695","1,384",819,"1,104",590,"1,036","8,462","1,515","10,516","1,666","5,196","3,038","2,115","1,904"
2021년11월_여_0~9세,"2,860",117,91,24,25,38,20,19,16,27,28,23,22,42,13,30,651,73,739,66,412,234,96,54
2021년11월_여_10~19세,"4,368",140,123,57,35,55,31,44,27,51,71,25,31,51,20,47,883,140,"1,341",123,586,246,141,100
2021년11월_여_20~29세,"4,540",165,143,70,36,51,45,52,42,54,91,56,33,55,28,51,943,148,"1,146",135,528,277,193,198
2021년11월_여_30~39세,"3,927",142,127,55,50,63,29,27,38,61,59,66,36,31,16,39,867,120,909,121,514,300,136,121
2021년11월_여_40~49세,"6,698",252,193,89,59,82,53,70,59,70,111,67,45,88,32,64,"1,483",217,"1,771",165,909,422,214,183
2021년11월_여_50~59세,"8,357",379,370,212,130,176,102,138,131,175,229,167,105,156,97,128,"1,450",254,"1,697",258,889,462,363,289
2021년11월_여_60~69세,"8,864",525,387,297,211,300,188,180,213,262,367,339,174,209,123,221,"1,043",209,"1,386",348,657,474,410,341
2021년11월_여_70~79세,"7,380",544,305,271,206,301,199,165,223,261,346,305,175,228,134,220,682,195,895,278,449,396,297,305
2021년11월_여_80~89세,"5,638",417,264,272,221,267,179,155,241,231,337,286,159,208,110,206,395,134,530,140,219,176,236,255
2021년11월_여_90~99세,989,63,49,50,30,52,37,30,39,41,55,46,37,36,17,29,57,25,101,32,32,50,27,54
2021년11월_여_100세 이상,41,4,3,2,1,1,2,1,1,1,1,4,2,0,0,1,8,0,1,0,1,1,2,4
