카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년06월_계_총인구수,"52,142","13,560","1,970","1,633","1,831","1,578","1,490","1,476","4,340","3,953","2,563","1,828","1,805","1,814","4,601","3,868",805,"2,189",838
2020년06월_계_연령구간인구수,"52,142","13,560","1,970","1,633","1,831","1,578","1,490","1,476","4,340","3,953","2,563","1,828","1,805","1,814","4,601","3,868",805,"2,189",838
2020년06월_계_0~9세,"1,993",852,30,41,40,31,34,34,125,154,91,49,47,41,234,97,22,56,15
2020년06월_계_10~19세,"2,388","1,034",65,41,54,34,57,42,163,144,57,48,62,57,283,138,13,71,25
2020년06월_계_20~29세,"3,244","1,166",89,70,93,70,63,66,233,270,123,84,111,106,358,199,25,92,26
2020년06월_계_30~39세,"3,356","1,223",98,78,74,56,80,80,245,292,127,98,96,85,345,213,27,93,46
2020년06월_계_40~49세,"4,766","1,757",155,101,153,108,80,98,347,365,189,135,130,127,494,283,46,147,51
2020년06월_계_50~59세,"8,921","2,311",321,265,345,299,283,251,695,709,431,318,310,319,775,650,153,357,129
2020년06월_계_60~69세,"11,516","2,504",516,412,471,402,417,406,"1,014",899,629,449,379,416,832,876,164,539,191
2020년06월_계_70~79세,"9,087","1,702",387,354,355,297,261,266,878,640,506,346,346,366,738,807,197,454,187
2020년06월_계_80~89세,"6,042",866,279,250,219,243,184,207,544,416,365,270,292,271,479,537,137,332,151
2020년06월_계_90~99세,786,134,28,21,26,38,28,25,90,61,42,29,31,24,62,66,21,44,16
2020년06월_계_100세 이상,43,11,2,0,1,0,3,1,6,3,3,2,1,2,1,2,0,4,1
2020년06월_남_총인구수,"25,518","6,671",968,811,887,758,755,745,"2,156","1,912","1,231",916,886,859,"2,188","1,914",384,"1,083",394
2020년06월_남_연령구간인구수,"25,518","6,671",968,811,887,758,755,745,"2,156","1,912","1,231",916,886,859,"2,188","1,914",384,"1,083",394
2020년06월_남_0~9세,"1,047",458,19,25,26,13,14,22,74,72,38,20,24,26,116,54,10,27,9
2020년06월_남_10~19세,"1,253",553,40,18,20,20,33,18,85,79,31,29,32,28,133,73,7,38,16
2020년06월_남_20~29세,"1,871",649,55,44,48,44,43,38,140,152,72,49,70,61,208,120,15,50,13
2020년06월_남_30~39세,"1,868",634,63,54,47,31,49,49,143,154,73,59,56,49,186,129,12,52,28
2020년06월_남_40~49세,"2,803",944,109,66,94,75,45,61,212,215,122,93,82,76,265,188,26,99,31
2020년06월_남_50~59세,"4,823","1,192",180,147,189,161,146,142,377,397,230,179,173,187,412,344,89,199,79
2020년06월_남_60~69세,"5,747","1,196",255,206,234,203,236,224,522,415,320,234,184,206,398,444,91,285,94
2020년06월_남_70~79세,"3,934",739,148,166,148,133,116,112,393,282,229,154,150,139,316,354,77,205,73
2020년06월_남_80~89세,"1,989",275,96,84,75,72,65,74,186,131,107,93,108,81,144,183,49,117,49
2020년06월_남_90~99세,175,29,3,1,5,6,7,4,23,15,9,6,7,6,10,24,8,10,2
2020년06월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년06월_여_총인구수,"26,624","6,889","1,002",822,944,820,735,731,"2,184","2,041","1,332",912,919,955,"2,413","1,954",421,"1,106",444
2020년06월_여_연령구간인구수,"26,624","6,889","1,002",822,944,820,735,731,"2,184","2,041","1,332",912,919,955,"2,413","1,954",421,"1,106",444
2020년06월_여_0~9세,946,394,11,16,14,18,20,12,51,82,53,29,23,15,118,43,12,29,6
2020년06월_여_10~19세,"1,135",481,25,23,34,14,24,24,78,65,26,19,30,29,150,65,6,33,9
2020년06월_여_20~29세,"1,373",517,34,26,45,26,20,28,93,118,51,35,41,45,150,79,10,42,13
2020년06월_여_30~39세,"1,488",589,35,24,27,25,31,31,102,138,54,39,40,36,159,84,15,41,18
2020년06월_여_40~49세,"1,963",813,46,35,59,33,35,37,135,150,67,42,48,51,229,95,20,48,20
2020년06월_여_50~59세,"4,098","1,119",141,118,156,138,137,109,318,312,201,139,137,132,363,306,64,158,50
2020년06월_여_60~69세,"5,769","1,308",261,206,237,199,181,182,492,484,309,215,195,210,434,432,73,254,97
2020년06월_여_70~79세,"5,153",963,239,188,207,164,145,154,485,358,277,192,196,227,422,453,120,249,114
2020년06월_여_80~89세,"4,053",591,183,166,144,171,119,133,358,285,258,177,184,190,335,354,88,215,102
2020년06월_여_90~99세,611,105,25,20,21,32,21,21,67,46,33,23,24,18,52,42,13,34,14
2020년06월_여_100세 이상,35,9,2,0,0,0,2,0,5,3,3,2,1,2,1,1,0,3,1
