카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년05월_계_총인구수,"1,040,773","262,729","20,418","42,698","7,331","50,727","36,855","43,391","30,761","30,548","217,430","42,496","23,129","28,573","46,393","41,837","26,922","8,080","175,239","4,387","12,514","3,659","4,014","14,521",659,"32,621","11,608","15,361","9,573","11,218","14,659","20,294","7,105","13,046","192,751","66,041","10,976","7,661","17,187","6,539","11,540","32,333","9,672","8,026","9,411","9,887","3,478","192,624","17,597","9,003","5,234","11,497","7,629","17,426","8,575","21,653","10,294","26,330","12,463","6,574","38,349"
2020년05월_계_연령구간인구수,"1,040,773","262,729","20,418","42,698","7,331","50,727","36,855","43,391","30,761","30,548","217,430","42,496","23,129","28,573","46,393","41,837","26,922","8,080","175,239","4,387","12,514","3,659","4,014","14,521",659,"32,621","11,608","15,361","9,573","11,218","14,659","20,294","7,105","13,046","192,751","66,041","10,976","7,661","17,187","6,539","11,540","32,333","9,672","8,026","9,411","9,887","3,478","192,624","17,597","9,003","5,234","11,497","7,629","17,426","8,575","21,653","10,294","26,330","12,463","6,574","38,349"
2020년05월_계_0~9세,"86,079","22,031","1,285","6,607",272,"4,418","3,024","2,565","1,629","2,231","17,354","3,365","1,329","2,219","3,740","3,901","2,276",524,"12,691",127,"1,210",78,67,"2,333",31,"2,833",566,"1,030",448,552,"1,034","1,214",359,809,"13,921","5,549",464,337,"1,178",171,656,"3,304",701,324,490,580,167,"20,082","1,620",395,209,"1,127",590,"1,559",404,"2,551","1,117","3,741","1,816",580,"4,373"
2020년05월_계_10~19세,"101,411","24,096","1,987","3,482",433,"4,753","3,932","4,292","2,336","2,881","23,771","5,437","1,492","3,543","4,982","4,261","3,258",798,"13,892",170,"1,024",172,148,"1,199",28,"3,269",829,"1,401",836,975,"1,215","1,197",430,999,"18,668","8,430",663,613,"1,262",382,868,"3,548",641,510,686,833,232,"20,984","1,903",713,306,"1,045",748,"2,435",554,"2,243","1,218","3,191",904,719,"5,005"
2020년05월_계_20~29세,"132,030","36,432","2,363","4,015",693,"7,211","5,536","6,930","4,863","4,821","33,160","5,929","4,477","4,328","6,758","6,376","4,244","1,048","19,262",323,"1,115",319,270,"1,281",71,"4,273","1,667","1,708","1,178","1,287","1,453","2,088",667,"1,562","22,756","8,447","1,054",788,"1,915",646,"1,351","3,563","1,194","1,053","1,049","1,346",350,"20,420","2,168",908,521,"1,167",810,"2,203","1,001","2,420","1,152","2,329","1,264",598,"3,879"
2020년05월_계_30~39세,"137,557","35,880","1,919","8,332",670,"7,276","5,148","4,441","3,913","4,181","30,221","4,755","4,318","3,625","6,700","6,302","3,481","1,040","20,803",331,"1,633",222,181,"2,771",63,"4,087","1,266","1,659",919,"1,076","1,684","2,521",811,"1,579","22,589","7,194","1,085",710,"2,373",602,"1,418","4,317","1,418",861,981,"1,197",433,"28,064","2,344",763,418,"1,679",862,"2,254","1,055","3,420","1,418","4,336","2,495",766,"6,254"
2020년05월_계_40~49세,"169,124","41,325","3,324","6,806",851,"7,882","6,246","6,914","4,483","4,819","36,675","7,647","3,678","4,856","7,963","6,793","4,463","1,275","25,605",410,"1,977",352,328,"2,404",75,"5,100","1,488","2,340","1,311","1,524","2,171","3,131","1,028","1,966","30,672","11,882","1,494","1,033","2,356",791,"1,679","5,670","1,325","1,143","1,269","1,459",571,"34,847","3,009","1,277",636,"1,777","1,294","3,435","1,313","3,751","1,731","4,934","1,968","1,127","8,595"
2020년05월_계_50~59세,"188,082","50,907","3,977","6,146","1,387","9,779","7,425","9,531","6,372","6,290","43,970","8,490","4,261","6,143","9,250","8,454","5,903","1,469","29,826",820,"2,069",766,747,"1,939",118,"5,696","1,973","2,585","1,815","2,068","2,387","3,364","1,235","2,244","35,063","12,466","1,900","1,370","3,007","1,274","2,029","5,487","1,731","1,474","1,904","1,754",667,"28,316","2,253","1,455",949,"1,850","1,216","2,665","1,542","3,448","1,409","3,529","1,708","1,108","5,184"
2020년05월_계_60~69세,"135,480","32,654","3,021","4,468","1,541","6,071","3,820","5,642","4,632","3,459","22,249","4,663","2,451","2,722","4,797","4,023","2,440","1,153","29,081","1,118","1,942",861,961,"1,579",157,"4,428","2,018","2,392","1,690","2,096","2,589","3,689","1,371","2,190","28,954","7,247","2,286","1,555","2,918","1,434","2,149","4,097","1,517","1,591","1,852","1,670",638,"22,542","2,115","1,557","1,023","1,605","1,109","1,847","1,579","2,400","1,250","2,683","1,317",946,"3,111"
2020년05월_계_70~79세,"62,000","13,035","1,644","1,792",918,"2,327","1,185","2,148","1,749","1,272","6,695","1,525",773,727,"1,444","1,138",562,526,"16,266",702,"1,018",521,740,714,70,"2,113","1,199","1,498",899,"1,168","1,485","2,121",791,"1,227","14,413","3,346","1,408",894,"1,623",829,"1,031","1,702",844,813,838,787,298,"11,591","1,409","1,241",759,853,656,722,789,940,664,"1,076",626,453,"1,403"
