카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년02월_계_총인구수,"66,478","10,521","3,354","1,760","5,271","1,357",716,"1,875",711,679,"7,853","14,814","9,289","8,278"
2020년02월_계_연령구간인구수,"66,478","10,521","3,354","1,760","5,271","1,357",716,"1,875",711,679,"7,853","14,814","9,289","8,278"
2020년02월_계_0~9세,"4,056",357,94,38,101,29,6,52,15,24,323,"1,747",692,578
2020년02월_계_10~19세,"5,403",853,153,78,268,45,12,69,28,8,521,"1,707",879,782
2020년02월_계_20~29세,"7,636","2,097",243,126,384,72,29,98,35,28,776,"1,933","1,014",801
2020년02월_계_30~39세,"6,192",628,238,108,284,74,23,103,30,44,653,"2,179","1,035",793
2020년02월_계_40~49세,"9,242","1,165",412,192,488,159,74,209,82,77,971,"2,584","1,592","1,237"
2020년02월_계_50~59세,"11,665","1,761",635,373,"1,037",312,149,351,142,137,"1,524","2,278","1,546","1,420"
2020년02월_계_60~69세,"10,686","1,785",670,364,"1,135",351,170,408,171,141,"1,563","1,330","1,250","1,348"
2020년02월_계_70~79세,"7,169","1,247",530,301,868,187,138,323,123,135,998,682,825,812
2020년02월_계_80~89세,"3,846",555,323,153,612,117,96,228,73,77,462,317,384,449
2020년02월_계_90~99세,535,59,48,27,87,11,19,33,11,7,61,53,63,56
2020년02월_계_100세 이상,48,14,8,0,7,0,0,1,1,1,1,4,9,2
2020년02월_남_총인구수,"33,686","5,255","1,750",875,"2,714",726,388,972,360,371,"3,880","7,561","4,727","4,107"
2020년02월_남_연령구간인구수,"33,686","5,255","1,750",875,"2,714",726,388,972,360,371,"3,880","7,561","4,727","4,107"
2020년02월_남_0~9세,"2,071",175,52,19,52,15,3,30,10,13,180,884,346,292
2020년02월_남_10~19세,"2,845",402,81,46,179,26,6,44,13,3,280,888,478,399
2020년02월_남_20~29세,"4,285","1,119",163,66,244,34,20,61,23,14,435,"1,111",555,440
2020년02월_남_30~39세,"3,304",325,148,67,173,49,14,56,15,28,355,"1,107",541,426
2020년02월_남_40~49세,"5,153",667,274,123,324,114,52,154,55,62,514,"1,290",855,669
2020년02월_남_50~59세,"6,166",944,368,194,584,163,96,198,81,77,746,"1,163",848,704
2020년02월_남_60~69세,"5,339",894,344,183,588,191,98,216,82,85,741,669,604,644
2020년02월_남_70~79세,"3,131",542,215,115,360,84,60,147,53,62,451,309,363,370
2020년02월_남_80~89세,"1,281",166,96,57,202,47,35,62,27,26,166,125,122,150
2020년02월_남_90~99세,99,16,6,5,7,3,4,4,1,1,12,14,14,12
2020년02월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년02월_여_총인구수,"32,792","5,266","1,604",885,"2,557",631,328,903,351,308,"3,973","7,253","4,562","4,171"
2020년02월_여_연령구간인구수,"32,792","5,266","1,604",885,"2,557",631,328,903,351,308,"3,973","7,253","4,562","4,171"
2020년02월_여_0~9세,"1,985",182,42,19,49,14,3,22,5,11,143,863,346,286
2020년02월_여_10~19세,"2,558",451,72,32,89,19,6,25,15,5,241,819,401,383
2020년02월_여_20~29세,"3,351",978,80,60,140,38,9,37,12,14,341,822,459,361
2020년02월_여_30~39세,"2,888",303,90,41,111,25,9,47,15,16,298,"1,072",494,367
2020년02월_여_40~49세,"4,089",498,138,69,164,45,22,55,27,15,457,"1,294",737,568
2020년02월_여_50~59세,"5,499",817,267,179,453,149,53,153,61,60,778,"1,115",698,716
2020년02월_여_60~69세,"5,347",891,326,181,547,160,72,192,89,56,822,661,646,704
2020년02월_여_70~79세,"4,038",705,315,186,508,103,78,176,70,73,547,373,462,442
2020년02월_여_80~89세,"2,565",389,227,96,410,70,61,166,46,51,296,192,262,299
2020년02월_여_90~99세,436,43,42,22,80,8,15,29,10,6,49,39,49,44
2020년02월_여_100세 이상,36,9,5,0,6,0,0,1,1,1,1,3,8,1
