카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년02월_계_총인구수,"343,857","7,975","11,488","8,986","13,769","6,698","13,604","12,764","7,686","14,451","15,189","4,255","27,025","10,408","16,226","18,809","15,611","44,351","10,420","69,297","14,845"
2020년02월_계_연령구간인구수,"343,857","7,975","11,488","8,986","13,769","6,698","13,604","12,764","7,686","14,451","15,189","4,255","27,025","10,408","16,226","18,809","15,611","44,351","10,420","69,297","14,845"
2020년02월_계_0~9세,"26,513",294,"1,156",744,505,243,920,"1,006",177,584,824,200,"2,804",428,916,994,835,"4,153",581,"8,441",708
2020년02월_계_10~19세,"27,477",492,882,599,774,437,971,"1,083",393,934,"1,100",284,"2,752",627,"1,004","1,440",989,"3,775",636,"7,155","1,150"
2020년02월_계_20~29세,"41,944",885,"1,108","1,005","1,955",825,"1,551","1,680","1,317","1,854","1,922",628,"2,984","1,391","2,189","2,473","1,955","5,436","1,336","7,982","1,468"
2020년02월_계_30~39세,"45,256",730,"1,619","1,301","1,601",590,"1,658","1,685","1,063","1,491","1,766",469,"3,683","1,047","2,024","1,907","1,738","6,134","1,211","12,241","1,298"
2020년02월_계_40~49세,"52,076","1,026","1,975","1,253","1,885",898,"2,038","1,986","1,035","1,835","2,206",532,"4,692","1,309","2,090","2,434","2,050","6,971","1,346","12,448","2,067"
2020년02월_계_50~59세,"57,734","1,449","1,661","1,444","2,729","1,271","2,230","2,251","1,361","2,696","2,622",758,"4,299","2,151","3,099","3,695","2,938","7,226","2,058","9,057","2,739"
2020년02월_계_60~69세,"49,438","1,437","1,524","1,376","2,375","1,245","2,058","1,601","1,254","2,579","2,533",688,"3,362","1,905","2,676","3,143","2,687","5,952","1,750","6,727","2,566"
2020년02월_계_70~79세,"29,561","1,105","1,062",831,"1,387",812,"1,457",966,725,"1,710","1,484",465,"1,687","1,073","1,547","1,808","1,688","3,143","1,055","3,716","1,840"
