,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년02월_계_총인구수,"467,954","48,387","13,366","10,807","30,063","9,044","13,274","11,387","3,906","7,559",0,565,0,163,0,"22,346","33,125","27,443","42,057","47,128","63,059","84,275"
2021년02월_계_연령구간인구수,"467,954","48,387","13,366","10,807","30,063","9,044","13,274","11,387","3,906","7,559",0,565,0,163,0,"22,346","33,125","27,443","42,057","47,128","63,059","84,275"
2021년02월_계_0~9세,"43,979","4,822",602,340,"1,747",188,642,461,94,573,0,20,0,5,0,"1,116","3,268","2,268","3,858","5,144","8,903","9,928"
2021년02월_계_10~19세,"49,265","4,736",810,714,"2,738",279,988,659,187,517,0,36,0,13,0,"1,504","4,237","2,766","5,528","6,004","7,572","9,977"
2021년02월_계_20~29세,"57,011","5,777","1,472","1,322","3,722","1,965","1,483","1,230",425,952,0,55,0,4,0,"3,442","4,243","3,840","4,747","5,658","6,661","10,013"
2021년02월_계_30~39세,"66,792","7,551","1,346",892,"2,948","2,166","1,456","1,025",245,859,0,47,0,11,0,"2,804","4,431","3,627","5,167","6,790","11,753","13,674"
2021년02월_계_40~49세,"81,111","7,531","1,694","1,221","4,509",970,"2,107","1,339",353,832,0,73,0,15,0,"3,302","6,011","4,329","8,305","9,145","12,490","16,885"
2021년02월_계_50~59세,"73,693","6,977","2,578","2,192","5,919","1,325","2,581","2,297",770,"1,202",0,103,0,30,0,"4,246","5,272","4,733","6,944","7,050","7,627","11,847"
2021년02월_계_60~69세,"50,457","5,365","2,349","2,054","4,579","1,167","2,057","2,253",809,"1,257",0,97,0,33,0,"3,141","2,891","3,183","4,066","4,170","4,345","6,641"
2021년02월_계_70~79세,"28,866","3,520","1,471","1,287","2,477",581,"1,162","1,254",594,899,0,90,0,32,0,"1,813","1,781","1,705","2,165","2,075","2,446","3,514"
2021년02월_계_80~89세,"14,461","1,826",866,670,"1,239",348,678,710,352,392,0,41,0,18,0,836,861,876,"1,094",948,"1,101","1,605"
2021년02월_계_90~99세,"2,119",250,137,103,170,51,111,144,66,74,0,3,0,2,0,127,118,113,171,138,156,185
2021년02월_계_100세 이상,200,32,41,12,15,4,9,15,11,2,0,0,0,0,0,15,12,3,12,6,5,6
2021년02월_남_총인구수,"237,118","24,726","7,090","5,738","15,276","5,760","7,189","6,212","2,050","4,070",0,285,0,89,0,"11,854","16,203","14,072","21,326","23,045","30,799","41,334"
2021년02월_남_연령구간인구수,"237,118","24,726","7,090","5,738","15,276","5,760","7,189","6,212","2,050","4,070",0,285,0,89,0,"11,854","16,203","14,072","21,326","23,045","30,799","41,334"
2021년02월_남_0~9세,"22,454","2,437",323,189,868,90,340,236,49,291,0,9,0,2,0,575,"1,674","1,134","1,955","2,616","4,553","5,113"
2021년02월_남_10~19세,"25,337","2,436",426,387,"1,379",157,514,374,99,295,0,15,0,4,0,795,"2,184","1,444","2,890","2,988","3,822","5,128"
2021년02월_남_20~29세,"30,191","3,173",883,809,"2,024","1,191",865,760,283,605,0,28,0,4,0,"1,935","2,145","2,106","2,588","2,722","3,149","4,921"
2021년02월_남_30~39세,"35,318","4,178",766,515,"1,613","1,755",858,613,142,484,0,22,0,6,0,"1,659","2,243","1,943","2,618","3,371","5,848","6,684"
2021년02월_남_40~49세,"41,557","4,000",993,694,"2,331",689,"1,193",795,207,476,0,50,0,6,0,"1,789","2,878","2,249","4,121","4,500","6,230","8,356"
2021년02월_남_50~59세,"38,565","3,639","1,478","1,202","3,091",817,"1,478","1,283",431,654,0,51,0,20,0,"2,390","2,689","2,448","3,718","3,526","3,774","5,876"
2021년02월_남_60~69세,"25,100","2,591","1,218","1,079","2,322",648,"1,109","1,251",416,674,0,54,0,18,0,"1,590","1,325","1,604","2,060","2,020","1,990","3,131"
2021년02월_남_70~79세,"12,697","1,515",643,607,"1,123",285,548,631,273,418,0,37,0,17,0,793,728,771,944,916,978,"1,470"
2021년02월_남_80~89세,"5,294",655,311,221,476,117,259,233,132,155,0,17,0,10,0,289,308,341,398,353,412,607
2021년02월_남_90~99세,545,87,38,32,44,11,24,32,12,18,0,2,0,2,0,32,26,30,33,33,41,48
2021년02월_남_100세 이상,60,15,11,3,5,0,1,4,6,0,0,0,0,0,0,7,3,2,1,0,2,0
2021년02월_여_총인구수,"230,836","23,661","6,276","5,069","14,787","3,284","6,085","5,175","1,856","3,489",0,280,0,74,0,"10,492","16,922","13,371","20,731","24,083","32,260","42,941"
2021년02월_여_연령구간인구수,"230,836","23,661","6,276","5,069","14,787","3,284","6,085","5,175","1,856","3,489",0,280,0,74,0,"10,492","16,922","13,371","20,731","24,083","32,260","42,941"
2021년02월_여_0~9세,"21,525","2,385",279,151,879,98,302,225,45,282,0,11,0,3,0,541,"1,594","1,134","1,903","2,528","4,350","4,815"
2021년02월_여_10~19세,"23,928","2,300",384,327,"1,359",122,474,285,88,222,0,21,0,9,0,709,"2,053","1,322","2,638","3,016","3,750","4,849"
2021년02월_여_20~29세,"26,820","2,604",589,513,"1,698",774,618,470,142,347,0,27,0,0,0,"1,507","2,098","1,734","2,159","2,936","3,512","5,092"
2021년02월_여_30~39세,"31,474","3,373",580,377,"1,335",411,598,412,103,375,0,25,0,5,0,"1,145","2,188","1,684","2,549","3,419","5,905","6,990"
2021년02월_여_40~49세,"39,554","3,531",701,527,"2,178",281,914,544,146,356,0,23,0,9,0,"1,513","3,133","2,080","4,184","4,645","6,260","8,529"
2021년02월_여_50~59세,"35,128","3,338","1,100",990,"2,828",508,"1,103","1,014",339,548,0,52,0,10,0,"1,856","2,583","2,285","3,226","3,524","3,853","5,971"
2021년02월_여_60~69세,"25,357","2,774","1,131",975,"2,257",519,948,"1,002",393,583,0,43,0,15,0,"1,551","1,566","1,579","2,006","2,150","2,355","3,510"
2021년02월_여_70~79세,"16,169","2,005",828,680,"1,354",296,614,623,321,481,0,53,0,15,0,"1,020","1,053",934,"1,221","1,159","1,468","2,044"
2021년02월_여_80~89세,"9,167","1,171",555,449,763,231,419,477,220,237,0,24,0,8,0,547,553,535,696,595,689,998
2021년02월_여_90~99세,"1,574",163,99,71,126,40,87,112,54,56,0,1,0,0,0,95,92,83,138,105,115,137
2021년02월_여_100세 이상,140,17,30,9,10,4,8,11,5,2,0,0,0,0,0,8,9,1,11,6,3,6
