,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년07월_계_총인구수,"266,226","3,133","4,797","3,400","2,655","2,531","4,896","2,971","2,873","2,190","3,344","2,974","2,309","5,210","7,038","5,559","4,438","12,799","22,467","7,430","8,039","2,838","55,471","12,508","23,537","32,244","16,964","11,611"
2021년07월_계_연령구간인구수,"266,226","3,133","4,797","3,400","2,655","2,531","4,896","2,971","2,873","2,190","3,344","2,974","2,309","5,210","7,038","5,559","4,438","12,799","22,467","7,430","8,039","2,838","55,471","12,508","23,537","32,244","16,964","11,611"
2021년07월_계_0~9세,"20,075",81,576,177,60,74,133,76,90,40,100,110,108,168,331,147,258,"1,092","2,555",375,505,169,"6,480",619,"1,594","2,454","1,067",636
2021년07월_계_10~19세,"26,364",115,392,338,104,108,227,139,131,93,161,148,149,375,574,321,200,"1,103","2,099",489,686,237,"7,715","1,108","2,829","4,104","1,606",813
2021년07월_계_20~29세,"29,489",238,379,237,226,152,326,258,250,134,306,273,163,423,782,585,417,"1,332","2,576",690,"1,077",297,"6,606","1,512","2,894","4,264","1,894","1,198"
2021년07월_계_30~39세,"29,649",181,716,213,153,153,336,184,176,115,258,196,175,407,550,375,616,"1,693","3,718",706,961,243,"7,374","1,213","2,082","3,451","2,026","1,378"
2021년07월_계_40~49세,"42,885",301,743,453,237,236,498,278,253,212,466,343,257,656,909,577,610,"1,924","3,661","1,069","1,089",333,"10,987","1,784","3,778","5,974","3,223","2,034"
2021년07월_계_50~59세,"43,946",583,690,551,448,409,763,545,546,360,710,454,339,863,"1,073",917,652,"2,025","3,122","1,224","1,447",472,"8,196","2,367","4,187","5,632","3,161","2,210"
2021년07월_계_60~69세,"38,610",696,635,604,659,609,"1,152",706,656,523,731,605,495,"1,110","1,345","1,152",795,"1,863","2,656","1,435","1,350",529,"4,790","2,235","3,426","3,643","2,397","1,813"
2021년07월_계_70~79세,"23,194",541,397,459,432,413,865,498,477,412,415,535,441,809,"1,014",976,625,"1,250","1,482","1,027",646,345,"2,281","1,169","1,751","1,823","1,115",996
2021년07월_계_80~89세,"10,333",331,224,316,271,300,503,248,247,257,172,266,161,354,414,446,224,460,513,365,236,183,898,429,860,795,388,472
2021년07월_계_90~99세,"1,627",65,44,52,60,71,91,35,46,41,23,42,20,44,46,62,39,57,82,49,42,28,139,71,133,102,84,59
2021년07월_계_100세 이상,54,1,1,0,5,6,2,4,1,3,2,2,1,1,0,1,2,0,3,1,0,2,5,1,3,2,3,2
2021년07월_남_총인구수,"134,743","1,620","2,436","1,747","1,362","1,274","2,446","1,513","1,438","1,145","1,872","1,522","1,120","2,615","3,514","2,705","2,254","6,417","11,397","3,706","4,016","1,444","27,715","6,225","11,402","16,074","9,347","6,417"
2021년07월_남_연령구간인구수,"134,743","1,620","2,436","1,747","1,362","1,274","2,446","1,513","1,438","1,145","1,872","1,522","1,120","2,615","3,514","2,705","2,254","6,417","11,397","3,706","4,016","1,444","27,715","6,225","11,402","16,074","9,347","6,417"
2021년07월_남_0~9세,"10,215",42,285,88,35,44,69,34,37,24,50,56,56,85,176,78,144,568,"1,292",195,238,79,"3,310",312,794,"1,245",563,316
2021년07월_남_10~19세,"13,622",61,194,178,59,49,131,76,60,55,92,80,72,191,294,153,106,574,"1,119",260,354,129,"3,994",603,"1,376","2,101",825,436
2021년07월_남_20~29세,"16,255",151,213,145,136,92,190,160,156,81,180,159,70,249,453,343,205,700,"1,363",363,574,181,"3,525",840,"1,622","2,323","1,098",683
2021년07월_남_30~39세,"15,511",115,362,106,94,97,186,108,87,65,165,113,86,211,287,205,359,879,"1,931",404,514,125,"3,530",664,"1,021","1,762","1,201",834
2021년07월_남_40~49세,"22,475",192,404,271,149,151,305,154,148,127,304,209,150,360,484,325,338,"1,012","1,924",605,555,173,"5,380",866,"1,787","2,946","1,898","1,258"
2021년07월_남_50~59세,"23,156",336,376,320,245,237,436,297,286,214,413,265,184,459,562,457,344,"1,053","1,604",636,687,244,"4,266","1,168","2,076","2,847","1,833","1,311"
