,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년06월_계_총인구수,"281,400","7,791","19,645","1,494","2,581","1,104","3,865","2,577",949,"17,343","3,538","3,600","2,969","2,341","8,961","9,987","12,004","15,172","21,391","4,624","11,998","4,599","35,847","49,709","16,862","20,449"
2020년06월_계_연령구간인구수,"281,400","7,791","19,645","1,494","2,581","1,104","3,865","2,577",949,"17,343","3,538","3,600","2,969","2,341","8,961","9,987","12,004","15,172","21,391","4,624","11,998","4,599","35,847","49,709","16,862","20,449"
2020년06월_계_0~9세,"21,923",366,"2,256",28,112,25,123,75,16,"1,518",84,109,93,93,978,826,569,"1,337","1,797",346,434,153,"2,730","4,542","1,286","2,027"
2020년06월_계_10~19세,"27,298",478,"2,426",67,144,38,190,153,22,"1,723",165,192,146,123,684,762,889,"1,506","2,075",411,738,248,"4,499","6,092","1,363","2,164"
2020년06월_계_20~29세,"36,944",833,"1,891",130,255,42,246,176,38,"2,166",256,830,414,277,"1,056","1,246","1,903","2,194","2,688",549,"2,631","1,046","5,114","6,240","2,225","2,498"
2020년06월_계_30~39세,"34,462",702,"2,515",97,207,74,235,118,39,"2,441",270,425,317,226,"1,463","1,325","1,379","2,170","2,913",502,"1,292",624,"3,917","6,419","2,184","2,608"
2020년06월_계_40~49세,"42,559",921,"3,558",120,267,91,360,232,65,"2,890",371,392,370,270,"1,207","1,406","1,575","2,257","3,176",707,"1,466",517,"6,115","8,561","2,395","3,270"
2020년06월_계_50~59세,"47,007","1,469","3,093",273,515,219,740,504,188,"2,807",702,522,529,422,"1,288","1,751","2,061","2,460","3,493",778,"1,839",700,"6,269","8,297","2,951","3,137"
2020년06월_계_60~69세,"36,880","1,388","2,296",381,556,269,916,633,286,"2,110",872,524,516,411,"1,078","1,325","1,863","1,648","2,796",646,"1,688",641,"3,813","5,330","2,488","2,406"
2020년06월_계_70~79세,"21,050",946,"1,003",227,285,190,576,412,196,"1,039",519,378,347,301,752,831,"1,116",988,"1,527",439,"1,181",410,"2,077","2,598","1,271","1,441"
