,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년06월_계_총인구수,"39,582","4,314",250,"5,896",250,223,"1,527",333,"3,212","2,277","3,576","2,573",217,"2,364",459,223,521,334,"1,777","1,590","1,601","2,735",288,999,"2,043"
2020년06월_계_연령구간인구수,"39,582","4,314",250,"5,896",250,223,"1,527",333,"3,212","2,277","3,576","2,573",217,"2,364",459,223,521,334,"1,777","1,590","1,601","2,735",288,999,"2,043"
2020년06월_계_0~9세,"1,676",159,5,238,9,9,56,6,191,96,142,122,9,72,13,9,36,12,79,79,79,125,9,22,99
2020년06월_계_10~19세,"2,051",232,8,279,4,7,54,13,216,99,216,220,5,124,22,16,30,22,105,103,63,98,7,34,74
2020년06월_계_20~29세,"2,962",311,15,540,8,5,119,21,241,143,221,181,6,219,80,14,49,31,122,135,92,205,19,54,131
2020년06월_계_30~39세,"2,890",280,13,461,20,16,106,23,233,141,245,183,12,202,48,14,65,27,123,137,119,190,35,62,135
2020년06월_계_40~49세,"4,450",479,19,661,23,22,194,37,419,222,419,276,32,316,77,28,87,45,201,213,156,221,31,87,185
2020년06월_계_50~59세,"7,170",792,56,"1,121",44,34,286,73,589,434,633,399,57,456,91,48,109,62,319,300,250,466,46,142,363
2020년06월_계_60~69세,"7,579",834,55,"1,230",64,49,241,71,565,442,692,441,46,394,64,43,73,70,332,277,329,546,68,228,425
2020년06월_계_70~79세,"6,433",741,38,807,56,56,299,63,508,430,623,429,30,325,40,26,44,42,287,205,302,481,44,219,338
2020년06월_계_80~89세,"3,893",433,39,480,21,24,156,25,232,250,336,296,17,213,23,22,28,17,193,127,187,345,26,136,267
2020년06월_계_90~99세,462,52,2,75,1,1,15,1,18,20,49,26,2,39,1,3,0,6,16,12,22,57,3,15,26
2020년06월_계_100세 이상,16,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,2,1,0,0,0
2020년06월_남_총인구수,"21,033","2,250",131,"3,167",132,128,818,192,"1,702","1,206","1,869","1,311",124,"1,314",295,124,297,196,951,862,837,"1,422",157,496,"1,052"
2020년06월_남_연령구간인구수,"21,033","2,250",131,"3,167",132,128,818,192,"1,702","1,206","1,869","1,311",124,"1,314",295,124,297,196,951,862,837,"1,422",157,496,"1,052"
2020년06월_남_0~9세,867,89,2,128,5,7,29,2,96,53,75,60,6,32,7,5,19,6,34,33,43,62,5,10,59
2020년06월_남_10~19세,"1,063",110,4,134,3,5,26,10,116,52,104,107,3,76,14,9,20,12,58,55,27,55,4,17,42
2020년06월_남_20~29세,"1,755",197,10,304,5,3,72,9,147,78,112,109,3,133,57,8,25,19,77,72,57,122,13,43,80
