카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년07월_계_총인구수,"198,212","31,605","38,678","22,539","16,430","22,514","18,629","25,701","22,116"
2020년07월_계_연령구간인구수,"198,212","31,605","38,678","22,539","16,430","22,514","18,629","25,701","22,116"
2020년07월_계_0~9세,"15,686","4,718","2,902","1,702",784,"1,669",804,"1,411","1,696"
2020년07월_계_10~19세,"18,499","2,235","4,176","2,304","1,130","2,825","1,341","2,165","2,323"
2020년07월_계_20~29세,"27,416","3,410","5,670","3,240","2,235","3,105","2,907","3,815","3,034"
2020년07월_계_30~39세,"26,874","6,328","4,763","2,839","2,071","2,577","2,223","3,213","2,860"
2020년07월_계_40~49세,"33,062","5,555","6,552","3,851","2,484","3,994","2,695","3,805","4,126"
2020년07월_계_50~59세,"35,882","4,263","7,330","4,149","3,284","3,921","3,905","5,067","3,963"
2020년07월_계_60~69세,"23,674","3,190","4,127","2,482","2,497","2,611","2,799","3,652","2,316"
2020년07월_계_70~79세,"11,619","1,428","2,055","1,334","1,300","1,205","1,358","1,735","1,204"
2020년07월_계_80~89세,"4,746",403,966,558,536,534,513,723,513
2020년07월_계_90~99세,676,71,131,73,84,68,75,101,73
2020년07월_계_100세 이상,78,4,6,7,25,5,9,14,8
2020년07월_남_총인구수,"98,386","15,703","19,112","11,078","8,332","10,939","9,250","12,846","11,126"
2020년07월_남_연령구간인구수,"98,386","15,703","19,112","11,078","8,332","10,939","9,250","12,846","11,126"
2020년07월_남_0~9세,"8,137","2,467","1,549",871,411,837,427,707,868
2020년07월_남_10~19세,"9,526","1,090","2,204","1,199",542,"1,440",693,"1,149","1,209"
2020년07월_남_20~29세,"14,061","1,705","2,917","1,628","1,160","1,600","1,445","2,008","1,598"
2020년07월_남_30~39세,"13,572","3,083","2,387","1,405","1,132","1,246","1,201","1,680","1,438"
2020년07월_남_40~49세,"16,439","2,939","3,110","1,874","1,330","1,846","1,348","1,973","2,019"
2020년07월_남_50~59세,"17,650","2,031","3,567","2,034","1,670","1,899","1,941","2,471","2,037"
2020년07월_남_60~69세,"11,858","1,542","2,100","1,224","1,258","1,293","1,419","1,818","1,204"
2020년07월_남_70~79세,"5,195",709,871,600,595,552,576,758,534
2020년07월_남_80~89세,"1,749",120,369,211,199,209,180,261,200
2020년07월_남_90~99세,175,16,36,29,24,17,18,17,18
2020년07월_남_100세 이상,24,1,2,3,11,0,2,4,1
2020년07월_여_총인구수,"99,826","15,902","19,566","11,461","8,098","11,575","9,379","12,855","10,990"
2020년07월_여_연령구간인구수,"99,826","15,902","19,566","11,461","8,098","11,575","9,379","12,855","10,990"
2020년07월_여_0~9세,"7,549","2,251","1,353",831,373,832,377,704,828
2020년07월_여_10~19세,"8,973","1,145","1,972","1,105",588,"1,385",648,"1,016","1,114"
2020년07월_여_20~29세,"13,355","1,705","2,753","1,612","1,075","1,505","1,462","1,807","1,436"
2020년07월_여_30~39세,"13,302","3,245","2,376","1,434",939,"1,331","1,022","1,533","1,422"
2020년07월_여_40~49세,"16,623","2,616","3,442","1,977","1,154","2,148","1,347","1,832","2,107"
2020년07월_여_50~59세,"18,232","2,232","3,763","2,115","1,614","2,022","1,964","2,596","1,926"
2020년07월_여_60~69세,"11,816","1,648","2,027","1,258","1,239","1,318","1,380","1,834","1,112"
2020년07월_여_70~79세,"6,424",719,"1,184",734,705,653,782,977,670
2020년07월_여_80~89세,"2,997",283,597,347,337,325,333,462,313
2020년07월_여_90~99세,501,55,95,44,60,51,57,84,55
2020년07월_여_100세 이상,54,3,4,4,14,5,7,10,7
