,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년09월_계_총인구수,"145,512","12,020","9,379","2,490","9,648","18,158","8,295","10,071","4,162","7,187","5,133","7,312","16,530","4,943","7,985","6,668","5,881","9,650"
2021년09월_계_연령구간인구수,"145,512","12,020","9,379","2,490","9,648","18,158","8,295","10,071","4,162","7,187","5,133","7,312","16,530","4,943","7,985","6,668","5,881","9,650"
2021년09월_계_0~9세,"7,148",762,553,102,513,"1,153",673,838,184,187,97,226,625,138,207,365,259,266
2021년09월_계_10~19세,"10,565","1,145",668,177,871,"1,595",983,792,325,224,232,375,"1,341",219,446,481,352,339
2021년09월_계_20~29세,"23,036","1,567","1,223",326,"1,252","2,391",900,"1,227",487,927,"1,095","1,611","4,394",602,"1,139",924,766,"2,205"
2021년09월_계_30~39세,"19,517","1,592","1,466",320,"1,207","2,172",914,"1,598",546,922,742,"1,237","2,050",546,892,933,803,"1,577"
2021년09월_계_40~49세,"21,226","2,110","1,465",347,"1,589","2,678","1,422","1,779",716,924,567,916,"2,147",587,"1,004",898,872,"1,205"
2021년09월_계_50~59세,"24,921","1,919","1,519",385,"1,676","3,243","1,407","1,567",709,"1,316",895,"1,101","2,365","1,031","1,784","1,239","1,132","1,633"
2021년09월_계_60~69세,"20,291","1,391","1,207",416,"1,327","2,653","1,043","1,176",571,"1,400",764,929,"1,657","1,031","1,384","1,052",927,"1,363"
2021년09월_계_70~79세,"11,727",934,720,243,748,"1,314",587,720,398,814,492,568,"1,176",517,768,507,498,723
2021년09월_계_80~89세,"6,081",521,467,142,387,789,321,330,190,403,219,306,672,239,321,232,240,302
2021년09월_계_90~99세,943,72,88,26,73,162,41,42,34,64,28,40,99,33,37,36,32,36
2021년09월_계_100세 이상,57,7,3,6,5,8,4,2,2,6,2,3,4,0,3,1,0,1
2021년09월_남_총인구수,"70,666","5,569","4,208","1,181","4,606","8,471","3,863","4,649","1,925","4,254","2,750","3,450","7,995","2,643","4,112","3,281","2,844","4,865"
2021년09월_남_연령구간인구수,"70,666","5,569","4,208","1,181","4,606","8,471","3,863","4,649","1,925","4,254","2,750","3,450","7,995","2,643","4,112","3,281","2,844","4,865"
2021년09월_남_0~9세,"3,615",393,274,45,257,605,308,425,98,95,48,111,303,65,116,200,138,134
2021년09월_남_10~19세,"5,251",605,292,101,470,802,441,373,171,113,111,175,667,119,231,240,162,178
2021년09월_남_20~29세,"11,117",776,550,165,660,"1,183",421,571,221,452,523,745,"2,181",318,596,486,374,895
2021년09월_남_30~39세,"9,717",741,646,149,583,"1,005",415,713,259,528,436,615,"1,092",315,521,465,408,826
2021년09월_남_40~49세,"10,319",939,648,166,727,"1,210",669,839,343,558,336,458,"1,030",300,529,449,456,662
2021년09월_남_50~59세,"12,540",876,692,193,758,"1,475",732,763,328,912,514,544,"1,148",589,941,584,558,933
2021년09월_남_60~69세,"10,122",624,569,192,635,"1,241",485,530,262,906,442,437,798,587,701,531,441,741
2021년09월_남_70~79세,"5,209",375,298,110,338,593,250,286,159,473,230,241,481,253,331,227,209,355
2021년09월_남_80~89세,"2,471",218,205,48,158,315,127,137,76,195,101,108,264,86,130,83,89,131
2021년09월_남_90~99세,287,21,32,11,19,39,13,12,7,18,8,15,31,11,16,15,9,10
2021년09월_남_100세 이상,18,1,2,1,1,3,2,0,1,4,1,1,0,0,0,1,0,0
2021년09월_여_총인구수,"74,846","6,451","5,171","1,309","5,042","9,687","4,432","5,422","2,237","2,933","2,383","3,862","8,535","2,300","3,873","3,387","3,037","4,785"
2021년09월_여_연령구간인구수,"74,846","6,451","5,171","1,309","5,042","9,687","4,432","5,422","2,237","2,933","2,383","3,862","8,535","2,300","3,873","3,387","3,037","4,785"
2021년09월_여_0~9세,"3,533",369,279,57,256,548,365,413,86,92,49,115,322,73,91,165,121,132
2021년09월_여_10~19세,"5,314",540,376,76,401,793,542,419,154,111,121,200,674,100,215,241,190,161
2021년09월_여_20~29세,"11,919",791,673,161,592,"1,208",479,656,266,475,572,866,"2,213",284,543,438,392,"1,310"
2021년09월_여_30~39세,"9,800",851,820,171,624,"1,167",499,885,287,394,306,622,958,231,371,468,395,751
2021년09월_여_40~49세,"10,907","1,171",817,181,862,"1,468",753,940,373,366,231,458,"1,117",287,475,449,416,543
2021년09월_여_50~59세,"12,381","1,043",827,192,918,"1,768",675,804,381,404,381,557,"1,217",442,843,655,574,700
2021년09월_여_60~69세,"10,169",767,638,224,692,"1,412",558,646,309,494,322,492,859,444,683,521,486,622
2021년09월_여_70~79세,"6,518",559,422,133,410,721,337,434,239,341,262,327,695,264,437,280,289,368
2021년09월_여_80~89세,"3,610",303,262,94,229,474,194,193,114,208,118,198,408,153,191,149,151,171
2021년09월_여_90~99세,656,51,56,15,54,123,28,30,27,46,20,25,68,22,21,21,23,26
2021년09월_여_100세 이상,39,6,1,5,4,5,2,2,1,2,1,2,4,0,3,0,0,1
