카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년12월_계_총인구수,"437,008","4,882","23,463","4,103","18,811","19,909","9,205","10,848","8,998","8,408","17,759","7,552","30,640","6,472","36,441","36,550","22,089","24,451","35,072","16,469","26,862","27,904","11,583","28,537"
2021년12월_계_연령구간인구수,"437,008","4,882","23,463","4,103","18,811","19,909","9,205","10,848","8,998","8,408","17,759","7,552","30,640","6,472","36,441","36,550","22,089","24,451","35,072","16,469","26,862","27,904","11,583","28,537"
2021년12월_계_0~9세,"31,921",355,"2,261",161,"2,028","1,648",240,550,245,271,"1,060",168,"2,369",260,"3,344","4,279","1,224","1,473","2,354",769,"1,596","2,050",567,"2,649"
2021년12월_계_10~19세,"41,761",338,"2,031",196,"2,289","2,179",404,860,445,461,"1,119",323,"3,114",382,"3,806","3,188","1,630","2,310","4,646","1,435","2,371","4,070",565,"3,599"
2021년12월_계_20~29세,"61,011",552,"2,818",452,"2,012","2,314",946,"1,581","2,514","1,251","2,783","2,329","4,409",693,"4,142","3,681","3,886","3,622","5,190","2,290","4,214","4,028","1,262","4,042"
2021년12월_계_30~39세,"52,587",690,"3,567",458,"2,530","2,169",721,"1,146","1,139",996,"2,011","1,054","3,991",743,"4,599","5,878","2,558","2,668","3,257","1,568","3,177","2,684","1,466","3,517"
2021년12월_계_40~49세,"70,291",672,"4,120",459,"3,664","3,367","1,051","1,376","1,018","1,008","2,555",796,"4,889",840,"6,819","6,438","2,993","3,719","6,211","2,274","3,599","5,410","1,518","5,495"
2021년12월_계_50~59세,"78,215",767,"3,305",831,"2,783","3,457","1,789","2,156","1,209","1,462","2,845","1,181","5,329","1,135","6,472","5,877","4,142","4,618","7,221","3,467","5,363","5,563","2,190","5,053"
2021년12월_계_60~69세,"57,534",768,"2,754",906,"1,945","2,513","2,039","1,814","1,277","1,610","2,699",999,"4,045","1,329","4,286","4,462","3,263","3,555","3,628","2,812","3,921","2,252","2,302","2,355"
2021년12월_계_70~79세,"28,982",500,"1,624",431,"1,027","1,501","1,350",934,757,911,"1,718",469,"1,662",712,"2,123","1,924","1,548","1,681","1,681","1,173","1,669","1,165","1,264","1,158"
2021년12월_계_80~89세,"13,157",207,862,182,481,691,618,383,350,389,860,210,732,344,754,722,745,723,794,629,858,633,399,591
2021년12월_계_90~99세,"1,518",31,121,25,50,67,45,47,44,48,109,23,98,34,95,99,99,80,89,49,91,49,49,76
2021년12월_계_100세 이상,31,2,0,2,2,3,2,1,0,1,0,0,2,0,1,2,1,2,1,3,3,0,1,2
2021년12월_남_총인구수,"217,420","2,377","11,273","2,191","9,045","9,608","4,573","5,299","4,686","4,401","8,951","4,147","15,196","3,215","18,564","18,215","11,087","12,041","17,240","8,321","13,311","13,541","6,040","14,098"
2021년12월_남_연령구간인구수,"217,420","2,377","11,273","2,191","9,045","9,608","4,573","5,299","4,686","4,401","8,951","4,147","15,196","3,215","18,564","18,215","11,087","12,041","17,240","8,321","13,311","13,541","6,040","14,098"
2021년12월_남_0~9세,"16,309",171,"1,105",83,"1,010",864,127,269,127,139,523,91,"1,216",131,"1,756","2,215",635,785,"1,152",387,828,"1,050",282,"1,363"
2021년12월_남_10~19세,"21,676",164,"1,019",114,"1,164","1,111",222,442,227,265,565,179,"1,622",194,"1,945","1,619",870,"1,223","2,429",758,"1,285","2,124",288,"1,847"
2021년12월_남_20~29세,"32,944",297,"1,352",258,"1,032","1,238",551,884,"1,359",712,"1,667","1,367","2,408",396,"2,207","1,982","2,050","1,901","2,801","1,294","2,266","2,157",698,"2,067"
2021년12월_남_30~39세,"27,763",355,"1,767",279,"1,173","1,034",418,624,724,624,"1,116",665,"2,115",436,"2,379","2,956","1,432","1,459","1,664",894,"1,712","1,295",860,"1,782"
2021년12월_남_40~49세,"34,552",359,"2,053",265,"1,757","1,583",605,657,584,584,"1,341",471,"2,310",454,"3,457","3,323","1,497","1,802","2,830","1,152","1,667","2,344",852,"2,605"
2021년12월_남_50~59세,"38,696",404,"1,598",436,"1,369","1,670",923,997,617,744,"1,437",590,"2,542",559,"3,429","2,857","2,006","2,185","3,579","1,697","2,543","2,787","1,147","2,580"
2021년12월_남_60~69세,"27,966",342,"1,325",482,894,"1,190",983,877,598,738,"1,248",491,"1,950",616,"2,116","2,162","1,605","1,677","1,830","1,396","1,966","1,135","1,153","1,192"
2021년12월_남_70~79세,"12,587",210,691,212,433,648,521,416,315,425,727,209,746,309,983,860,690,725,691,536,738,429,588,485
2021년12월_남_80~89세,"4,610",65,337,52,197,253,215,121,121,164,301,77,275,117,279,228,283,269,247,198,284,206,158,163
2021년12월_남_90~99세,316,9,26,10,16,17,8,12,14,6,26,7,12,3,13,13,19,15,17,9,22,14,14,14
2021년12월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"219,588","2,505","12,190","1,912","9,766","10,301","4,632","5,549","4,312","4,007","8,808","3,405","15,444","3,257","17,877","18,335","11,002","12,410","17,832","8,148","13,551","14,363","5,543","14,439"
2021년12월_여_연령구간인구수,"219,588","2,505","12,190","1,912","9,766","10,301","4,632","5,549","4,312","4,007","8,808","3,405","15,444","3,257","17,877","18,335","11,002","12,410","17,832","8,148","13,551","14,363","5,543","14,439"
2021년12월_여_0~9세,"15,612",184,"1,156",78,"1,018",784,113,281,118,132,537,77,"1,153",129,"1,588","2,064",589,688,"1,202",382,768,"1,000",285,"1,286"
2021년12월_여_10~19세,"20,085",174,"1,012",82,"1,125","1,068",182,418,218,196,554,144,"1,492",188,"1,861","1,569",760,"1,087","2,217",677,"1,086","1,946",277,"1,752"
2021년12월_여_20~29세,"28,067",255,"1,466",194,980,"1,076",395,697,"1,155",539,"1,116",962,"2,001",297,"1,935","1,699","1,836","1,721","2,389",996,"1,948","1,871",564,"1,975"
2021년12월_여_30~39세,"24,824",335,"1,800",179,"1,357","1,135",303,522,415,372,895,389,"1,876",307,"2,220","2,922","1,126","1,209","1,593",674,"1,465","1,389",606,"1,735"
2021년12월_여_40~49세,"35,739",313,"2,067",194,"1,907","1,784",446,719,434,424,"1,214",325,"2,579",386,"3,362","3,115","1,496","1,917","3,381","1,122","1,932","3,066",666,"2,890"
2021년12월_여_50~59세,"39,519",363,"1,707",395,"1,414","1,787",866,"1,159",592,718,"1,408",591,"2,787",576,"3,043","3,020","2,136","2,433","3,642","1,770","2,820","2,776","1,043","2,473"
2021년12월_여_60~69세,"29,568",426,"1,429",424,"1,051","1,323","1,056",937,679,872,"1,451",508,"2,095",713,"2,170","2,300","1,658","1,878","1,798","1,416","1,955","1,117","1,149","1,163"
2021년12월_여_70~79세,"16,395",290,933,219,594,853,829,518,442,486,991,260,916,403,"1,140","1,064",858,956,990,637,931,736,676,673
2021년12월_여_80~89세,"8,547",142,525,130,284,438,403,262,229,225,559,133,457,227,475,494,462,454,547,431,574,427,241,428
2021년12월_여_90~99세,"1,202",22,95,15,34,50,37,35,30,42,83,16,86,31,82,86,80,65,72,40,69,35,35,62
2021년12월_여_100세 이상,30,1,0,2,2,3,2,1,0,1,0,0,2,0,1,2,1,2,1,3,3,0,1,2
