,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년04월_계_총인구수,"16,516","7,201","2,133","1,723","1,744","1,710","2,005"
2021년04월_계_연령구간인구수,"16,516","7,201","2,133","1,723","1,744","1,710","2,005"
2021년04월_계_0~9세,715,435,73,54,38,58,57
2021년04월_계_10~19세,920,540,75,53,78,99,75
2021년04월_계_20~29세,"1,121",634,100,77,108,93,109
2021년04월_계_30~39세,"1,011",613,114,60,68,70,86
2021년04월_계_40~49세,"1,658",907,172,126,130,161,162
2021년04월_계_50~59세,"2,908","1,241",366,284,331,308,378
2021년04월_계_60~69세,"3,540","1,306",519,434,395,398,488
2021년04월_계_70~79세,"2,633",898,411,364,300,282,378
2021년04월_계_80~89세,"1,727",525,263,238,261,202,238
2021년04월_계_90~99세,265,100,39,30,34,33,29
2021년04월_계_100세 이상,18,2,1,3,1,6,5
2021년04월_남_총인구수,"8,183","3,548","1,034",874,860,857,"1,010"
2021년04월_남_연령구간인구수,"8,183","3,548","1,034",874,860,857,"1,010"
2021년04월_남_0~9세,375,238,35,29,17,34,22
2021년04월_남_10~19세,474,268,45,26,42,48,45
2021년04월_남_20~29세,654,368,56,44,63,57,66
2021년04월_남_30~39세,551,323,63,38,41,38,48
2021년04월_남_40~49세,970,502,113,86,70,99,100
2021년04월_남_50~59세,"1,600",642,202,178,187,176,215
2021년04월_남_60~69세,"1,788",650,254,210,205,204,265
2021년04월_남_70~79세,"1,141",376,171,179,134,119,162
2021년04월_남_80~89세,563,161,86,77,90,69,80
2021년04월_남_90~99세,64,20,8,7,11,12,6
2021년04월_남_100세 이상,3,0,1,0,0,1,1
2021년04월_여_총인구수,"8,333","3,653","1,099",849,884,853,995
2021년04월_여_연령구간인구수,"8,333","3,653","1,099",849,884,853,995
2021년04월_여_0~9세,340,197,38,25,21,24,35
2021년04월_여_10~19세,446,272,30,27,36,51,30
2021년04월_여_20~29세,467,266,44,33,45,36,43
2021년04월_여_30~39세,460,290,51,22,27,32,38
2021년04월_여_40~49세,688,405,59,40,60,62,62
2021년04월_여_50~59세,"1,308",599,164,106,144,132,163
2021년04월_여_60~69세,"1,752",656,265,224,190,194,223
2021년04월_여_70~79세,"1,492",522,240,185,166,163,216
2021년04월_여_80~89세,"1,164",364,177,161,171,133,158
2021년04월_여_90~99세,201,80,31,23,23,21,23
2021년04월_여_100세 이상,15,2,0,3,1,5,4
