,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년11월_계_총인구수,"2,119,529","658,465","255,471","402,994","103,301","98,438","324,552","176,610","114,662","43,105","166,989","50,562","63,891","50,798","30,390","99,336","76,830","61,600"
2021년11월_계_연령구간인구수,"2,119,529","658,465","255,471","402,994","103,301","98,438","324,552","176,610","114,662","43,105","166,989","50,562","63,891","50,798","30,390","99,336","76,830","61,600"
2021년11월_계_0~9세,"163,587","58,924","18,907","40,017","5,350","5,646","31,739","14,813","6,801","3,762","14,599","2,356","2,697","2,135","1,172","7,391","3,340","2,862"
2021년11월_계_10~19세,"200,859","67,690","25,644","42,046","7,950","8,043","35,453","17,096","9,471","6,241","15,827","4,110","4,458","3,342","1,940","9,490","5,476","4,272"
2021년11월_계_20~29세,"238,690","95,353","34,631","60,722","10,913","9,091","37,529","18,949","10,828","4,819","15,779","3,728","5,053","3,639","2,492","9,323","6,453","4,741"
2021년11월_계_30~39세,"260,233","102,419","31,761","70,658","8,991","8,933","48,485","21,667","10,241","4,544","21,777","3,383","4,120","3,204","1,934","10,073","5,760","4,702"
2021년11월_계_40~49세,"325,143","111,540","41,839","69,701","12,881","13,333","58,066","27,759","14,683","8,198","26,948","5,952","6,776","5,431","2,943","14,178","9,057","7,398"
2021년11월_계_50~59세,"340,365","103,951","43,367","60,584","17,883","16,656","48,364","28,758","19,263","7,198","26,569","8,880","10,305","8,219","5,067","15,736","12,987","10,529"
2021년11월_계_60~69세,"299,047","69,655","33,902","35,753","19,486","17,881","34,955","23,717","20,899","4,886","22,614","10,383","13,572","10,526","6,519","15,504","15,628","12,822"
2021년11월_계_70~79세,"172,222","30,693","15,768","14,925","11,404","11,330","18,365","14,066","12,886","2,118","13,383","6,835","9,316","7,996","4,450","10,130","10,360","8,890"
2021년11월_계_80~89세,"103,601","15,826","8,355","7,471","7,279","6,522","10,156","8,441","8,316","1,142","8,248","4,337","6,514","5,383","3,383","6,544","6,837","4,673"
2021년11월_계_90~99세,"15,323","2,335","1,254","1,081","1,123",972,"1,394","1,305","1,237",195,"1,209",589,"1,044",901,482,939,902,696
2021년11월_계_100세 이상,459,79,43,36,41,31,46,39,37,2,36,9,36,22,8,28,30,15
2021년11월_남_총인구수,"1,083,419","336,545","129,473","207,072","51,580","49,941","168,792","92,088","57,269","21,465","88,885","25,522","31,698","25,078","15,430","49,466","38,602","31,058"
2021년11월_남_연령구간인구수,"1,083,419","336,545","129,473","207,072","51,580","49,941","168,792","92,088","57,269","21,465","88,885","25,522","31,698","25,078","15,430","49,466","38,602","31,058"
2021년11월_남_0~9세,"83,739","30,146","9,751","20,395","2,781","2,878","16,297","7,541","3,459","1,883","7,419","1,198","1,435","1,080",601,"3,850","1,742","1,429"
2021년11월_남_10~19세,"104,284","35,076","13,349","21,727","4,102","4,136","18,260","9,070","4,891","3,282","8,321","2,132","2,359","1,715","1,012","4,881","2,837","2,210"
2021년11월_남_20~29세,"131,927","50,195","18,343","31,852","5,939","5,353","20,886","11,304","6,041","2,692","9,228","2,170","2,907","2,110","1,461","5,157","3,695","2,789"
2021년11월_남_30~39세,"140,298","54,598","16,773","37,825","4,846","4,861","25,874","12,076","5,443","2,274","12,502","1,778","2,231","1,788","1,090","5,182","3,176","2,579"
2021년11월_남_40~49세,"173,266","57,922","21,587","36,335","6,792","7,281","31,495","14,836","7,769","3,971","15,147","3,265","3,683","2,936","1,712","7,363","4,936","4,158"
2021년11월_남_50~59세,"180,771","53,368","22,068","31,300","9,231","8,933","26,273","15,450","10,210","3,614","15,049","4,920","5,457","4,511","2,802","8,305","7,010","5,638"
