카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년11월_계_총인구수,"397,071","22,509","30,623","28,893","27,679","15,910","18,137","32,110","16,195","23,170","9,868","34,611","12,721","8,605","16,135","13,869","23,305","37,936","24,795"
2021년11월_계_연령구간인구수,"397,071","22,509","30,623","28,893","27,679","15,910","18,137","32,110","16,195","23,170","9,868","34,611","12,721","8,605","16,135","13,869","23,305","37,936","24,795"
2021년11월_계_0~9세,"27,221","1,233","2,812","2,895","2,162","1,225","1,168","1,992","1,034","1,688",472,"2,505",462,216,"1,219",340,821,"3,783","1,194"
2021년11월_계_10~19세,"36,985","1,548","3,035","3,161","2,528","1,189","1,988","2,789","1,770","2,913",479,"4,037",587,470,"1,525",687,"1,387","4,977","1,915"
2021년11월_계_20~29세,"47,160","2,954","3,359","2,741","3,403","1,648","2,724","5,029","1,901","2,856","1,131","4,083","1,366",931,"1,981","1,559","2,294","4,116","3,084"
2021년11월_계_30~39세,"45,293","2,822","3,681","3,386","3,541","2,193","2,096","4,438","1,640","2,441","1,203","3,522","1,479",768,"1,903","1,097","1,830","4,456","2,797"
2021년11월_계_40~49세,"64,123","3,335","5,147","5,045","4,730","2,720","3,124","4,882","2,458","3,898","1,323","5,990","1,664","1,066","2,566","1,659","3,037","7,727","3,752"
2021년11월_계_50~59세,"69,457","3,838","5,389","4,809","4,866","2,780","3,215","5,716","2,954","4,284","1,685","6,273","2,319","1,624","2,907","2,594","4,021","5,605","4,578"
2021년11월_계_60~69세,"60,082","3,700","4,032","4,002","3,603","2,538","1,968","4,091","2,343","2,857","2,011","4,843","2,562","1,890","2,586","2,873","5,168","4,388","4,627"
2021년11월_계_70~79세,"31,147","2,140","2,102","1,885","1,877","1,118","1,103","1,959","1,230","1,365","1,012","2,293","1,579","1,097","1,046","2,052","3,201","2,108","1,980"
2021년11월_계_80~89세,"13,734",817,922,839,864,413,666,"1,067",752,765,484,929,644,499,357,911,"1,354",679,772
2021년11월_계_90~99세,"1,815",118,139,127,102,79,83,145,111,101,66,134,57,44,43,93,187,94,92
2021년11월_계_100세 이상,54,4,5,3,3,7,2,2,2,2,2,2,2,0,2,4,5,3,4
2021년11월_남_총인구수,"190,933","10,693","14,585","13,679","13,315","7,581","8,449","14,775","7,606","10,989","4,758","17,079","6,184","4,224","7,963","6,956","11,331","18,645","12,121"
2021년11월_남_연령구간인구수,"190,933","10,693","14,585","13,679","13,315","7,581","8,449","14,775","7,606","10,989","4,758","17,079","6,184","4,224","7,963","6,956","11,331","18,645","12,121"
2021년11월_남_0~9세,"14,029",612,"1,460","1,491","1,140",586,588,"1,019",515,898,256,"1,288",220,122,642,163,431,"1,981",617
2021년11월_남_10~19세,"19,047",785,"1,556","1,586","1,311",626,"1,046","1,416",919,"1,467",262,"2,120",310,253,773,351,739,"2,554",973
2021년11월_남_20~29세,"24,585","1,434","1,719","1,430","1,736",853,"1,281","2,358","1,029","1,499",618,"2,224",770,520,"1,058",876,"1,284","2,168","1,728"
2021년11월_남_30~39세,"22,219","1,424","1,706","1,472","1,677","1,041",986,"2,110",798,"1,154",645,"1,705",817,458,961,663,"1,015","2,119","1,468"
2021년11월_남_40~49세,"30,567","1,599","2,337","2,338","2,209","1,329","1,343","2,175","1,080","1,704",701,"2,788",899,581,"1,287",937,"1,665","3,669","1,926"
2021년11월_남_50~59세,"33,061","1,801","2,574","2,210","2,343","1,298","1,563","2,536","1,364","2,007",775,"3,115","1,114",801,"1,352","1,370","1,965","2,787","2,086"
2021년11월_남_60~69세,"28,237","1,676","1,878","1,881","1,692","1,171",939,"1,938","1,096","1,397",897,"2,393","1,159",846,"1,241","1,413","2,430","2,062","2,128"
2021년11월_남_70~79세,"13,863",997,978,888,840,501,436,797,500,565,440,"1,084",676,469,529,835,"1,345","1,032",951
2021년11월_남_80~89세,"4,913",340,352,348,341,155,232,386,275,275,154,332,206,166,113,332,424,255,227
2021년11월_남_90~99세,400,24,24,34,25,19,34,39,29,22,10,30,13,8,7,16,32,18,16
2021년11월_남_100세 이상,12,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,1
2021년11월_여_총인구수,"206,138","11,816","16,038","15,214","14,364","8,329","9,688","17,335","8,589","12,181","5,110","17,532","6,537","4,381","8,172","6,913","11,974","19,291","12,674"
