,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년10월_계_총인구수,"103,667","5,266","1,273","7,014","5,101","3,049","2,791","3,833","4,288","8,278","3,384","4,899","1,774","2,630","16,264","20,106","7,872","5,845"
2021년10월_계_연령구간인구수,"103,667","5,266","1,273","7,014","5,101","3,049","2,791","3,833","4,288","8,278","3,384","4,899","1,774","2,630","16,264","20,106","7,872","5,845"
2021년10월_계_0~9세,"5,316",127,14,245,114,51,52,82,71,411,80,92,37,60,"1,346","1,850",376,308
2021년10월_계_10~19세,"7,526",226,50,392,222,82,106,175,153,509,116,244,47,149,"1,395","2,531",592,537
2021년10월_계_20~29세,"8,678",302,126,461,339,140,171,205,187,623,163,286,89,209,"1,901","2,078",756,642
2021년10월_계_30~39세,"8,490",305,65,434,315,145,133,148,254,601,163,231,62,189,"2,150","2,045",681,569
2021년10월_계_40~49세,"12,639",488,95,719,466,192,254,326,308,966,291,360,124,296,"2,465","3,407","1,032",850
2021년10월_계_50~59세,"18,252",938,213,"1,303",938,515,531,716,833,"1,453",563,821,259,492,"2,819","3,339","1,398","1,121"
2021년10월_계_60~69세,"21,854","1,420",325,"1,664","1,356",952,764,"1,084","1,317","1,833",937,"1,318",517,590,"2,481","2,708","1,513","1,075"
2021년10월_계_70~79세,"12,823",914,226,"1,090",765,577,477,681,721,"1,131",643,859,352,412,"1,123","1,393",941,518
2021년10월_계_80~89세,"7,138",474,136,625,512,340,266,359,388,659,397,616,253,216,492,676,524,205
2021년10월_계_90~99세,923,68,23,77,72,55,34,55,54,91,29,69,34,17,90,77,59,19
2021년10월_계_100세 이상,28,4,0,4,2,0,3,2,2,1,2,3,0,0,2,2,0,1
2021년10월_남_총인구수,"50,916","2,635",637,"3,506","2,639","1,460","1,423","1,962","2,124","4,124","1,673","2,391",853,"1,276","8,050","9,650","3,673","2,840"
2021년10월_남_연령구간인구수,"50,916","2,635",637,"3,506","2,639","1,460","1,423","1,962","2,124","4,124","1,673","2,391",853,"1,276","8,050","9,650","3,673","2,840"
2021년10월_남_0~9세,"2,731",71,6,136,67,26,32,46,39,207,39,49,15,30,658,967,198,145
2021년10월_남_10~19세,"3,923",118,27,207,119,39,60,89,87,252,66,137,25,79,724,"1,336",293,265
2021년10월_남_20~29세,"5,077",189,73,279,229,87,110,130,123,394,94,163,55,140,"1,077","1,164",396,374
2021년10월_남_30~39세,"4,471",177,39,254,194,85,74,89,137,327,98,132,37,92,"1,122",971,355,288
2021년10월_남_40~49세,"6,684",294,65,429,272,122,155,204,182,546,185,195,77,158,"1,256","1,615",505,424
2021년10월_남_50~59세,"9,249",486,121,695,526,258,287,388,416,745,299,451,118,249,"1,417","1,562",691,540
2021년10월_남_60~69세,"10,753",721,156,815,709,463,390,567,670,937,459,670,278,281,"1,169","1,235",719,514
2021년10월_남_70~79세,"5,669",420,105,490,343,279,228,336,345,499,298,389,161,174,461,570,345,226
2021년10월_남_80~89세,"2,175",148,41,188,164,88,82,105,117,198,130,191,80,70,143,214,157,59
2021년10월_남_90~99세,179,10,4,13,16,13,4,8,7,19,4,13,7,3,23,16,14,5
2021년10월_남_100세 이상,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021년10월_여_총인구수,"52,751","2,631",636,"3,508","2,462","1,589","1,368","1,871","2,164","4,154","1,711","2,508",921,"1,354","8,214","10,456","4,199","3,005"
2021년10월_여_연령구간인구수,"52,751","2,631",636,"3,508","2,462","1,589","1,368","1,871","2,164","4,154","1,711","2,508",921,"1,354","8,214","10,456","4,199","3,005"
2021년10월_여_0~9세,"2,585",56,8,109,47,25,20,36,32,204,41,43,22,30,688,883,178,163
2021년10월_여_10~19세,"3,603",108,23,185,103,43,46,86,66,257,50,107,22,70,671,"1,195",299,272
2021년10월_여_20~29세,"3,601",113,53,182,110,53,61,75,64,229,69,123,34,69,824,914,360,268
2021년10월_여_30~39세,"4,019",128,26,180,121,60,59,59,117,274,65,99,25,97,"1,028","1,074",326,281
2021년10월_여_40~49세,"5,955",194,30,290,194,70,99,122,126,420,106,165,47,138,"1,209","1,792",527,426
2021년10월_여_50~59세,"9,003",452,92,608,412,257,244,328,417,708,264,370,141,243,"1,402","1,777",707,581
2021년10월_여_60~69세,"11,101",699,169,849,647,489,374,517,647,896,478,648,239,309,"1,312","1,473",794,561
2021년10월_여_70~79세,"7,154",494,121,600,422,298,249,345,376,632,345,470,191,238,662,823,596,292
2021년10월_여_80~89세,"4,963",326,95,437,348,252,184,254,271,461,267,425,173,146,349,462,367,146
2021년10월_여_90~99세,744,58,19,64,56,42,30,47,47,72,25,56,27,14,67,61,45,14
2021년10월_여_100세 이상,23,3,0,4,2,0,2,2,1,1,1,2,0,0,2,2,0,1
