카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년07월_계_총인구수,"564,639","24,483","15,116","8,802","28,186","14,688","17,732","32,010","29,697","23,832","16,845","31,983","21,895","44,030","16,755","77,354","39,984","20,797","11,626","36,827","19,885","18,719","13,393"
2020년07월_계_연령구간인구수,"564,639","24,483","15,116","8,802","28,186","14,688","17,732","32,010","29,697","23,832","16,845","31,983","21,895","44,030","16,755","77,354","39,984","20,797","11,626","36,827","19,885","18,719","13,393"
2020년07월_계_0~9세,"41,777","1,787",633,408,"2,221",714,"1,387","2,132","1,925","1,393",921,"1,479","2,098","5,305",642,"9,217","3,114","1,198",403,"2,444",881,790,685
2020년07월_계_10~19세,"56,690","2,077",766,609,"2,375","1,054","1,770","3,716","3,047","2,630","1,448","2,556","2,140","8,331","1,205","8,450","4,957","1,560",610,"3,745","1,359","1,301",984
2020년07월_계_20~29세,"80,272","3,016","2,407","1,323","4,348","2,418","2,518","5,127","4,812","4,142","2,567","6,678","2,721","4,232","1,880","9,290","5,473","3,609","1,310","5,149","2,937","2,583","1,732"
2020년07월_계_30~39세,"68,260","2,926","1,952",988,"3,929","1,820","2,324","3,476","3,396","2,529","2,155","3,679","2,969","4,759","1,355","11,743","4,273","2,951","1,168","3,986","2,320","2,000","1,562"
2020년07월_계_40~49세,"91,064","3,699","1,937","1,172","4,231","2,083","2,834","5,386","4,745","3,858","2,436","4,744","3,936","10,798","2,348","13,747","6,573","2,678","1,261","5,363","2,777","2,449","2,009"
2020년07월_계_50~59세,"104,880","4,285","2,700","1,568","5,268","3,005","3,370","6,685","6,539","5,271","3,598","6,485","3,944","5,845","3,114","11,949","7,446","3,938","2,340","7,474","3,876","3,522","2,658"
2020년07월_계_60~69세,"71,633","3,784","2,487","1,397","3,627","2,218","2,165","3,344","3,235","2,426","2,467","3,582","2,615","2,844","3,124","7,811","4,913","2,984","2,552","5,366","3,211","3,315","2,166"
2020년07월_계_70~79세,"33,956","2,037","1,550",889,"1,594",954,972,"1,487","1,366","1,046",876,"1,851","1,037","1,287","2,076","3,532","2,102","1,275","1,293","2,149","1,726","1,814","1,043"
2020년07월_계_80~89세,"14,362",779,609,401,526,386,351,599,566,491,336,832,385,552,912,"1,434",997,534,609,"1,034",719,826,484
2020년07월_계_90~99세,"1,660",85,69,42,65,34,38,56,64,46,41,96,47,69,93,164,131,66,80,117,76,111,70
2020년07월_계_100세 이상,85,8,6,5,2,2,3,2,2,0,0,1,3,8,6,17,5,4,0,0,3,8,0
2020년07월_남_총인구수,"278,813","11,959","7,361","4,263","13,820","7,276","8,759","16,059","14,965","11,981","8,533","16,412","10,846","21,563","8,064","38,055","19,578","10,305","5,611","17,907","9,843","9,001","6,652"
2020년07월_남_연령구간인구수,"278,813","11,959","7,361","4,263","13,820","7,276","8,759","16,059","14,965","11,981","8,533","16,412","10,846","21,563","8,064","38,055","19,578","10,305","5,611","17,907","9,843","9,001","6,652"
2020년07월_남_0~9세,"21,408",871,327,219,"1,106",352,732,"1,112","1,026",710,477,783,"1,038","2,694",359,"4,711","1,578",626,207,"1,265",472,398,345
2020년07월_남_10~19세,"29,417",995,394,309,"1,222",566,904,"1,977","1,611","1,351",761,"1,283",999,"4,217",629,"4,458","2,732",832,338,"1,946",717,657,519
2020년07월_남_20~29세,"42,892","1,526","1,129",680,"2,188","1,255","1,336","2,752","2,616","2,273","1,406","3,666","1,488","2,312","1,046","4,920","2,981","1,895",740,"2,784","1,541","1,373",985
2020년07월_남_30~39세,"35,389","1,501","1,018",503,"2,043","1,024","1,208","1,808","1,829","1,349","1,206","2,134","1,517","2,090",733,"5,681","2,124","1,670",674,"2,050","1,269","1,094",864
2020년07월_남_40~49세,"44,118","1,930","1,068",607,"2,061","1,015","1,354","2,475","2,206","1,773","1,201","2,439","1,976","5,003","1,223","6,741","2,917","1,302",650,"2,462","1,444","1,230","1,041"
2020년07월_남_50~59세,"50,725","2,142","1,358",743,"2,507","1,414","1,614","3,350","3,194","2,620","1,678","3,273","1,908","3,159","1,546","5,682","3,511","1,793","1,055","3,428","1,833","1,639","1,278"
2020년07월_남_60~69세,"34,616","1,792","1,163",656,"1,735","1,094","1,060","1,669","1,680","1,268","1,278","1,785","1,269","1,319","1,432","3,731","2,404","1,435","1,187","2,637","1,495","1,518","1,009"
2020년07월_남_70~79세,"15,042",913,671,382,748,410,426,696,588,462,392,798,501,569,799,"1,595",949,574,580,962,800,772,455
2020년07월_남_80~89세,"4,830",274,221,154,195,136,118,211,199,167,123,231,136,180,271,493,352,166,160,351,259,296,137
2020년07월_남_90~99세,358,14,11,10,13,9,6,9,16,8,11,20,12,19,25,37,30,12,20,22,13,22,19
2020년07월_남_100세 이상,18,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,2,0
2020년07월_여_총인구수,"285,826","12,524","7,755","4,539","14,366","7,412","8,973","15,951","14,732","11,851","8,312","15,571","11,049","22,467","8,691","39,299","20,406","10,492","6,015","18,920","10,042","9,718","6,741"
2020년07월_여_연령구간인구수,"285,826","12,524","7,755","4,539","14,366","7,412","8,973","15,951","14,732","11,851","8,312","15,571","11,049","22,467","8,691","39,299","20,406","10,492","6,015","18,920","10,042","9,718","6,741"
2020년07월_여_0~9세,"20,369",916,306,189,"1,115",362,655,"1,020",899,683,444,696,"1,060","2,611",283,"4,506","1,536",572,196,"1,179",409,392,340
2020년07월_여_10~19세,"27,273","1,082",372,300,"1,153",488,866,"1,739","1,436","1,279",687,"1,273","1,141","4,114",576,"3,992","2,225",728,272,"1,799",642,644,465
2020년07월_여_20~29세,"37,380","1,490","1,278",643,"2,160","1,163","1,182","2,375","2,196","1,869","1,161","3,012","1,233","1,920",834,"4,370","2,492","1,714",570,"2,365","1,396","1,210",747
2020년07월_여_30~39세,"32,871","1,425",934,485,"1,886",796,"1,116","1,668","1,567","1,180",949,"1,545","1,452","2,669",622,"6,062","2,149","1,281",494,"1,936","1,051",906,698
2020년07월_여_40~49세,"46,946","1,769",869,565,"2,170","1,068","1,480","2,911","2,539","2,085","1,235","2,305","1,960","5,795","1,125","7,006","3,656","1,376",611,"2,901","1,333","1,219",968
2020년07월_여_50~59세,"54,155","2,143","1,342",825,"2,761","1,591","1,756","3,335","3,345","2,651","1,920","3,212","2,036","2,686","1,568","6,267","3,935","2,145","1,285","4,046","2,043","1,883","1,380"
2020년07월_여_60~69세,"37,017","1,992","1,324",741,"1,892","1,124","1,105","1,675","1,555","1,158","1,189","1,797","1,346","1,525","1,692","4,080","2,509","1,549","1,365","2,729","1,716","1,797","1,157"
2020년07월_여_70~79세,"18,914","1,124",879,507,846,544,546,791,778,584,484,"1,053",536,718,"1,277","1,937","1,153",701,713,"1,187",926,"1,042",588
2020년07월_여_80~89세,"9,532",505,388,247,331,250,233,388,367,324,213,601,249,372,641,941,645,368,449,683,460,530,347
2020년07월_여_90~99세,"1,302",71,58,32,52,25,32,47,48,38,30,76,35,50,68,127,101,54,60,95,63,89,51
2020년07월_여_100세 이상,67,7,5,5,0,1,2,2,2,0,0,1,1,7,5,11,5,4,0,0,3,6,0
