,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년02월_계_총인구수,"282,799","14,636","26,109","20,323","38,902","42,449","15,350","30,274","12,165","12,347","11,084","12,831","27,212","19,117"
2021년02월_계_연령구간인구수,"282,799","14,636","26,109","20,323","38,902","42,449","15,350","30,274","12,165","12,347","11,084","12,831","27,212","19,117"
2021년02월_계_0~9세,"18,690",725,"1,418",951,"2,143","4,038",949,"2,609",445,434,444,974,"2,295","1,265"
2021년02월_계_10~19세,"23,033",700,"1,759","1,525","3,151","4,497","1,226","3,886",554,622,627,776,"2,369","1,341"
2021년02월_계_20~29세,"37,057","1,970","3,605","2,940","4,528","5,822","2,265","3,964","1,544","1,896","1,400","1,453","3,259","2,411"
2021년02월_계_30~39세,"33,295","1,971","3,269","2,013","3,846","5,439","1,649","3,168","1,447","1,522","1,173","2,028","3,406","2,364"
2021년02월_계_40~49세,"40,186","1,762","3,472","2,881","5,226","6,596","1,976","5,458","1,454","1,503","1,469","1,636","4,213","2,540"
2021년02월_계_50~59세,"53,489","2,869","5,192","4,283","7,546","8,332","3,180","5,430","2,223","2,307","1,984","2,174","4,555","3,414"
2021년02월_계_60~69세,"46,100","2,774","4,553","3,586","6,723","5,261","2,404","3,237","2,505","2,390","2,164","2,311","4,469","3,723"
2021년02월_계_70~79세,"21,412","1,288","2,031","1,581","3,619","1,781","1,135","1,723","1,315","1,154","1,282","1,080","1,932","1,491"
2021년02월_계_80~89세,"8,368",505,715,497,"1,918",592,453,708,605,449,479,348,613,486
2021년02월_계_90~99세,"1,059",66,76,62,199,85,73,90,67,66,56,46,94,79
2021년02월_계_100세 이상,110,6,19,4,3,6,40,1,6,4,6,5,7,3
2021년02월_남_총인구수,"139,828","7,402","13,396","10,452","18,853","20,864","7,496","14,836","5,982","6,147","5,413","6,302","13,348","9,337"
2021년02월_남_연령구간인구수,"139,828","7,402","13,396","10,452","18,853","20,864","7,496","14,836","5,982","6,147","5,413","6,302","13,348","9,337"
2021년02월_남_0~9세,"9,659",343,770,499,"1,114","2,097",494,"1,337",215,228,238,482,"1,189",653
2021년02월_남_10~19세,"11,993",343,936,825,"1,603","2,314",632,"2,049",304,320,326,398,"1,228",715
2021년02월_남_20~29세,"19,910","1,029","1,968","1,672","2,451","3,110","1,234","2,108",837,996,749,750,"1,697","1,309"
2021년02월_남_30~39세,"17,248","1,102","1,781","1,123","2,035","2,583",858,"1,493",791,871,637,"1,049","1,708","1,217"
2021년02월_남_40~49세,"19,960",982,"1,821","1,480","2,547","3,069",942,"2,498",750,814,812,869,"2,096","1,280"
2021년02월_남_50~59세,"25,423","1,417","2,589","2,127","3,568","3,859","1,443","2,698","1,091","1,108",952,980,"2,128","1,463"
2021년02월_남_60~69세,"22,749","1,391","2,271","1,803","3,419","2,745","1,203","1,579","1,179","1,138",997,"1,125","2,131","1,768"
2021년02월_남_70~79세,"9,810",605,987,724,"1,494",882,513,758,597,511,541,521,945,732
2021년02월_남_80~89세,"2,838",172,262,190,575,195,142,292,201,147,146,125,205,186
2021년02월_남_90~99세,216,17,9,9,47,10,22,24,17,13,13,2,19,14
2021년02월_남_100세 이상,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2021년02월_여_총인구수,"142,971","7,234","12,713","9,871","20,049","21,585","7,854","15,438","6,183","6,200","5,671","6,529","13,864","9,780"
2021년02월_여_연령구간인구수,"142,971","7,234","12,713","9,871","20,049","21,585","7,854","15,438","6,183","6,200","5,671","6,529","13,864","9,780"
2021년02월_여_0~9세,"9,031",382,648,452,"1,029","1,941",455,"1,272",230,206,206,492,"1,106",612
2021년02월_여_10~19세,"11,040",357,823,700,"1,548","2,183",594,"1,837",250,302,301,378,"1,141",626
2021년02월_여_20~29세,"17,147",941,"1,637","1,268","2,077","2,712","1,031","1,856",707,900,651,703,"1,562","1,102"
2021년02월_여_30~39세,"16,047",869,"1,488",890,"1,811","2,856",791,"1,675",656,651,536,979,"1,698","1,147"
2021년02월_여_40~49세,"20,226",780,"1,651","1,401","2,679","3,527","1,034","2,960",704,689,657,767,"2,117","1,260"
2021년02월_여_50~59세,"28,066","1,452","2,603","2,156","3,978","4,473","1,737","2,732","1,132","1,199","1,032","1,194","2,427","1,951"
2021년02월_여_60~69세,"23,351","1,383","2,282","1,783","3,304","2,516","1,201","1,658","1,326","1,252","1,167","1,186","2,338","1,955"
2021년02월_여_70~79세,"11,602",683,"1,044",857,"2,125",899,622,965,718,643,741,559,987,759
2021년02월_여_80~89세,"5,530",333,453,307,"1,343",397,311,416,404,302,333,223,408,300
2021년02월_여_90~99세,843,49,67,53,152,75,51,66,50,53,43,44,75,65
2021년02월_여_100세 이상,88,5,17,4,3,6,27,1,6,3,4,4,5,3
