,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년08월_계_총인구수,"41,630","2,393","2,940","6,563","10,691","4,715","1,068","1,042","4,814","7,404"
2020년08월_계_연령구간인구수,"41,630","2,393","2,940","6,563","10,691","4,715","1,068","1,042","4,814","7,404"
2020년08월_계_0~9세,"1,378",40,84,213,400,116,19,17,183,306
2020년08월_계_10~19세,"2,090",87,102,394,592,204,38,29,214,430
2020년08월_계_20~29세,"5,639",549,324,944,"1,482",550,106,74,804,806
2020년08월_계_30~39세,"4,514",409,255,702,"1,126",485,110,99,666,662
2020년08월_계_40~49세,"5,492",278,365,924,"1,487",561,118,109,681,969
2020년08월_계_50~59세,"7,123",364,549,"1,104","1,806",821,199,211,720,"1,349"
2020년08월_계_60~69세,"7,807",369,576,"1,148","1,944","1,012",259,288,769,"1,442"
2020년08월_계_70~79세,"5,066",187,466,765,"1,237",618,135,157,504,997
2020년08월_계_80~89세,"2,066",82,174,289,531,275,62,46,227,380
2020년08월_계_90~99세,371,25,40,72,73,48,17,11,37,48
2020년08월_계_100세 이상,84,3,5,8,13,25,5,1,9,15
2020년08월_남_총인구수,"20,358","1,183","1,467","3,108","5,214","2,221",540,582,"2,435","3,608"
2020년08월_남_연령구간인구수,"20,358","1,183","1,467","3,108","5,214","2,221",540,582,"2,435","3,608"
2020년08월_남_0~9세,728,19,39,116,207,66,10,10,97,164
2020년08월_남_10~19세,"1,060",40,47,185,305,109,22,14,109,229
2020년08월_남_20~29세,"2,803",232,166,470,740,264,62,42,401,426
2020년08월_남_30~39세,"2,446",213,137,369,599,257,58,57,382,374
2020년08월_남_40~49세,"2,972",144,214,478,797,305,63,70,396,505
2020년08월_남_50~59세,"3,569",203,283,519,911,385,98,134,369,667
2020년08월_남_60~69세,"3,681",192,270,544,901,451,135,165,367,656
2020년08월_남_70~79세,"2,211",100,224,311,516,272,61,73,225,429
2020년08월_남_80~89세,766,34,74,99,214,93,23,11,76,142
2020년08월_남_90~99세,103,6,12,13,21,13,6,6,11,15
2020년08월_남_100세 이상,19,0,1,4,3,6,2,0,2,1
2020년08월_여_총인구수,"21,272","1,210","1,473","3,455","5,477","2,494",528,460,"2,379","3,796"
2020년08월_여_연령구간인구수,"21,272","1,210","1,473","3,455","5,477","2,494",528,460,"2,379","3,796"
2020년08월_여_0~9세,650,21,45,97,193,50,9,7,86,142
2020년08월_여_10~19세,"1,030",47,55,209,287,95,16,15,105,201
2020년08월_여_20~29세,"2,836",317,158,474,742,286,44,32,403,380
2020년08월_여_30~39세,"2,068",196,118,333,527,228,52,42,284,288
2020년08월_여_40~49세,"2,520",134,151,446,690,256,55,39,285,464
2020년08월_여_50~59세,"3,554",161,266,585,895,436,101,77,351,682
2020년08월_여_60~69세,"4,126",177,306,604,"1,043",561,124,123,402,786
2020년08월_여_70~79세,"2,855",87,242,454,721,346,74,84,279,568
2020년08월_여_80~89세,"1,300",48,100,190,317,182,39,35,151,238
2020년08월_여_90~99세,268,19,28,59,52,35,11,5,26,33
2020년08월_여_100세 이상,65,3,4,4,10,19,3,1,7,14
