,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년05월_계_총인구수,"212,681","16,413","3,424","1,578","4,154","4,246","3,528","4,615","6,510","15,467","4,879","3,375","26,197","7,818","10,380","12,955","4,813","10,122","16,576","17,993","28,623","9,015"
2021년05월_계_연령구간인구수,"212,681","16,413","3,424","1,578","4,154","4,246","3,528","4,615","6,510","15,467","4,879","3,375","26,197","7,818","10,380","12,955","4,813","10,122","16,576","17,993","28,623","9,015"
2021년05월_계_0~9세,"13,202",641,134,26,214,102,114,194,357,"1,355",153,87,"1,770",358,432,564,294,918,"1,397",918,"2,426",748
2021년05월_계_10~19세,"18,642",956,192,38,270,185,147,242,463,"1,561",284,157,"2,990",606,727,"1,132",395,"1,026","1,535","1,529","3,451",756
2021년05월_계_20~29세,"24,893","1,440",284,90,329,411,275,416,494,"1,720",560,332,"3,607",936,"1,258","1,636",555,"1,135","2,464","2,016","3,461","1,474"
2021년05월_계_30~39세,"21,365","1,183",198,82,331,282,209,399,559,"2,006",431,280,"2,602",776,884,"1,272",546,"1,316","2,112","1,600","3,239","1,058"
2021년05월_계_40~49세,"32,029","2,013",370,103,496,428,325,566,950,"2,644",627,399,"4,551","1,030","1,409","1,829",726,"1,651","2,695","2,519","5,189","1,509"
2021년05월_계_50~59세,"36,420","2,966",670,315,688,758,656,849,"1,096","2,510",773,591,"4,489","1,416","1,971","2,457",926,"1,667","2,525","3,113","4,594","1,390"
2021년05월_계_60~69세,"34,686","3,541",768,484,952,963,863,"1,040","1,368","1,975",985,690,"3,308","1,443","2,004","2,329",754,"1,433","2,183","3,021","3,451","1,131"
2021년05월_계_70~79세,"19,580","2,278",437,271,490,662,561,529,768,"1,080",664,567,"1,809",804,"1,120","1,122",368,609,"1,054","2,062","1,722",603
2021년05월_계_80~89세,"10,125","1,180",312,144,307,388,327,320,392,513,320,244,943,382,504,515,218,307,530,"1,057",934,288
2021년05월_계_90~99세,"1,679",208,55,25,74,64,50,59,60,98,79,27,123,65,68,97,31,58,79,151,150,58
2021년05월_계_100세 이상,60,7,4,0,3,3,1,1,3,5,3,1,5,2,3,2,0,2,2,7,6,0
2021년05월_남_총인구수,"105,487","8,026","1,741",844,"2,129","2,265","1,812","2,358","3,244","7,521","2,331","1,738","12,803","3,889","5,126","6,391","2,356","4,901","8,224","9,022","14,153","4,613"
2021년05월_남_연령구간인구수,"105,487","8,026","1,741",844,"2,129","2,265","1,812","2,358","3,244","7,521","2,331","1,738","12,803","3,889","5,126","6,391","2,356","4,901","8,224","9,022","14,153","4,613"
