,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년11월_계_총인구수,"95,701","6,388","1,377","3,814","2,975",969,"2,576","3,912","1,630","1,886","2,545","1,731",748,"1,947","2,791","1,211",316,"2,671","1,142",372,"2,117","1,986",799,"11,829","9,255","8,500","7,938","3,523","8,753"
2021년11월_계_연령구간인구수,"95,701","6,388","1,377","3,814","2,975",969,"2,576","3,912","1,630","1,886","2,545","1,731",748,"1,947","2,791","1,211",316,"2,671","1,142",372,"2,117","1,986",799,"11,829","9,255","8,500","7,938","3,523","8,753"
2021년11월_계_0~9세,"4,902",258,37,102,76,24,72,91,50,44,90,61,25,49,150,25,3,85,21,5,37,54,35,802,750,638,515,154,649
2021년11월_계_10~19세,"7,349",522,58,170,145,31,97,224,65,68,150,61,39,106,159,62,9,138,45,18,88,82,29,"1,275",857,877,704,305,965
2021년11월_계_20~29세,"7,700",356,57,185,168,45,133,166,70,82,131,97,28,95,137,61,12,115,40,11,98,86,41,"1,240",986,789,820,296,"1,355"
2021년11월_계_30~39세,"7,058",424,66,202,115,33,131,178,77,89,131,81,39,89,166,66,7,133,33,9,96,65,33,"1,158","1,042",892,680,241,782
2021년11월_계_40~49세,"10,960",666,105,315,218,73,187,309,129,128,238,147,52,156,244,108,23,272,76,24,163,174,60,"1,696","1,384","1,227","1,069",458,"1,259"
2021년11월_계_50~59세,"16,213","1,026",222,600,479,185,418,603,274,349,486,320,143,374,505,250,64,456,160,65,284,289,154,"1,999","1,573","1,454","1,461",614,"1,406"
2021년11월_계_60~69세,"19,112","1,379",326,901,689,244,646,"1,000",388,531,672,459,205,486,657,287,102,627,318,80,538,445,190,"1,942","1,488","1,277","1,316",667,"1,252"
2021년11월_계_70~79세,"12,390",945,278,661,547,147,453,738,295,320,383,266,107,329,409,184,48,450,242,66,413,402,135,"1,116",721,766,836,485,648
