,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년05월_계_총인구수,"299,850","4,131","4,836","11,214","5,215","8,915","10,801","30,732","25,116","24,297","15,920","21,294","10,535","16,099","5,693","20,986","29,376","38,026","16,664"
2020년05월_계_연령구간인구수,"299,850","4,131","4,836","11,214","5,215","8,915","10,801","30,732","25,116","24,297","15,920","21,294","10,535","16,099","5,693","20,986","29,376","38,026","16,664"
2020년05월_계_0~9세,"22,853",114,420,617,187,597,943,"2,266","1,728","1,238",921,"2,491",605,"1,153",363,"1,366","2,797","3,308","1,739"
2020년05월_계_10~19세,"32,744",168,365,712,291,662,"1,323","3,237","2,548","1,849","1,145","2,409","1,091","1,685",417,"2,233","4,576","5,484","2,549"
2020년05월_계_20~29세,"45,421",430,535,"1,715",893,"1,155","1,653","5,443","4,663","4,311","3,049","2,567","1,593","2,215",698,"3,149","4,052","5,431","1,869"
2020년05월_계_30~39세,"38,057",379,652,"1,600",649,"1,084","1,488","4,457","3,690","3,058","2,425","3,197","1,147","1,777",677,"2,200","3,268","4,429","1,880"
2020년05월_계_40~49세,"49,980",475,754,"1,591",688,"1,395","1,961","5,070","4,060","3,362","2,300","3,614","1,486","2,312",700,"3,122","5,887","7,727","3,476"
2020년05월_계_50~59세,"49,776",714,708,"1,739",939,"1,643","1,714","5,367","3,947","4,177","2,335","3,078","1,814","2,788","1,156","4,069","4,968","6,073","2,547"
2020년05월_계_60~69세,"33,202",774,750,"1,524",785,"1,250",898,"2,588","2,534","3,318","1,884","2,356","1,557","2,544",901,"2,796","2,178","2,997","1,568"
2020년05월_계_70~79세,"18,756",740,478,"1,165",526,764,523,"1,496","1,377","2,019","1,206","1,128",850,"1,098",470,"1,350","1,122","1,702",742
2020년05월_계_80~89세,"7,811",291,148,477,227,297,261,729,491,830,568,380,332,452,252,620,449,758,249
2020년05월_계_90~99세,"1,176",39,26,70,29,58,36,77,74,121,85,71,56,71,53,78,72,116,44
2020년05월_계_100세 이상,74,7,0,4,1,10,1,2,4,14,2,3,4,4,6,3,7,1,1
2020년05월_남_총인구수,"147,074","2,038","2,375","5,544","2,683","4,563","5,517","14,762","12,467","11,870","7,617","10,712","5,177","7,801","2,966","10,044","14,313","18,688","7,937"
2020년05월_남_연령구간인구수,"147,074","2,038","2,375","5,544","2,683","4,563","5,517","14,762","12,467","11,870","7,617","10,712","5,177","7,801","2,966","10,044","14,313","18,688","7,937"
2020년05월_남_0~9세,"11,871",63,228,315,99,326,512,"1,128",842,646,477,"1,331",323,617,183,734,"1,471","1,706",870
2020년05월_남_10~19세,"17,159",90,190,392,165,327,692,"1,679","1,248",947,605,"1,406",590,930,228,"1,197","2,303","2,876","1,294"
2020년05월_남_20~29세,"23,349",238,291,839,452,609,886,"2,653","2,365","2,147","1,360","1,402",900,"1,205",401,"1,671","2,140","2,779","1,011"
