,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년04월_계_총인구수,"51,289","11,062","13,520","4,886","2,271","1,640","2,504","1,475","1,271","1,251","2,124","2,027","2,897","4,361"
2021년04월_계_연령구간인구수,"51,289","11,062","13,520","4,886","2,271","1,640","2,504","1,475","1,271","1,251","2,124","2,027","2,897","4,361"
2021년04월_계_0~9세,"2,247",535,979,162,51,27,64,48,31,31,38,47,43,191
2021년04월_계_10~19세,"3,403",846,"1,484",214,57,63,110,64,48,28,66,80,97,246
2021년04월_계_20~29세,"3,741","1,035","1,287",280,94,82,121,82,58,38,85,97,192,290
2021년04월_계_30~39세,"3,361",874,"1,106",280,118,54,109,74,61,48,86,102,134,315
2021년04월_계_40~49세,"5,661","1,513","1,906",487,158,137,214,94,74,92,147,146,240,453
2021년04월_계_50~59세,"8,358","1,936","2,264",786,304,234,362,204,180,177,316,302,503,790
2021년04월_계_60~69세,"10,358","1,994","2,125","1,086",516,377,536,350,299,316,557,497,725,980
2021년04월_계_70~79세,"7,985","1,461","1,392",914,473,341,499,294,245,284,424,404,564,690
2021년04월_계_80~89세,"5,294",758,823,583,432,268,420,230,236,208,349,295,334,358
2021년04월_계_90~99세,856,104,149,92,67,57,68,34,37,29,54,54,64,47
2021년04월_계_100세 이상,25,6,5,2,1,0,1,1,2,0,2,3,1,1
2021년04월_남_총인구수,"25,323","5,519","6,605","2,460","1,094",800,"1,175",704,609,640,"1,034",981,"1,427","2,275"
2021년04월_남_연령구간인구수,"25,323","5,519","6,605","2,460","1,094",800,"1,175",704,609,640,"1,034",981,"1,427","2,275"
2021년04월_남_0~9세,"1,129",269,487,82,29,9,33,24,16,21,16,25,27,91
2021년04월_남_10~19세,"1,745",436,776,109,35,31,49,29,24,17,33,34,49,123
2021년04월_남_20~29세,"2,165",582,717,160,61,49,67,55,31,25,49,61,127,181
2021년04월_남_30~39세,"1,882",465,550,170,71,32,68,44,37,29,56,64,84,212
2021년04월_남_40~49세,"3,089",792,922,304,99,89,115,57,45,64,84,82,148,288
2021년04월_남_50~59세,"4,561","1,086","1,183",453,153,132,199,110,104,107,165,177,261,431
2021년04월_남_60~69세,"5,061",947,998,554,264,184,253,174,155,151,280,249,351,501
2021년04월_남_70~79세,"3,576",629,632,399,211,160,220,135,107,138,208,187,259,291
2021년04월_남_80~89세,"1,910",287,297,212,155,101,153,69,79,85,133,88,106,145
2021년04월_남_90~99세,203,26,42,17,16,13,18,7,11,3,10,13,15,12
2021년04월_남_100세 이상,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2021년04월_여_총인구수,"25,966","5,543","6,915","2,426","1,177",840,"1,329",771,662,611,"1,090","1,046","1,470","2,086"
2021년04월_여_연령구간인구수,"25,966","5,543","6,915","2,426","1,177",840,"1,329",771,662,611,"1,090","1,046","1,470","2,086"
2021년04월_여_0~9세,"1,118",266,492,80,22,18,31,24,15,10,22,22,16,100
2021년04월_여_10~19세,"1,658",410,708,105,22,32,61,35,24,11,33,46,48,123
2021년04월_여_20~29세,"1,576",453,570,120,33,33,54,27,27,13,36,36,65,109
2021년04월_여_30~39세,"1,479",409,556,110,47,22,41,30,24,19,30,38,50,103
2021년04월_여_40~49세,"2,572",721,984,183,59,48,99,37,29,28,63,64,92,165
2021년04월_여_50~59세,"3,797",850,"1,081",333,151,102,163,94,76,70,151,125,242,359
2021년04월_여_60~69세,"5,297","1,047","1,127",532,252,193,283,176,144,165,277,248,374,479
2021년04월_여_70~79세,"4,409",832,760,515,262,181,279,159,138,146,216,217,305,399
2021년04월_여_80~89세,"3,384",471,526,371,277,167,267,161,157,123,216,207,228,213
2021년04월_여_90~99세,653,78,107,75,51,44,50,27,26,26,44,41,49,35
2021년04월_여_100세 이상,23,6,4,2,1,0,1,1,2,0,2,2,1,1
