카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년11월_계_총인구수,"312,325","17,856","16,672","20,699","19,232","36,539","24,363","15,855","14,223","22,759","27,046","15,918","30,045","18,492","32,626"
2020년11월_계_연령구간인구수,"312,325","17,856","16,672","20,699","19,232","36,539","24,363","15,855","14,223","22,759","27,046","15,918","30,045","18,492","32,626"
2020년11월_계_0~9세,"20,220","1,267","1,439","1,239",736,"1,712","1,567",782,831,"1,435","1,300","2,134","2,657","1,433","1,688"
2020년11월_계_10~19세,"23,717","1,484","1,095","1,357",883,"2,486","1,896","1,144","1,071","1,790","2,187","1,456","2,443","1,978","2,447"
2020년11월_계_20~29세,"50,391","2,291","2,404","3,417","7,376","7,755","3,155","2,127","1,867","2,901","4,236","1,565","4,297","2,189","4,811"
2020년11월_계_30~39세,"45,139","2,434","2,889","3,255","3,257","5,653","3,485","1,971","1,936","2,904","3,506","2,492","4,619","2,409","4,329"
2020년11월_계_40~49세,"47,528","2,817","2,689","3,031","1,982","5,142","3,807","2,226","2,045","3,412","4,024","3,086","4,924","3,299","5,044"
2020년11월_계_50~59세,"49,468","3,024","2,792","3,341","2,011","5,285","4,087","2,724","2,572","3,978","4,596","2,160","4,437","3,006","5,455"
2020년11월_계_60~69세,"38,374","2,176","1,783","2,688","1,392","4,104","3,279","2,312","1,979","3,262","3,744","1,547","3,333","2,184","4,591"
2020년11월_계_70~79세,"24,366","1,456","1,037","1,470",991,"2,844","2,010","1,635","1,259","1,980","2,228",975,"2,200","1,328","2,953"
2020년11월_계_80~89세,"11,179",770,433,721,493,"1,323",932,829,572,937,"1,057",430,959,577,"1,146"
2020년11월_계_90~99세,"1,648",107,83,139,88,204,132,84,87,141,143,57,152,80,151
2020년11월_계_100세 이상,295,30,28,41,23,31,13,21,4,19,25,16,24,9,11
2020년11월_남_총인구수,"149,505","8,459","7,967","9,972","8,589","17,600","11,446","7,682","6,767","10,994","13,066","7,670","14,509","8,918","15,866"
2020년11월_남_연령구간인구수,"149,505","8,459","7,967","9,972","8,589","17,600","11,446","7,682","6,767","10,994","13,066","7,670","14,509","8,918","15,866"
2020년11월_남_0~9세,"10,307",637,753,622,404,861,787,393,438,721,663,"1,066","1,339",741,882
2020년11월_남_10~19세,"11,915",733,537,670,427,"1,257",926,613,539,907,"1,107",696,"1,213","1,041","1,249"
2020년11월_남_20~29세,"24,144","1,116","1,091","1,641","2,870","3,943","1,561","1,061",933,"1,445","2,140",762,"2,086","1,060","2,435"
2020년11월_남_30~39세,"22,396","1,183","1,415","1,607","1,623","2,830","1,684","1,031",966,"1,483","1,834","1,109","2,271","1,122","2,238"
2020년11월_남_40~49세,"23,465","1,370","1,347","1,531",966,"2,468","1,825","1,111",968,"1,666","1,982","1,631","2,490","1,649","2,461"
2020년11월_남_50~59세,"23,996","1,496","1,375","1,659","1,004","2,509","1,888","1,375","1,228","1,949","2,195","1,060","2,193","1,434","2,631"
2020년11월_남_60~69세,"18,050","1,033",843,"1,286",637,"1,923","1,516","1,071",951,"1,574","1,708",722,"1,559","1,042","2,185"
2020년11월_남_70~79세,"10,401",584,431,635,426,"1,192",863,680,511,859,989,424,943,573,"1,291"
2020년11월_남_80~89세,"4,286",266,145,275,200,531,358,309,207,342,412,180,371,237,453
2020년11월_남_90~99세,464,32,27,32,25,77,37,28,24,43,31,16,39,17,36
2020년11월_남_100세 이상,81,9,3,14,7,9,1,10,2,5,5,4,5,2,5
2020년11월_여_총인구수,"162,820","9,397","8,705","10,727","10,643","18,939","12,917","8,173","7,456","11,765","13,980","8,248","15,536","9,574","16,760"
2020년11월_여_연령구간인구수,"162,820","9,397","8,705","10,727","10,643","18,939","12,917","8,173","7,456","11,765","13,980","8,248","15,536","9,574","16,760"
2020년11월_여_0~9세,"9,913",630,686,617,332,851,780,389,393,714,637,"1,068","1,318",692,806
2020년11월_여_10~19세,"11,802",751,558,687,456,"1,229",970,531,532,883,"1,080",760,"1,230",937,"1,198"
2020년11월_여_20~29세,"26,247","1,175","1,313","1,776","4,506","3,812","1,594","1,066",934,"1,456","2,096",803,"2,211","1,129","2,376"
2020년11월_여_30~39세,"22,743","1,251","1,474","1,648","1,634","2,823","1,801",940,970,"1,421","1,672","1,383","2,348","1,287","2,091"
2020년11월_여_40~49세,"24,063","1,447","1,342","1,500","1,016","2,674","1,982","1,115","1,077","1,746","2,042","1,455","2,434","1,650","2,583"
2020년11월_여_50~59세,"25,472","1,528","1,417","1,682","1,007","2,776","2,199","1,349","1,344","2,029","2,401","1,100","2,244","1,572","2,824"
2020년11월_여_60~69세,"20,324","1,143",940,"1,402",755,"2,181","1,763","1,241","1,028","1,688","2,036",825,"1,774","1,142","2,406"
2020년11월_여_70~79세,"13,965",872,606,835,565,"1,652","1,147",955,748,"1,121","1,239",551,"1,257",755,"1,662"
2020년11월_여_80~89세,"6,893",504,288,446,293,792,574,520,365,595,645,250,588,340,693
2020년11월_여_90~99세,"1,184",75,56,107,63,127,95,56,63,98,112,41,113,63,115
2020년11월_여_100세 이상,214,21,25,27,16,22,12,11,2,14,20,12,19,7,6
