,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년12월_계_총인구수,"140,239","7,800","3,076","3,078","2,407","3,258","4,013","3,065","3,407","1,936","2,178","2,755","1,531","1,236","2,263","1,033","6,551","7,466","3,816","25,354","20,150","10,972","22,894"
2021년12월_계_연령구간인구수,"140,239","7,800","3,076","3,078","2,407","3,258","4,013","3,065","3,407","1,936","2,178","2,755","1,531","1,236","2,263","1,033","6,551","7,466","3,816","25,354","20,150","10,972","22,894"
2021년12월_계_0~9세,"9,980",391,118,70,51,66,146,88,88,59,46,50,35,22,44,8,180,202,114,"1,971","1,302",843,"4,086"
2021년12월_계_10~19세,"12,209",464,132,130,91,93,167,130,169,75,82,75,55,36,307,29,345,395,215,"3,131","2,264","1,072","2,752"
2021년12월_계_20~29세,"14,146",632,270,193,172,162,286,223,269,134,121,140,77,51,106,43,612,775,277,"3,722","2,193","1,395","2,293"
2021년12월_계_30~39세,"14,498",632,206,197,139,152,210,180,196,103,113,107,64,51,103,20,533,640,240,"2,802","1,939","1,291","4,580"
2021년12월_계_40~49세,"19,216",927,318,272,188,234,396,263,295,185,176,182,92,91,137,89,782,850,370,"4,038","2,883","1,789","4,659"
2021년12월_계_50~59세,"23,564","1,605",571,582,451,567,722,557,672,367,395,512,259,205,343,207,"1,035","1,272",639,"4,317","3,700","1,879","2,707"
2021년12월_계_60~69세,"23,391","1,592",667,730,614,863,965,802,858,449,579,710,390,341,516,303,"1,528","1,621",884,"2,996","3,226","1,551","1,206"
2021년12월_계_70~79세,"13,488",905,439,470,390,558,647,503,466,290,343,523,283,213,356,163,987,"1,050",661,"1,426","1,642",766,407
2021년12월_계_80~89세,"8,449",555,307,371,263,474,401,274,329,234,278,380,239,196,308,153,492,592,369,853,874,338,169
2021년12월_계_90~99세,"1,265",96,47,61,47,88,72,45,62,40,43,74,35,28,42,18,56,67,46,91,125,48,34
2021년12월_계_100세 이상,33,1,1,2,1,1,1,0,3,0,2,2,2,2,1,0,1,2,1,7,2,0,1
2021년12월_남_총인구수,"70,305","3,899","1,616","1,588","1,229","1,611","2,052","1,579","1,725",997,"1,091","1,371",767,620,"1,140",494,"3,320","3,636","1,860","12,582","10,089","5,572","11,467"
2021년12월_남_연령구간인구수,"70,305","3,899","1,616","1,588","1,229","1,611","2,052","1,579","1,725",997,"1,091","1,371",767,620,"1,140",494,"3,320","3,636","1,860","12,582","10,089","5,572","11,467"
2021년12월_남_0~9세,"5,145",197,52,38,31,40,83,41,46,41,25,27,17,15,29,5,94,99,65,"1,012",662,432,"2,094"
2021년12월_남_10~19세,"6,630",240,77,70,48,49,109,79,87,44,43,48,35,18,163,16,171,223,118,"1,599","1,397",591,"1,405"
2021년12월_남_20~29세,"7,900",343,156,122,111,108,177,121,165,78,67,78,49,27,70,26,367,452,149,"2,053","1,286",766,"1,129"
2021년12월_남_30~39세,"7,608",335,123,113,83,83,118,113,107,66,67,65,41,30,58,7,323,378,130,"1,446",998,719,"2,205"
2021년12월_남_40~49세,"10,107",511,207,167,125,143,225,167,170,118,108,116,57,59,81,46,461,473,208,"1,960","1,409",925,"2,371"
2021년12월_남_50~59세,"12,303",837,335,335,246,312,391,301,361,196,219,286,157,120,187,124,575,645,347,"2,149","1,770",958,"1,452"
2021년12월_남_60~69세,"11,576",829,343,396,313,469,508,418,459,234,305,380,214,200,271,159,684,707,406,"1,487","1,492",725,577
2021년12월_남_70~79세,"5,969",406,188,220,184,239,297,237,213,135,164,237,112,86,169,66,448,420,280,589,744,348,187
2021년12월_남_80~89세,"2,782",179,118,116,76,148,131,87,109,78,83,117,75,57,102,42,182,226,143,265,306,100,42
