,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년02월_계_총인구수,"44,380","5,386","3,536","12,027","15,338","1,961","3,774","2,249",109,0,0,0,0
2021년02월_계_연령구간인구수,"44,380","5,386","3,536","12,027","15,338","1,961","3,774","2,249",109,0,0,0,0
2021년02월_계_0~9세,"3,330",420,351,822,"1,159",164,232,182,0,0,0,0,0
2021년02월_계_10~19세,"3,731",481,248,997,"1,442",87,336,137,3,0,0,0,0
2021년02월_계_20~29세,"5,685",659,527,"1,608","1,769",401,435,283,3,0,0,0,0
2021년02월_계_30~39세,"4,673",572,447,"1,243","1,556",237,348,267,3,0,0,0,0
2021년02월_계_40~49세,"5,641",661,381,"1,620","2,054",188,535,194,8,0,0,0,0
2021년02월_계_50~59세,"7,121",888,477,"2,004","2,524",235,648,329,16,0,0,0,0
2021년02월_계_60~69세,"6,825",790,500,"1,875","2,350",283,592,413,22,0,0,0,0
2021년02월_계_70~79세,"4,695",594,361,"1,202","1,588",226,390,295,39,0,0,0,0
2021년02월_계_80~89세,"2,269",279,206,555,750,115,219,131,14,0,0,0,0
2021년02월_계_90~99세,366,40,36,90,127,20,35,17,1,0,0,0,0
2021년02월_계_100세 이상,44,2,2,11,19,5,4,1,0,0,0,0,0
2021년02월_남_총인구수,"23,071","2,744","1,888","6,455","7,729","1,092","1,901","1,210",52,0,0,0,0
2021년02월_남_연령구간인구수,"23,071","2,744","1,888","6,455","7,729","1,092","1,901","1,210",52,0,0,0,0
2021년02월_남_0~9세,"1,674",194,198,403,570,84,126,99,0,0,0,0,0
2021년02월_남_10~19세,"1,939",265,127,544,714,52,166,69,2,0,0,0,0
2021년02월_남_20~29세,"3,711",398,353,"1,100","1,073",296,280,210,1,0,0,0,0
2021년02월_남_30~39세,"2,579",316,250,714,821,145,178,153,2,0,0,0,0
2021년02월_남_40~49세,"3,021",354,213,868,"1,064",113,292,112,5,0,0,0,0
2021년02월_남_50~59세,"3,798",477,264,"1,066","1,344",125,338,173,11,0,0,0,0
2021년02월_남_60~69세,"3,349",375,255,956,"1,135",135,271,214,8,0,0,0,0
2021년02월_남_70~79세,"2,082",261,139,557,710,101,169,130,15,0,0,0,0
2021년02월_남_80~89세,827,96,82,223,260,35,77,46,8,0,0,0,0
2021년02월_남_90~99세,81,8,7,21,34,4,3,4,0,0,0,0,0
2021년02월_남_100세 이상,10,0,0,3,4,2,1,0,0,0,0,0,0
2021년02월_여_총인구수,"21,309","2,642","1,648","5,572","7,609",869,"1,873","1,039",57,0,0,0,0
2021년02월_여_연령구간인구수,"21,309","2,642","1,648","5,572","7,609",869,"1,873","1,039",57,0,0,0,0
2021년02월_여_0~9세,"1,656",226,153,419,589,80,106,83,0,0,0,0,0
2021년02월_여_10~19세,"1,792",216,121,453,728,35,170,68,1,0,0,0,0
2021년02월_여_20~29세,"1,974",261,174,508,696,105,155,73,2,0,0,0,0
2021년02월_여_30~39세,"2,094",256,197,529,735,92,170,114,1,0,0,0,0
2021년02월_여_40~49세,"2,620",307,168,752,990,75,243,82,3,0,0,0,0
2021년02월_여_50~59세,"3,323",411,213,938,"1,180",110,310,156,5,0,0,0,0
2021년02월_여_60~69세,"3,476",415,245,919,"1,215",148,321,199,14,0,0,0,0
2021년02월_여_70~79세,"2,613",333,222,645,878,125,221,165,24,0,0,0,0
2021년02월_여_80~89세,"1,442",183,124,332,490,80,142,85,6,0,0,0,0
2021년02월_여_90~99세,285,32,29,69,93,16,32,13,1,0,0,0,0
2021년02월_여_100세 이상,34,2,2,8,15,3,3,1,0,0,0,0,0
