,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년05월_계_총인구수,"447,038","26,490","31,454","28,192","9,766","5,533","8,266","51,146","39,529","23,022","62,045","41,369","40,186","30,604","49,436"
2020년05월_계_연령구간인구수,"447,038","26,490","31,454","28,192","9,766","5,533","8,266","51,146","39,529","23,022","62,045","41,369","40,186","30,604","49,436"
2020년05월_계_0~9세,"52,326","1,745","3,558","2,310",333,150,271,"3,930","5,333","1,706","7,261","6,192","6,592","5,032","7,913"
2020년05월_계_10~19세,"45,686","2,312","3,091","2,393",567,270,486,"5,810","5,547","2,173","7,084","4,992","3,447","2,467","5,047"
2020년05월_계_20~29세,"48,678","3,214","3,127","2,933",908,498,827,"7,028","3,854","3,225","7,343","3,771","4,735","2,671","4,544"
2020년05월_계_30~39세,"71,424","2,904","4,899","3,878",870,419,671,"5,680","5,998","3,038","9,413","6,997","9,833","7,225","9,599"
2020년05월_계_40~49세,"82,849","4,115","5,604","4,722","1,294",614,940,"8,725","8,498","3,918","11,774","8,977","7,515","5,618","10,535"
2020년05월_계_50~59세,"64,247","5,169","4,555","4,855","2,239","1,214","1,750","9,531","4,873","4,217","8,853","4,810","3,673","2,954","5,554"
2020년05월_계_60~69세,"45,698","3,907","3,880","3,996","1,925","1,239","1,645","5,639","3,009","2,630","5,741","3,201","2,653","2,576","3,657"
2020년05월_계_70~79세,"24,718","1,980","1,893","2,104","1,060",694,"1,044","3,175","1,693","1,431","3,209","1,746","1,265","1,563","1,861"
2020년05월_계_80~89세,"9,930","1,021",719,841,493,362,557,"1,423",644,596,"1,212",597,415,429,621
2020년05월_계_90~99세,"1,413",119,116,152,75,68,69,189,78,84,149,85,57,67,105
2020년05월_계_100세 이상,69,4,12,8,2,5,6,16,2,4,6,1,1,2,0
2020년05월_남_총인구수,"224,224","14,108","15,752","14,907","5,680","3,030","4,504","25,334","19,314","11,549","30,443","20,299","19,895","15,176","24,233"
2020년05월_남_연령구간인구수,"224,224","14,108","15,752","14,907","5,680","3,030","4,504","25,334","19,314","11,549","30,443","20,299","19,895","15,176","24,233"
2020년05월_남_0~9세,"26,734",902,"1,865","1,161",172,77,151,"1,972","2,680",902,"3,724","3,175","3,336","2,582","4,035"
2020년05월_남_10~19세,"23,303","1,243","1,586","1,239",313,132,271,"3,002","2,823","1,138","3,616","2,424","1,689","1,247","2,580"
2020년05월_남_20~29세,"25,254","1,896","1,601","1,623",572,298,493,"3,794","1,912","1,727","3,644","1,959","2,233","1,286","2,216"
2020년05월_남_30~39세,"35,044","1,629","2,395","2,172",544,239,392,"2,763","2,758","1,531","4,483","3,238","4,911","3,616","4,373"
2020년05월_남_40~49세,"43,108","2,295","2,874","2,671",835,385,574,"4,216","4,224","1,981","5,798","4,631","4,072","3,046","5,506"
2020년05월_남_50~59세,"32,883","2,793","2,281","2,647","1,401",698,"1,003","4,779","2,480","2,128","4,424","2,427","1,716","1,378","2,728"
2020년05월_남_60~69세,"22,267","2,057","1,919","2,048","1,103",679,886,"2,840","1,388","1,267","2,720","1,430","1,182","1,099","1,649"
2020년05월_남_70~79세,"11,552",894,930,999,527,373,489,"1,379",786,638,"1,527",796,585,749,880
2020년05월_남_80~89세,"3,724",365,268,317,194,136,219,528,245,223,469,204,160,152,244
2020년05월_남_90~99세,337,32,30,27,19,12,24,57,16,14,38,15,11,20,22
2020년05월_남_100세 이상,18,2,3,3,0,1,2,4,2,0,0,0,0,1,0
2020년05월_여_총인구수,"222,814","12,382","15,702","13,285","4,086","2,503","3,762","25,812","20,215","11,473","31,602","21,070","20,291","15,428","25,203"
2020년05월_여_연령구간인구수,"222,814","12,382","15,702","13,285","4,086","2,503","3,762","25,812","20,215","11,473","31,602","21,070","20,291","15,428","25,203"
2020년05월_여_0~9세,"25,592",843,"1,693","1,149",161,73,120,"1,958","2,653",804,"3,537","3,017","3,256","2,450","3,878"
2020년05월_여_10~19세,"22,383","1,069","1,505","1,154",254,138,215,"2,808","2,724","1,035","3,468","2,568","1,758","1,220","2,467"
2020년05월_여_20~29세,"23,424","1,318","1,526","1,310",336,200,334,"3,234","1,942","1,498","3,699","1,812","2,502","1,385","2,328"
2020년05월_여_30~39세,"36,380","1,275","2,504","1,706",326,180,279,"2,917","3,240","1,507","4,930","3,759","4,922","3,609","5,226"
2020년05월_여_40~49세,"39,741","1,820","2,730","2,051",459,229,366,"4,509","4,274","1,937","5,976","4,346","3,443","2,572","5,029"
2020년05월_여_50~59세,"31,364","2,376","2,274","2,208",838,516,747,"4,752","2,393","2,089","4,429","2,383","1,957","1,576","2,826"
2020년05월_여_60~69세,"23,431","1,850","1,961","1,948",822,560,759,"2,799","1,621","1,363","3,021","1,771","1,471","1,477","2,008"
2020년05월_여_70~79세,"13,166","1,086",963,"1,105",533,321,555,"1,796",907,793,"1,682",950,680,814,981
2020년05월_여_80~89세,"6,206",656,451,524,299,226,338,895,399,373,743,393,255,277,377
2020년05월_여_90~99세,"1,076",87,86,125,56,56,45,132,62,70,111,70,46,47,83
2020년05월_여_100세 이상,51,2,9,5,2,4,4,12,0,4,6,1,1,1,0
