카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년08월_계_총인구수,"456,980","31,664","30,720","22,576","26,123","42,415","21,039","21,461","16,028","18,510","15,217","13,335","20,755","21,033","20,204","46,791","33,866","25,132","30,111"
2020년08월_계_연령구간인구수,"456,980","31,664","30,720","22,576","26,123","42,415","21,039","21,461","16,028","18,510","15,217","13,335","20,755","21,033","20,204","46,791","33,866","25,132","30,111"
2020년08월_계_0~9세,"32,452","2,996","1,770","1,424","1,468","3,471","1,033","1,518",946,"1,556","1,035","1,394","1,131","1,853","1,336","3,551","1,817","2,115","2,038"
2020년08월_계_10~19세,"51,248","5,137","2,620","1,553","3,431","7,635","1,383","1,804","1,151","1,637","1,325","1,209","1,419","3,070","2,990","5,331","2,356","3,711","3,486"
2020년08월_계_20~29세,"60,452","3,438","5,088","3,599","4,175","4,621","2,702","2,698","2,098","2,180","2,155","1,572","2,713","2,529","2,646","5,992","5,308","3,226","3,712"
2020년08월_계_30~39세,"58,927","3,415","5,334","4,037","2,887","4,084","2,753","3,091","2,098","2,575","2,169","2,501","2,687","2,119","1,843","5,906","5,277","2,854","3,297"
2020년08월_계_40~49세,"79,699","6,996","4,663","3,262","4,634","9,311","3,180","3,375","2,311","3,055","2,357","2,102","3,016","4,101","3,855","8,157","5,299","4,765","5,260"
2020년08월_계_50~59세,"76,942","4,996","4,982","3,717","4,867","6,715","3,974","3,374","3,020","2,860","2,594","2,000","3,667","3,564","3,674","7,822","5,449","4,381","5,286"
2020년08월_계_60~69세,"56,592","2,797","3,794","2,966","2,630","3,993","3,527","3,268","2,518","2,716","2,091","1,575","3,443","2,138","2,200","5,673","4,749","2,575","3,939"
2020년08월_계_70~79세,"28,263","1,326","1,689","1,343","1,427","1,702","1,832","1,706","1,346","1,367","1,073",721,"1,818","1,116","1,105","3,054","2,653",976,"2,009"
2020년08월_계_80~89세,"10,548",471,657,581,527,715,550,542,471,497,364,211,764,442,466,"1,108",836,430,916
2020년08월_계_90~99세,"1,675",86,110,78,69,163,91,76,57,57,47,39,95,94,74,185,107,97,150
2020년08월_계_100세 이상,182,6,13,16,8,5,14,9,12,10,7,11,2,7,15,12,15,2,18
2020년08월_남_총인구수,"224,271","15,171","14,935","10,822","12,769","20,986","10,788","10,539","8,462","9,088","7,555","6,590","10,189","10,269","9,913","22,816","16,594","12,216","14,569"
2020년08월_남_연령구간인구수,"224,271","15,171","14,935","10,822","12,769","20,986","10,788","10,539","8,462","9,088","7,555","6,590","10,189","10,269","9,913","22,816","16,594","12,216","14,569"
2020년08월_남_0~9세,"16,629","1,496",877,754,707,"1,821",536,774,516,783,525,727,577,976,671,"1,820",948,"1,093","1,028"
2020년08월_남_10~19세,"26,666","2,560","1,408",843,"1,847","4,145",686,891,599,870,703,595,708,"1,564","1,556","2,766","1,200","1,912","1,813"
2020년08월_남_20~29세,"30,914","1,674","2,489","1,761","2,205","2,412","1,440","1,398","1,095","1,128","1,122",805,"1,447","1,282","1,379","3,096","2,580","1,655","1,946"
2020년08월_남_30~39세,"29,016","1,434","2,730","2,004","1,431","1,778","1,519","1,596","1,153","1,260","1,135","1,273","1,417",927,855,"2,889","2,764","1,275","1,576"
2020년08월_남_40~49세,"38,150","3,211","2,217","1,547","2,041","4,188","1,654","1,710","1,295","1,552","1,171","1,045","1,565","1,936","1,780","3,936","2,638","2,149","2,515"
2020년08월_남_50~59세,"38,280","2,605","2,374","1,701","2,419","3,479","2,078","1,645","1,660","1,383","1,230",965,"1,791","1,832","1,887","3,818","2,615","2,177","2,621"
2020년08월_남_60~69세,"27,207","1,371","1,794","1,387","1,279","1,973","1,783","1,490","1,337","1,279","1,015",744,"1,640","1,035","1,107","2,629","2,212","1,266","1,866"
2020년08월_남_70~79세,"13,282",636,797,611,657,894,880,818,603,653,508,350,759,536,480,"1,433","1,251",517,899
2020년08월_남_80~89세,"3,670",159,212,196,165,249,192,204,188,161,135,75,257,157,177,388,349,139,267
2020년08월_남_90~99세,411,23,32,15,16,47,15,11,12,17,9,9,26,21,18,39,33,33,35
2020년08월_남_100세 이상,46,2,5,3,2,0,5,2,4,2,2,2,2,3,3,2,4,0,3
2020년08월_여_총인구수,"232,709","16,493","15,785","11,754","13,354","21,429","10,251","10,922","7,566","9,422","7,662","6,745","10,566","10,764","10,291","23,975","17,272","12,916","15,542"
2020년08월_여_연령구간인구수,"232,709","16,493","15,785","11,754","13,354","21,429","10,251","10,922","7,566","9,422","7,662","6,745","10,566","10,764","10,291","23,975","17,272","12,916","15,542"
