,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년01월_계_총인구수,"267,351","15,957","32,975","12,605","16,889","15,618","45,003","17,302","12,541","8,699","8,232","13,780","6,992","13,262","14,023","8,796","15,932","8,745"
2021년01월_계_연령구간인구수,"267,351","15,957","32,975","12,605","16,889","15,618","45,003","17,302","12,541","8,699","8,232","13,780","6,992","13,262","14,023","8,796","15,932","8,745"
2021년01월_계_0~9세,"17,889",531,"2,790","1,038","1,076","1,789","3,443","1,425",502,534,506,699,299,642,761,355,"1,152",347
2021년01월_계_10~19세,"22,959",921,"3,123",865,"1,406","1,533","5,187","1,796",917,639,758,981,484,900,"1,217",379,"1,302",551
2021년01월_계_20~29세,"35,072","3,584","6,312","1,245","2,658","1,748","4,996","1,675","1,430",930,"1,031","1,547",662,"1,299","1,710","1,298","1,926","1,021"
2021년01월_계_30~39세,"30,044","1,849","4,254","1,759","1,961","2,223","4,190","1,832","1,165","1,046",799,"1,392",652,"1,275","1,302","1,302","2,193",850
2021년01월_계_40~49세,"41,800","2,066","5,683","1,884","2,633","2,761","7,776","2,908","1,639","1,332","1,264","1,986","1,046","1,852","2,168","1,200","2,422","1,180"
2021년01월_계_50~59세,"42,784","2,254","4,640","1,864","2,465","2,254","7,857","2,714","2,178","1,357","1,464","2,346","1,152","2,178","2,509","1,330","2,669","1,553"
2021년01월_계_60~69세,"41,034","2,379","3,412","1,996","2,444","1,828","6,397","2,800","2,532","1,612","1,351","2,604","1,340","2,697","2,315","1,398","2,296","1,633"
2021년01월_계_70~79세,"24,951","1,668","1,889","1,361","1,558","1,049","3,555","1,521","1,576",900,768,"1,565",973,"1,683","1,431","1,000","1,363","1,091"
2021년01월_계_80~89세,"9,540",630,746,534,622,373,"1,404",542,531,299,252,592,348,630,549,470,550,468
2021년01월_계_90~99세,"1,144",64,112,50,60,53,192,80,65,40,37,53,32,95,56,52,57,46
2021년01월_계_100세 이상,134,11,14,9,6,7,6,9,6,10,2,15,4,11,5,12,2,5
2021년01월_남_총인구수,"130,792","7,990","16,035","6,137","8,176","7,510","21,673","8,519","6,079","4,205","4,200","7,032","3,452","6,560","6,848","4,374","7,727","4,275"
2021년01월_남_연령구간인구수,"130,792","7,990","16,035","6,137","8,176","7,510","21,673","8,519","6,079","4,205","4,200","7,032","3,452","6,560","6,848","4,374","7,727","4,275"
