카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년12월_계_총인구수,"222,953","16,833","9,456","7,351","19,471","15,950","13,751","10,037","11,863","21,763","25,893","8,303","6,392","8,997","20,389","13,051","13,453"
2021년12월_계_연령구간인구수,"222,953","16,833","9,456","7,351","19,471","15,950","13,751","10,037","11,863","21,763","25,893","8,303","6,392","8,997","20,389","13,051","13,453"
2021년12월_계_0~9세,"12,653",874,319,172,626,"1,252",833,748,708,"1,229","2,492",515,219,395,"1,122",737,412
2021년12월_계_10~19세,"14,692","1,178",487,260,"1,047",902,"1,167",695,719,"1,000","2,708",498,263,465,"1,138","1,434",731
2021년12월_계_20~29세,"32,778","2,390","1,466",942,"4,218","2,445","1,881","1,523","1,766","3,723","2,692",844,"1,049","1,375","2,610","1,759","2,095"
2021년12월_계_30~39세,"37,719","2,793","1,686","1,019","3,231","3,633","2,112","1,831","1,953","4,792","3,217","1,370","1,102","1,649","3,822","1,456","2,053"
2021년12월_계_40~49세,"33,781","2,584","1,291","1,034","2,577","2,574","2,164","1,538","1,716","2,880","4,464","1,219",827,"1,358","3,262","2,349","1,944"
2021년12월_계_50~59세,"36,122","2,735","1,386","1,593","3,073","2,224","2,253","1,574","1,989","3,426","4,353","1,329","1,018","1,273","3,181","2,302","2,413"
2021년12월_계_60~69세,"29,169","2,274","1,414","1,381","2,476","1,686","1,780","1,094","1,573","2,637","2,908","1,374","1,004","1,194","2,830","1,527","2,017"
2021년12월_계_70~79세,"15,960","1,270",876,619,"1,425",822,973,638,959,"1,287","1,640",719,521,781,"1,509",777,"1,144"
2021년12월_계_80~89세,"8,591",624,454,283,702,351,520,344,420,672,"1,168",369,317,439,757,612,559
2021년12월_계_90~99세,"1,417",101,76,42,92,58,66,49,57,111,242,65,72,66,142,96,82
2021년12월_계_100세 이상,71,10,1,6,4,3,2,3,3,6,9,1,0,2,16,2,3
2021년12월_남_총인구수,"107,210","8,211","4,569","4,471","9,114","7,582","6,478","4,748","5,675","10,334","12,119","3,889","3,110","4,137","9,841","6,241","6,691"
2021년12월_남_연령구간인구수,"107,210","8,211","4,569","4,471","9,114","7,582","6,478","4,748","5,675","10,334","12,119","3,889","3,110","4,137","9,841","6,241","6,691"
2021년12월_남_0~9세,"6,523",448,160,96,306,621,417,385,350,654,"1,321",258,106,197,603,377,224
