,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년10월_계_총인구수,"1,834,653","219,150","277,008","281,787","116,711","150,154","46,198","27,616","25,121","62,930","39,564","62,598","36,701","33,860","67,425","53,000","90,488","31,379","52,113","43,553","48,861","30,110","38,326"
2021년10월_계_연령구간인구수,"1,834,653","219,150","277,008","281,787","116,711","150,154","46,198","27,616","25,121","62,930","39,564","62,598","36,701","33,860","67,425","53,000","90,488","31,379","52,113","43,553","48,861","30,110","38,326"
2021년10월_계_0~9세,"125,113","16,629","19,756","22,726","9,964","12,689","2,217",997,"1,036","2,446","1,560","3,282","1,855","1,564","3,643","3,213","8,181","1,228","3,660","2,515","2,942","1,569","1,441"
2021년10월_계_10~19세,"163,576","23,813","25,686","29,488","9,659","15,668","2,992","1,876","1,780","3,692","2,513","5,551","2,627","2,424","4,983","4,319","9,628","2,020","4,012","3,180","3,509","2,175","1,981"
2021년10월_계_20~29세,"194,535","26,367","32,888","36,883","12,212","19,364","4,530","2,195","1,835","3,905","2,789","6,655","2,885","2,711","5,414","4,905","9,417","2,346","4,718","3,928","3,610","2,421","2,557"
2021년10월_계_30~39세,"179,444","23,880","29,768","33,015","14,490","17,977","3,545","1,625","1,525","3,451","2,341","4,677","2,553","2,270","4,644","4,436","11,076","1,877","4,624","3,436","3,651","2,089","2,494"
2021년10월_계_40~49세,"252,631","36,169","40,695","42,500","16,722","23,040","5,121","2,900","2,695","5,995","3,928","7,949","3,852","3,560","7,659","7,242","14,315","3,285","6,231","5,243","5,987","3,412","4,131"
2021년10월_계_50~59세,"312,220","35,952","48,114","49,268","17,342","29,308","8,205","4,780","4,531","9,924","6,533","11,371","6,139","5,538","11,383","9,432","13,411","5,362","8,427","7,449","7,885","4,945","6,921"
2021년10월_계_60~69세,"283,553","29,904","42,147","36,336","16,910","18,123","8,736","5,243","4,854","13,007","7,750","10,125","6,738","6,422","12,672","8,519","11,506","6,176","8,640","7,618","8,728","5,480","7,919"
2021년10월_계_70~79세,"191,173","17,875","24,975","19,203","11,403","8,346","6,181","4,132","3,795","11,305","6,450","7,317","5,347","5,091","9,879","6,160","7,872","4,963","6,991","5,750","7,340","4,552","6,246"
2021년10월_계_80~89세,"114,784","7,545","11,249","10,636","6,910","4,785","4,038","3,279","2,655","7,863","4,898","4,954","4,011","3,676","6,206","4,180","4,443","3,584","4,245","3,886","4,566","3,065","4,110"
2021년10월_계_90~99세,"17,048",974,"1,686","1,665","1,064",832,606,571,401,"1,295",777,690,669,592,906,584,614,522,539,530,626,391,514
2021년10월_계_100세 이상,576,42,44,67,35,22,27,18,14,47,25,27,25,12,36,10,25,16,26,18,17,11,12
2021년10월_남_총인구수,"923,037","109,103","141,225","140,625","58,861","78,423","23,427","13,565","12,237","30,606","19,314","30,920","17,854","16,418","33,386","27,495","45,431","15,785","26,039","22,282","24,606","14,920","20,515"
