카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년09월_계_총인구수,"230,395","35,772","20,690","61,094","31,958","16,184","64,697"
2021년09월_계_연령구간인구수,"230,395","35,772","20,690","61,094","31,958","16,184","64,697"
2021년09월_계_0~9세,"22,245","3,763",835,"6,676","3,860","1,285","5,826"
2021년09월_계_10~19세,"24,885","4,158","1,156","7,166","3,346","1,918","7,141"
2021년09월_계_20~29세,"31,378","4,432","3,855","7,056","4,054","2,210","9,771"
2021년09월_계_30~39세,"37,770","5,320","4,998","9,495","5,738","2,327","9,892"
2021년09월_계_40~49세,"43,768","6,711","3,884","11,837","6,173","3,074","12,089"
2021년09월_계_50~59세,"33,857","5,488","2,930","8,526","4,312","2,553","10,048"
2021년09월_계_60~69세,"21,685","3,446","1,851","6,088","2,846","1,626","5,828"
2021년09월_계_70~79세,"9,930","1,615",798,"2,863","1,119",772,"2,763"
2021년09월_계_80~89세,"4,308",762,346,"1,213",433,376,"1,178"
2021년09월_계_90~99세,542,77,33,162,75,38,157
2021년09월_계_100세 이상,27,0,4,12,2,5,4
2021년09월_남_총인구수,"119,558","17,929","12,333","30,888","16,385","8,326","33,697"
2021년09월_남_연령구간인구수,"119,558","17,929","12,333","30,888","16,385","8,326","33,697"
2021년09월_남_0~9세,"11,349","1,927",413,"3,409","1,947",667,"2,986"
2021년09월_남_10~19세,"12,731","2,066",582,"3,624","1,706",986,"3,767"
2021년09월_남_20~29세,"17,021","2,312","2,250","3,716","2,148","1,222","5,373"
2021년09월_남_30~39세,"20,532","2,706","3,239","4,929","3,010","1,273","5,375"
2021년09월_남_40~49세,"23,317","3,405","2,453","6,255","3,241","1,583","6,380"
2021년09월_남_50~59세,"17,735","2,807","1,840","4,327","2,190","1,316","5,255"
2021년09월_남_60~69세,"10,748","1,705","1,028","2,906","1,425",805,"2,879"
2021년09월_남_70~79세,"4,404",695,380,"1,271",554,331,"1,173"
2021년09월_남_80~89세,"1,604",294,144,412,156,131,467
2021년09월_남_90~99세,110,12,4,36,8,9,41
2021년09월_남_100세 이상,7,0,0,3,0,3,1
2021년09월_여_총인구수,"110,837","17,843","8,357","30,206","15,573","7,858","31,000"
2021년09월_여_연령구간인구수,"110,837","17,843","8,357","30,206","15,573","7,858","31,000"
2021년09월_여_0~9세,"10,896","1,836",422,"3,267","1,913",618,"2,840"
2021년09월_여_10~19세,"12,154","2,092",574,"3,542","1,640",932,"3,374"
2021년09월_여_20~29세,"14,357","2,120","1,605","3,340","1,906",988,"4,398"
2021년09월_여_30~39세,"17,238","2,614","1,759","4,566","2,728","1,054","4,517"
2021년09월_여_40~49세,"20,451","3,306","1,431","5,582","2,932","1,491","5,709"
2021년09월_여_50~59세,"16,122","2,681","1,090","4,199","2,122","1,237","4,793"
2021년09월_여_60~69세,"10,937","1,741",823,"3,182","1,421",821,"2,949"
2021년09월_여_70~79세,"5,526",920,418,"1,592",565,441,"1,590"
2021년09월_여_80~89세,"2,704",468,202,801,277,245,711
2021년09월_여_90~99세,432,65,29,126,67,29,116
2021년09월_여_100세 이상,20,0,4,9,2,2,3
