,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년07월_계_총인구수,"114,873","10,830","4,164","9,007","9,310","7,388","5,341","6,850","18,637","29,151","3,603","10,592"
2020년07월_계_연령구간인구수,"114,873","10,830","4,164","9,007","9,310","7,388","5,341","6,850","18,637","29,151","3,603","10,592"
2020년07월_계_0~9세,"5,455",405,187,433,234,391,156,386,"1,080","1,615",186,382
2020년07월_계_10~19세,"7,658",547,256,609,516,432,286,457,"1,449","2,327",197,582
2020년07월_계_20~29세,"12,172","1,048",452,896,824,732,511,617,"2,002","3,511",619,960
2020년07월_계_30~39세,"11,102","1,061",399,852,679,798,417,680,"1,917","2,990",357,952
2020년07월_계_40~49세,"15,534","1,396",540,"1,140","1,160",987,698,"1,016","2,715","4,151",438,"1,293"
2020년07월_계_50~59세,"19,968","1,973",725,"1,570","1,708","1,206",942,"1,102","3,259","5,136",492,"1,855"
2020년07월_계_60~69세,"21,854","2,168",828,"1,705","1,864","1,446","1,060","1,241","3,352","5,142",677,"2,371"
2020년07월_계_70~79세,"14,552","1,522",540,"1,225","1,569",890,896,929,"1,992","3,002",449,"1,538"
2020년07월_계_80~89세,"5,716",621,202,488,663,421,336,350,757,"1,135",158,585
2020년07월_계_90~99세,731,81,26,77,81,56,31,60,99,126,28,66
2020년07월_계_100세 이상,131,8,9,12,12,29,8,12,15,16,2,8
2020년07월_남_총인구수,"56,583","5,405","2,016","4,379","4,666","3,619","2,660","3,335","9,245","14,223","1,898","5,137"
2020년07월_남_연령구간인구수,"56,583","5,405","2,016","4,379","4,666","3,619","2,660","3,335","9,245","14,223","1,898","5,137"
2020년07월_남_0~9세,"2,754",200,99,222,133,192,75,196,543,805,100,189
2020년07월_남_10~19세,"3,967",282,139,327,275,217,149,240,756,"1,185",100,297
2020년07월_남_20~29세,"6,628",547,243,493,432,383,285,318,"1,086","1,928",384,529
2020년07월_남_30~39세,"5,970",570,215,445,405,428,250,352,"1,032","1,554",204,515
2020년07월_남_40~49세,"8,156",783,267,564,669,544,395,528,"1,392","2,062",251,701
2020년07월_남_50~59세,"10,138","1,097",363,775,953,623,504,568,"1,637","2,434",260,924
2020년07월_남_60~69세,"10,453","1,043",369,815,898,678,487,589,"1,584","2,487",335,"1,168"
2020년07월_남_70~79세,"6,320",649,233,527,644,396,366,410,927,"1,343",197,628
2020년07월_남_80~89세,"2,021",223,79,189,240,139,137,118,263,399,56,178
2020년07월_남_90~99세,143,9,5,19,12,15,8,13,19,26,10,7
2020년07월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년07월_여_총인구수,"58,290","5,425","2,148","4,628","4,644","3,769","2,681","3,515","9,392","14,928","1,705","5,455"
2020년07월_여_연령구간인구수,"58,290","5,425","2,148","4,628","4,644","3,769","2,681","3,515","9,392","14,928","1,705","5,455"
2020년07월_여_0~9세,"2,701",205,88,211,101,199,81,190,537,810,86,193
2020년07월_여_10~19세,"3,691",265,117,282,241,215,137,217,693,"1,142",97,285
2020년07월_여_20~29세,"5,544",501,209,403,392,349,226,299,916,"1,583",235,431
2020년07월_여_30~39세,"5,132",491,184,407,274,370,167,328,885,"1,436",153,437
2020년07월_여_40~49세,"7,378",613,273,576,491,443,303,488,"1,323","2,089",187,592
2020년07월_여_50~59세,"9,830",876,362,795,755,583,438,534,"1,622","2,702",232,931
2020년07월_여_60~69세,"11,401","1,125",459,890,966,768,573,652,"1,768","2,655",342,"1,203"
2020년07월_여_70~79세,"8,232",873,307,698,925,494,530,519,"1,065","1,659",252,910
2020년07월_여_80~89세,"3,695",398,123,299,423,282,199,232,494,736,102,407
2020년07월_여_90~99세,588,72,21,58,69,41,23,47,80,100,18,59
2020년07월_여_100세 이상,98,6,5,9,7,25,4,9,9,16,1,7
