카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년12월_계_총인구수,"43,449","9,724","3,039","3,493","1,914","1,820","2,186","3,384","5,911","1,710","1,681","1,425","4,206","2,956"
2021년12월_계_연령구간인구수,"43,449","9,724","3,039","3,493","1,914","1,820","2,186","3,384","5,911","1,710","1,681","1,425","4,206","2,956"
2021년12월_계_0~9세,"1,633",526,85,94,46,50,47,79,318,24,56,50,144,114
2021년12월_계_10~19세,"2,673",842,189,178,87,65,118,145,430,59,79,112,221,148
2021년12월_계_20~29세,"3,037",929,206,187,113,87,129,206,444,81,76,65,233,281
2021년12월_계_30~39세,"2,529",778,118,147,89,95,102,176,402,61,87,67,217,190
2021년12월_계_40~49세,"4,549","1,278",337,326,169,133,195,294,731,128,140,118,353,347
2021년12월_계_50~59세,"8,031","1,764",702,695,336,323,372,632,"1,029",275,266,251,823,563
2021년12월_계_60~69세,"9,375","1,731",656,799,454,433,517,802,"1,190",404,397,397,998,597
2021년12월_계_70~79세,"6,293","1,129",447,569,301,304,356,586,727,342,301,217,614,400
2021년12월_계_80~89세,"4,525",651,255,421,279,286,284,389,527,278,239,123,510,283
2021년12월_계_90~99세,790,93,43,76,40,42,65,73,112,57,40,25,91,33
2021년12월_계_100세 이상,14,3,1,1,0,2,1,2,1,1,0,0,2,0
2021년12월_남_총인구수,"21,696","4,793","1,533","1,733",944,893,"1,074","1,725","2,929",832,821,742,"2,127","1,550"
2021년12월_남_연령구간인구수,"21,696","4,793","1,533","1,733",944,893,"1,074","1,725","2,929",832,821,742,"2,127","1,550"
2021년12월_남_0~9세,853,274,44,57,29,23,23,43,147,12,24,30,80,67
2021년12월_남_10~19세,"1,452",444,104,104,53,33,52,72,242,25,43,75,119,86
2021년12월_남_20~29세,"1,806",504,115,128,68,52,82,136,266,50,45,37,144,179
2021년12월_남_30~39세,"1,390",412,61,79,47,52,63,117,199,38,50,36,120,116
2021년12월_남_40~49세,"2,535",650,179,186,95,87,114,176,405,76,80,67,203,217
2021년12월_남_50~59세,"4,420",943,392,360,187,171,209,371,540,157,162,141,463,324
2021년12월_남_60~69세,"4,885",860,351,423,244,234,272,408,605,213,214,209,540,312
2021년12월_남_70~79세,"2,792",487,187,237,133,148,162,259,339,157,130,109,282,162
2021년12월_남_80~89세,"1,401",202,89,151,76,83,86,127,158,95,64,34,159,77
2021년12월_남_90~99세,159,17,11,8,12,8,11,16,28,9,9,4,16,10
2021년12월_남_100세 이상,3,0,0,0,0,2,0,0,0,0,0,0,1,0
2021년12월_여_총인구수,"21,753","4,931","1,506","1,760",970,927,"1,112","1,659","2,982",878,860,683,"2,079","1,406"
2021년12월_여_연령구간인구수,"21,753","4,931","1,506","1,760",970,927,"1,112","1,659","2,982",878,860,683,"2,079","1,406"
2021년12월_여_0~9세,780,252,41,37,17,27,24,36,171,12,32,20,64,47
2021년12월_여_10~19세,"1,221",398,85,74,34,32,66,73,188,34,36,37,102,62
2021년12월_여_20~29세,"1,231",425,91,59,45,35,47,70,178,31,31,28,89,102
2021년12월_여_30~39세,"1,139",366,57,68,42,43,39,59,203,23,37,31,97,74
2021년12월_여_40~49세,"2,014",628,158,140,74,46,81,118,326,52,60,51,150,130
2021년12월_여_50~59세,"3,611",821,310,335,149,152,163,261,489,118,104,110,360,239
2021년12월_여_60~69세,"4,490",871,305,376,210,199,245,394,585,191,183,188,458,285
2021년12월_여_70~79세,"3,501",642,260,332,168,156,194,327,388,185,171,108,332,238
2021년12월_여_80~89세,"3,124",449,166,270,203,203,198,262,369,183,175,89,351,206
2021년12월_여_90~99세,631,76,32,68,28,34,54,57,84,48,31,21,75,23
2021년12월_여_100세 이상,11,3,1,1,0,0,1,2,1,1,0,0,1,0
