,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동,경기도 군포시 송부동
2021년08월_계_총인구수,"269,752","33,423","43,932","15,797","26,883","17,268","18,722","21,673","16,402","20,729","9,346","25,065","20,512"
2021년08월_계_연령구간인구수,"269,752","33,423","43,932","15,797","26,883","17,268","18,722","21,673","16,402","20,729","9,346","25,065","20,512"
2021년08월_계_0~9세,"19,213","1,890","3,509",627,"2,104",787,"1,079","1,760",967,"1,734",605,"1,634","2,517"
2021년08월_계_10~19세,"25,732","2,581","4,898",783,"2,752","1,122","1,369","2,064","1,540","3,017",945,"2,655","2,006"
2021년08월_계_20~29세,"37,262","5,363","6,075","2,460","3,589","2,728","2,681","2,765","1,991","2,514","1,112","3,615","2,369"
2021년08월_계_30~39세,"37,281","4,603","5,803","2,179","3,444","2,338","3,072","3,642","2,091","2,136","1,035","3,208","3,730"
2021년08월_계_40~49세,"43,054","4,888","7,198","1,997","4,332","2,417","2,685","3,645","2,568","4,007","1,539","4,086","3,692"
2021년08월_계_50~59세,"47,450","6,503","7,856","2,933","4,699","3,379","3,084","3,451","2,906","3,600","1,763","4,422","2,854"
2021년08월_계_60~69세,"35,481","4,759","5,439","2,739","3,746","2,867","2,644","2,472","2,224","2,099","1,359","2,968","2,165"
2021년08월_계_70~79세,"15,150","1,904","2,045","1,365","1,390","1,108","1,288","1,121","1,194",916,643,"1,366",810
2021년08월_계_80~89세,"7,876",800,951,607,706,452,712,668,814,626,288,936,316
2021년08월_계_90~99세,"1,208",126,154,101,118,67,106,84,105,77,52,167,51
2021년08월_계_100세 이상,45,6,4,6,3,3,2,1,2,3,5,8,2
2021년08월_남_총인구수,"133,758","17,596","21,831","7,938","13,019","8,998","8,891","10,518","7,806","10,148","4,697","12,177","10,139"
2021년08월_남_연령구간인구수,"133,758","17,596","21,831","7,938","13,019","8,998","8,891","10,518","7,806","10,148","4,697","12,177","10,139"
2021년08월_남_0~9세,"9,788",958,"1,784",327,"1,058",416,554,893,458,932,309,820,"1,279"
2021년08월_남_10~19세,"13,354","1,346","2,545",426,"1,423",583,702,"1,083",795,"1,539",507,"1,390","1,015"
2021년08월_남_20~29세,"19,387","2,940","3,168","1,321","1,834","1,461","1,335","1,422","1,006","1,327",579,"1,818","1,176"
2021년08월_남_30~39세,"19,399","2,619","2,954","1,257","1,685","1,320","1,623","1,814","1,068","1,029",525,"1,623","1,882"
2021년08월_남_40~49세,"21,291","2,631","3,505","1,094","2,039","1,326","1,271","1,744","1,238","1,848",788,"1,913","1,894"
2021년08월_남_50~59세,"23,142","3,384","3,767","1,384","2,190","1,749","1,435","1,627","1,383","1,785",866,"2,248","1,324"
2021년08월_남_60~69세,"17,408","2,473","2,757","1,285","1,863","1,424","1,207","1,172","1,027","1,028",698,"1,431","1,043"
2021년08월_남_70~79세,"6,858",898,975,619,640,549,503,473,498,409,312,582,400
2021년08월_남_80~89세,"2,800",312,336,202,255,156,234,265,294,221,100,308,117
2021년08월_남_90~99세,321,34,38,22,31,14,27,25,38,30,10,43,9
2021년08월_남_100세 이상,10,1,2,1,1,0,0,0,1,0,3,1,0
2021년08월_여_총인구수,"135,994","15,827","22,101","7,859","13,864","8,270","9,831","11,155","8,596","10,581","4,649","12,888","10,373"
2021년08월_여_연령구간인구수,"135,994","15,827","22,101","7,859","13,864","8,270","9,831","11,155","8,596","10,581","4,649","12,888","10,373"
2021년08월_여_0~9세,"9,425",932,"1,725",300,"1,046",371,525,867,509,802,296,814,"1,238"
2021년08월_여_10~19세,"12,378","1,235","2,353",357,"1,329",539,667,981,745,"1,478",438,"1,265",991
2021년08월_여_20~29세,"17,875","2,423","2,907","1,139","1,755","1,267","1,346","1,343",985,"1,187",533,"1,797","1,193"
2021년08월_여_30~39세,"17,882","1,984","2,849",922,"1,759","1,018","1,449","1,828","1,023","1,107",510,"1,585","1,848"
2021년08월_여_40~49세,"21,763","2,257","3,693",903,"2,293","1,091","1,414","1,901","1,330","2,159",751,"2,173","1,798"
2021년08월_여_50~59세,"24,308","3,119","4,089","1,549","2,509","1,630","1,649","1,824","1,523","1,815",897,"2,174","1,530"
2021년08월_여_60~69세,"18,073","2,286","2,682","1,454","1,883","1,443","1,437","1,300","1,197","1,071",661,"1,537","1,122"
2021년08월_여_70~79세,"8,292","1,006","1,070",746,750,559,785,648,696,507,331,784,410
2021년08월_여_80~89세,"5,076",488,615,405,451,296,478,403,520,405,188,628,199
2021년08월_여_90~99세,887,92,116,79,87,53,79,59,67,47,42,124,42
2021년08월_여_100세 이상,35,5,2,5,2,3,2,1,1,3,2,7,2
