카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년09월_계_총인구수,"111,442","18,137","12,479","15,666","7,671","1,644","3,486","2,882","3,560","6,248","5,261","6,406","15,531","6,835","5,365",271
2020년09월_계_연령구간인구수,"111,442","18,137","12,479","15,666","7,671","1,644","3,486","2,882","3,560","6,248","5,261","6,406","15,531","6,835","5,365",271
2020년09월_계_0~9세,"8,342","1,434","1,349","1,982",678,47,102,80,70,174,233,450,"1,083",352,305,3
2020년09월_계_10~19세,"10,347","1,902","1,480","2,023",626,53,151,93,142,315,325,488,"1,681",636,424,8
2020년09월_계_20~29세,"10,852","2,309","1,356","1,587",531,120,280,162,266,418,494,562,"1,622",678,458,9
2020년09월_계_30~39세,"12,156","2,388","1,721","2,458",914,103,196,142,163,458,469,690,"1,437",549,453,15
2020년09월_계_40~49세,"17,873","3,243","2,315","3,052","1,226",176,351,271,335,734,707,970,"2,545","1,170",744,34
2020년09월_계_50~59세,"18,471","3,054","1,859","1,879","1,230",292,616,539,706,"1,103",988,"1,107","2,884","1,277",890,47
2020년09월_계_60~69세,"16,244","1,954","1,182","1,309","1,203",396,746,678,776,"1,442","1,016","1,078","2,267","1,122","1,012",63
2020년09월_계_70~79세,"10,666","1,126",736,833,768,245,612,515,636,"1,077",671,736,"1,332",660,653,66
2020년09월_계_80~89세,"5,672",628,414,478,425,190,384,355,400,457,319,286,619,331,360,26
2020년09월_계_90~99세,787,91,66,64,69,22,45,44,64,68,39,32,60,59,64,0
2020년09월_계_100세 이상,32,8,1,1,1,0,3,3,2,2,0,7,1,1,2,0
2020년09월_남_총인구수,"56,183","9,403","6,283","8,161","3,824",872,"1,779","1,424","1,758","3,049","2,612","3,153","7,564","3,522","2,638",141
2020년09월_남_연령구간인구수,"56,183","9,403","6,283","8,161","3,824",872,"1,779","1,424","1,758","3,049","2,612","3,153","7,564","3,522","2,638",141
2020년09월_남_0~9세,"4,365",752,694,"1,072",325,27,61,45,37,97,117,230,561,174,171,2
2020년09월_남_10~19세,"5,327",926,782,"1,018",331,30,85,55,74,163,180,264,874,328,212,5
2020년09월_남_20~29세,"6,462","1,346",781,991,308,71,175,100,165,251,312,325,931,424,275,7
2020년09월_남_30~39세,"6,499","1,339",877,"1,282",472,64,112,76,96,285,256,364,724,304,239,9
2020년09월_남_40~49세,"9,524","1,753","1,162","1,627",676,111,211,176,216,425,393,527,"1,214",615,391,27
2020년09월_남_50~59세,"9,736","1,613",976,"1,046",635,182,350,308,398,570,500,547,"1,435",699,449,28
2020년09월_남_60~69세,"7,839",984,583,622,586,211,375,333,371,655,471,478,"1,082",568,491,29
2020년09월_남_70~79세,"4,551",479,289,357,342,108,275,215,282,449,278,317,545,294,293,28
2020년09월_남_80~89세,"1,748",193,127,137,136,62,122,108,113,147,98,94,191,107,107,6
2020년09월_남_90~99세,124,17,12,9,13,6,12,6,5,7,7,5,7,8,10,0
2020년09월_남_100세 이상,8,1,0,0,0,0,1,2,1,0,0,2,0,1,0,0
2020년09월_여_총인구수,"55,259","8,734","6,196","7,505","3,847",772,"1,707","1,458","1,802","3,199","2,649","3,253","7,967","3,313","2,727",130
2020년09월_여_연령구간인구수,"55,259","8,734","6,196","7,505","3,847",772,"1,707","1,458","1,802","3,199","2,649","3,253","7,967","3,313","2,727",130
2020년09월_여_0~9세,"3,977",682,655,910,353,20,41,35,33,77,116,220,522,178,134,1
2020년09월_여_10~19세,"5,020",976,698,"1,005",295,23,66,38,68,152,145,224,807,308,212,3
2020년09월_여_20~29세,"4,390",963,575,596,223,49,105,62,101,167,182,237,691,254,183,2
2020년09월_여_30~39세,"5,657","1,049",844,"1,176",442,39,84,66,67,173,213,326,713,245,214,6
2020년09월_여_40~49세,"8,349","1,490","1,153","1,425",550,65,140,95,119,309,314,443,"1,331",555,353,7
2020년09월_여_50~59세,"8,735","1,441",883,833,595,110,266,231,308,533,488,560,"1,449",578,441,19
2020년09월_여_60~69세,"8,405",970,599,687,617,185,371,345,405,787,545,600,"1,185",554,521,34
2020년09월_여_70~79세,"6,115",647,447,476,426,137,337,300,354,628,393,419,787,366,360,38
2020년09월_여_80~89세,"3,924",435,287,341,289,128,262,247,287,310,221,192,428,224,253,20
2020년09월_여_90~99세,663,74,54,55,56,16,33,38,59,61,32,27,53,51,54,0
2020년09월_여_100세 이상,24,7,1,1,1,0,2,1,1,2,0,5,1,0,2,0
