카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년09월_계_총인구수,"122,858","2,231","4,862","2,880","4,059","4,604","5,206","1,752","7,639","13,897","16,794","13,622","10,378","10,345","12,484","12,105"
2021년09월_계_연령구간인구수,"122,858","2,231","4,862","2,880","4,059","4,604","5,206","1,752","7,639","13,897","16,794","13,622","10,378","10,345","12,484","12,105"
2021년09월_계_0~9세,"6,396",162,194,85,173,179,124,39,258,526,999,715,546,667,732,997
2021년09월_계_10~19세,"6,592",120,214,129,187,263,185,40,283,780,946,842,548,833,486,736
2021년09월_계_20~29세,"18,318",252,497,381,742,"1,196","1,041",224,"1,355","2,289","2,037","1,883","1,640","1,345","2,066","1,370"
2021년09월_계_30~39세,"19,943",499,536,401,671,682,856,318,"1,345","2,195","2,369","2,121","1,684","1,314","2,797","2,155"
2021년09월_계_40~49세,"17,522",501,662,421,464,574,638,186,"1,048","1,942","2,393","1,856","1,541","1,512","1,784","2,000"
2021년09월_계_50~59세,"20,161",309,924,484,593,589,805,288,"1,313","2,274","2,788","2,314","1,853","1,920","1,790","1,917"
2021년09월_계_60~69세,"17,908",236,"1,032",505,619,536,836,387,"1,097","2,001","2,706","2,029","1,349","1,500","1,551","1,524"
2021년09월_계_70~79세,"10,273",101,525,307,358,357,501,177,636,"1,236","1,577","1,148",814,744,877,915
2021년09월_계_80~89세,"4,872",42,225,137,191,199,191,75,253,562,826,624,357,438,335,417
2021년09월_계_90~99세,812,8,51,26,52,28,27,18,49,82,149,88,43,63,65,63
2021년09월_계_100세 이상,61,1,2,4,9,1,2,0,2,10,4,2,3,9,1,11
2021년09월_남_총인구수,"59,853","1,067","2,534","1,258","2,062","2,355","2,672","1,075","3,780","6,749","7,840","6,430","5,052","5,011","5,962","6,006"
2021년09월_남_연령구간인구수,"59,853","1,067","2,534","1,258","2,062","2,355","2,672","1,075","3,780","6,749","7,840","6,430","5,052","5,011","5,962","6,006"
2021년09월_남_0~9세,"3,320",82,103,51,93,92,64,18,107,277,501,375,279,377,387,514
2021년09월_남_10~19세,"3,255",38,95,58,95,133,86,18,122,417,479,413,263,418,238,382
2021년09월_남_20~29세,"8,519",92,230,169,353,637,442,106,603,"1,114",965,898,737,655,852,666
2021년09월_남_30~39세,"9,955",231,241,215,351,365,489,184,680,"1,142","1,126","1,057",846,629,"1,389","1,010"
2021년09월_남_40~49세,"8,959",266,355,186,257,302,344,120,581,988,"1,176",907,792,738,890,"1,057"
2021년09월_남_50~59세,"10,219",148,529,208,342,306,457,214,708,"1,083","1,315","1,106",975,936,906,986
2021년09월_남_60~69세,"8,941",139,603,216,310,269,449,264,570,938,"1,250",972,664,751,749,797
2021년09월_남_70~79세,"4,649",53,269,111,174,167,257,109,294,563,691,451,349,332,412,417
2021년09월_남_80~89세,"1,800",15,96,39,69,75,73,35,101,206,296,229,131,154,124,157
2021년09월_남_90~99세,219,3,12,4,16,9,10,7,12,20,39,21,16,18,15,17
2021년09월_남_100세 이상,17,0,1,1,2,0,1,0,2,1,2,1,0,3,0,3
2021년09월_여_총인구수,"63,005","1,164","2,328","1,622","1,997","2,249","2,534",677,"3,859","7,148","8,954","7,192","5,326","5,334","6,522","6,099"
2021년09월_여_연령구간인구수,"63,005","1,164","2,328","1,622","1,997","2,249","2,534",677,"3,859","7,148","8,954","7,192","5,326","5,334","6,522","6,099"
2021년09월_여_0~9세,"3,076",80,91,34,80,87,60,21,151,249,498,340,267,290,345,483
2021년09월_여_10~19세,"3,337",82,119,71,92,130,99,22,161,363,467,429,285,415,248,354
2021년09월_여_20~29세,"9,799",160,267,212,389,559,599,118,752,"1,175","1,072",985,903,690,"1,214",704
2021년09월_여_30~39세,"9,988",268,295,186,320,317,367,134,665,"1,053","1,243","1,064",838,685,"1,408","1,145"
2021년09월_여_40~49세,"8,563",235,307,235,207,272,294,66,467,954,"1,217",949,749,774,894,943
2021년09월_여_50~59세,"9,942",161,395,276,251,283,348,74,605,"1,191","1,473","1,208",878,984,884,931
2021년09월_여_60~69세,"8,967",97,429,289,309,267,387,123,527,"1,063","1,456","1,057",685,749,802,727
2021년09월_여_70~79세,"5,624",48,256,196,184,190,244,68,342,673,886,697,465,412,465,498
2021년09월_여_80~89세,"3,072",27,129,98,122,124,118,40,152,356,530,395,226,284,211,260
2021년09월_여_90~99세,593,5,39,22,36,19,17,11,37,62,110,67,27,45,50,46
2021년09월_여_100세 이상,44,1,1,3,7,1,1,0,0,9,2,1,3,6,1,8
