카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년01월_계_총인구수,"40,430","9,193","11,884","1,119","1,412","1,168","1,200","1,692",885,"3,716","2,785","1,240","3,050","1,086"
2021년01월_계_연령구간인구수,"40,430","9,193","11,884","1,119","1,412","1,168","1,200","1,692",885,"3,716","2,785","1,240","3,050","1,086"
2021년01월_계_0~9세,"1,747",677,515,29,36,28,43,64,19,111,67,47,85,26
2021년01월_계_10~19세,"2,588",833,830,42,65,51,67,81,47,165,127,75,171,34
2021년01월_계_20~29세,"2,959",976,817,69,89,68,60,101,43,232,138,98,187,81
2021년01월_계_30~39세,"2,504",819,748,54,79,54,52,75,27,193,153,80,121,49
2021년01월_계_40~49세,"4,161","1,251","1,264",86,110,91,105,129,84,326,232,126,284,73
2021년01월_계_50~59세,"6,681","1,517","1,930",173,239,183,203,268,161,586,464,200,577,180
2021년01월_계_60~69세,"7,649","1,371","2,280",226,289,222,206,348,184,778,602,260,665,218
2021년01월_계_70~79세,"6,636","1,001","2,004",202,258,221,231,319,181,736,521,200,547,215
2021년01월_계_80~89세,"4,731",660,"1,270",199,218,220,205,266,120,508,402,140,350,173
2021년01월_계_90~99세,735,80,210,39,28,29,27,40,18,80,74,14,60,36
2021년01월_계_100세 이상,39,8,16,0,1,1,1,1,1,1,5,0,3,1
2021년01월_남_총인구수,"19,702","4,516","5,798",535,699,564,581,804,456,"1,783","1,344",593,"1,506",523
2021년01월_남_연령구간인구수,"19,702","4,516","5,798",535,699,564,581,804,456,"1,783","1,344",593,"1,506",523
2021년01월_남_0~9세,919,362,273,14,18,12,26,26,9,61,32,30,43,13
2021년01월_남_10~19세,"1,319",401,437,26,38,28,36,47,22,94,66,28,78,18
2021년01월_남_20~29세,"1,669",533,456,39,46,36,36,57,26,131,86,63,118,42
2021년01월_남_30~39세,"1,342",410,414,33,47,26,31,40,20,98,81,43,68,31
2021년01월_남_40~49세,"2,381",635,724,54,69,55,70,75,54,205,146,74,171,49
2021년01월_남_50~59세,"3,723",809,"1,072",101,145,115,119,145,106,337,281,89,304,100
2021년01월_남_60~69세,"3,855",674,"1,119",124,159,112,108,197,97,381,290,132,352,110
2021년01월_남_70~79세,"2,842",439,850,92,104,105,89,135,81,309,219,89,238,92
2021년01월_남_80~89세,"1,489",236,406,43,70,64,62,71,38,152,124,45,120,58
2021년01월_남_90~99세,157,17,42,9,3,11,4,11,3,15,18,0,14,10
2021년01월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2021년01월_여_총인구수,"20,728","4,677","6,086",584,713,604,619,888,429,"1,933","1,441",647,"1,544",563
2021년01월_여_연령구간인구수,"20,728","4,677","6,086",584,713,604,619,888,429,"1,933","1,441",647,"1,544",563
2021년01월_여_0~9세,828,315,242,15,18,16,17,38,10,50,35,17,42,13
2021년01월_여_10~19세,"1,269",432,393,16,27,23,31,34,25,71,61,47,93,16
2021년01월_여_20~29세,"1,290",443,361,30,43,32,24,44,17,101,52,35,69,39
2021년01월_여_30~39세,"1,162",409,334,21,32,28,21,35,7,95,72,37,53,18
2021년01월_여_40~49세,"1,780",616,540,32,41,36,35,54,30,121,86,52,113,24
2021년01월_여_50~59세,"2,958",708,858,72,94,68,84,123,55,249,183,111,273,80
2021년01월_여_60~69세,"3,794",697,"1,161",102,130,110,98,151,87,397,312,128,313,108
2021년01월_여_70~79세,"3,794",562,"1,154",110,154,116,142,184,100,427,302,111,309,123
2021년01월_여_80~89세,"3,242",424,864,156,148,156,143,195,82,356,278,95,230,115
2021년01월_여_90~99세,578,63,168,30,25,18,23,29,15,65,56,14,46,26
2021년01월_여_100세 이상,33,8,11,0,1,1,1,1,1,1,4,0,3,1
