카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년07월_계_총인구수,"542,635","45,497","40,945","31,501","48,895","31,304","28,166","6,525","9,710","22,482","13,172","13,946","31,825","12,202","20,178","16,526","10,632","32,884","22,745","24,378","28,107","25,437","22,992","2,586"
2021년07월_계_연령구간인구수,"542,635","45,497","40,945","31,501","48,895","31,304","28,166","6,525","9,710","22,482","13,172","13,946","31,825","12,202","20,178","16,526","10,632","32,884","22,745","24,378","28,107","25,437","22,992","2,586"
2021년07월_계_0~9세,"48,301","4,377","2,271","3,784","6,457","4,705","3,220",331,426,"1,133",632,572,"2,677",615,"1,320",664,753,"2,558","1,803","2,377","2,794","2,291","2,021",520
2021년07월_계_10~19세,"56,306","4,428","3,420","4,405","6,530","3,991","2,141",367,725,"1,564",900,"1,192","2,967",852,"1,865","1,200",752,"3,381","2,778","3,523","3,268","2,672","3,170",215
2021년07월_계_20~29세,"71,584","6,326","6,442","3,938","5,624","3,396","3,391","1,047","1,550","3,143","1,693","2,068","4,147","1,733","2,833","2,328","1,263","4,672","2,831","2,760","3,815","3,214","3,200",170
2021년07월_계_30~39세,"78,172","7,998","4,877","5,600","7,976","5,617","4,718",902,"1,194","2,926","1,494","1,565","4,337","1,547","2,555","1,811","1,616","4,550","2,491","3,147","4,366","3,363","2,759",763
2021년07월_계_40~49세,"95,247","8,526","6,097","6,491","10,161","6,460","4,632",798,"1,276","3,168","1,845","2,007","4,986","1,804","2,937","2,239","1,545","5,764","4,380","5,473","5,395","4,461","4,299",503
2021년07월_계_50~59세,"93,621","7,015","8,512","4,234","6,758","4,066","4,587","1,544","2,197","4,559","2,687","2,878","5,861","2,482","3,924","3,336","1,919","5,882","4,086","3,776","4,650","4,496","3,928",244
2021년07월_계_60~69세,"62,197","4,292","5,667","2,020","3,695","2,204","3,503","1,079","1,555","3,760","2,381","2,258","4,554","1,918","3,046","2,966","1,764","3,726","2,331","1,851","2,367","3,017","2,122",121
2021년07월_계_70~79세,"24,721","1,764","2,267",674,"1,156",597,"1,344",285,499,"1,529","1,064",941,"1,619",851,"1,081","1,284",665,"1,573","1,334",983,936,"1,256",990,29
2021년07월_계_80~89세,"10,692",654,"1,181",314,456,218,525,130,255,596,407,408,575,363,520,601,301,684,644,418,446,550,430,16
2021년07월_계_90~99세,"1,715",114,200,40,78,49,101,35,29,100,67,55,97,34,94,94,52,87,64,67,69,112,73,4
2021년07월_계_100세 이상,79,3,11,1,4,1,4,7,4,4,2,2,5,3,3,3,2,7,3,3,1,5,0,1
2021년07월_남_총인구수,"274,060","23,161","20,850","15,708","24,283","15,521","14,161","3,423","4,848","11,573","6,866","7,067","15,881","6,484","9,840","8,406","5,489","16,991","11,569","12,346","13,979","12,976","11,328","1,310"
2021년07월_남_연령구간인구수,"274,060","23,161","20,850","15,708","24,283","15,521","14,161","3,423","4,848","11,573","6,866","7,067","15,881","6,484","9,840","8,406","5,489","16,991","11,569","12,346","13,979","12,976","11,328","1,310"
2021년07월_남_0~9세,"24,961","2,264","1,145","2,008","3,363","2,388","1,714",162,204,588,317,326,"1,356",320,687,343,376,"1,330",933,"1,237","1,428","1,154","1,044",274
2021년07월_남_10~19세,"28,842","2,325","1,767","2,206","3,355","2,022","1,121",189,381,819,488,579,"1,465",430,942,627,408,"1,707","1,434","1,829","1,670","1,393","1,585",100
2021년07월_남_20~29세,"37,138","3,263","3,474","1,921","2,820","1,709","1,724",587,802,"1,703",966,"1,118","2,156",937,"1,485","1,222",641,"2,463","1,518","1,421","1,882","1,650","1,596",80
2021년07월_남_30~39세,"39,972","4,111","2,646","2,796","3,722","2,647","2,334",489,656,"1,645",841,900,"2,183",898,"1,314","1,006",850,"2,498","1,284","1,545","2,175","1,706","1,344",382
2021년07월_남_40~49세,"48,710","4,472","3,124","3,162","5,025","3,241","2,467",458,657,"1,749","1,007","1,053","2,559","1,025","1,387","1,175",837,"2,999","2,210","2,718","2,686","2,328","2,104",267
2021년07월_남_50~59세,"47,416","3,527","4,287","2,194","3,398","2,021","2,250",783,"1,024","2,275","1,368","1,423","2,887","1,345","1,835","1,668",983,"3,087","2,184","2,113","2,372","2,296","1,973",123
2021년07월_남_60~69세,"31,634","2,126","2,960","1,021","1,875","1,150","1,744",574,830,"1,880","1,209","1,119","2,291","1,015","1,507","1,503",953,"1,933","1,145",875,"1,164","1,633","1,063",64
2021년07월_남_70~79세,"11,479",828,981,290,551,281,636,138,219,728,516,427,785,381,503,627,335,736,588,438,411,611,455,14
2021년07월_남_80~89세,"3,547",225,416,107,159,54,154,35,67,161,137,115,186,121,160,213,93,223,251,159,169,187,149,6
2021년07월_남_90~99세,338,18,47,3,15,7,16,5,5,23,17,7,12,10,19,22,13,14,21,11,21,17,15,0
2021년07월_남_100세 이상,23,2,3,0,0,1,1,3,3,2,0,0,1,2,1,0,0,1,1,0,1,1,0,0
2021년07월_여_총인구수,"268,575","22,336","20,095","15,793","24,612","15,783","14,005","3,102","4,862","10,909","6,306","6,879","15,944","5,718","10,338","8,120","5,143","15,893","11,176","12,032","14,128","12,461","11,664","1,276"
2021년07월_여_연령구간인구수,"268,575","22,336","20,095","15,793","24,612","15,783","14,005","3,102","4,862","10,909","6,306","6,879","15,944","5,718","10,338","8,120","5,143","15,893","11,176","12,032","14,128","12,461","11,664","1,276"
2021년07월_여_0~9세,"23,340","2,113","1,126","1,776","3,094","2,317","1,506",169,222,545,315,246,"1,321",295,633,321,377,"1,228",870,"1,140","1,366","1,137",977,246
2021년07월_여_10~19세,"27,464","2,103","1,653","2,199","3,175","1,969","1,020",178,344,745,412,613,"1,502",422,923,573,344,"1,674","1,344","1,694","1,598","1,279","1,585",115
2021년07월_여_20~29세,"34,446","3,063","2,968","2,017","2,804","1,687","1,667",460,748,"1,440",727,950,"1,991",796,"1,348","1,106",622,"2,209","1,313","1,339","1,933","1,564","1,604",90
2021년07월_여_30~39세,"38,200","3,887","2,231","2,804","4,254","2,970","2,384",413,538,"1,281",653,665,"2,154",649,"1,241",805,766,"2,052","1,207","1,602","2,191","1,657","1,415",381
2021년07월_여_40~49세,"46,537","4,054","2,973","3,329","5,136","3,219","2,165",340,619,"1,419",838,954,"2,427",779,"1,550","1,064",708,"2,765","2,170","2,755","2,709","2,133","2,195",236
2021년07월_여_50~59세,"46,205","3,488","4,225","2,040","3,360","2,045","2,337",761,"1,173","2,284","1,319","1,455","2,974","1,137","2,089","1,668",936,"2,795","1,902","1,663","2,278","2,200","1,955",121
2021년07월_여_60~69세,"30,563","2,166","2,707",999,"1,820","1,054","1,759",505,725,"1,880","1,172","1,139","2,263",903,"1,539","1,463",811,"1,793","1,186",976,"1,203","1,384","1,059",57
2021년07월_여_70~79세,"13,242",936,"1,286",384,605,316,708,147,280,801,548,514,834,470,578,657,330,837,746,545,525,645,535,15
2021년07월_여_80~89세,"7,145",429,765,207,297,164,371,95,188,435,270,293,389,242,360,388,208,461,393,259,277,363,281,10
2021년07월_여_90~99세,"1,377",96,153,37,63,42,85,30,24,77,50,48,85,24,75,72,39,73,43,56,48,95,58,4
2021년07월_여_100세 이상,56,1,8,1,4,0,3,4,1,2,2,2,4,1,2,3,2,6,2,3,0,4,0,1
