카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년01월_계_총인구수,"50,630","18,513","3,803","4,490",795,"3,313","3,497","4,358","2,408","2,114",228,"2,591",995,"2,705",820
2020년01월_계_연령구간인구수,"50,630","18,513","3,803","4,490",795,"3,313","3,497","4,358","2,408","2,114",228,"2,591",995,"2,705",820
2020년01월_계_0~9세,"3,330","1,542",221,355,51,99,129,213,128,72,10,150,40,278,42
2020년01월_계_10~19세,"3,790","1,819",197,386,56,141,228,275,105,109,9,161,55,215,34
2020년01월_계_20~29세,"3,844","1,849",243,295,38,189,228,284,134,131,10,165,70,159,49
2020년01월_계_30~39세,"4,398","1,932",310,432,86,227,225,290,144,152,9,185,59,286,61
2020년01월_계_40~49세,"6,362","2,783",444,577,117,340,417,430,236,182,28,294,100,317,97
2020년01월_계_50~59세,"8,370","3,200",611,698,135,551,608,632,403,373,32,372,172,433,150
2020년01월_계_60~69세,"8,275","2,642",731,608,149,707,613,731,484,393,35,450,159,438,135
2020년01월_계_70~79세,"7,564","1,807",645,667,122,654,619,929,486,385,49,492,193,358,158
2020년01월_계_80~89세,"4,176",830,351,425,36,361,386,507,256,281,41,296,128,198,80
2020년01월_계_90~99세,499,99,48,47,3,43,43,64,32,36,4,25,19,23,13
2020년01월_계_100세 이상,22,10,2,0,2,1,1,3,0,0,1,1,0,0,1
2020년01월_남_총인구수,"25,430","9,335","1,927","2,235",429,"1,653","1,787","2,117","1,225","1,047",116,"1,271",497,"1,368",423
2020년01월_남_연령구간인구수,"25,430","9,335","1,927","2,235",429,"1,653","1,787","2,117","1,225","1,047",116,"1,271",497,"1,368",423
2020년01월_남_0~9세,"1,717",820,108,168,24,55,60,108,81,31,8,72,19,143,20
2020년01월_남_10~19세,"1,949",924,100,210,31,68,121,138,47,58,5,80,33,112,22
2020년01월_남_20~29세,"2,246","1,064",140,168,27,103,143,165,82,92,9,97,45,88,23
2020년01월_남_30~39세,"2,411",971,184,245,53,150,125,153,84,102,3,108,35,157,41
2020년01월_남_40~49세,"3,722","1,484",296,335,79,206,267,253,154,106,20,194,63,193,72
2020년01월_남_50~59세,"4,568","1,667",348,386,74,307,358,358,228,210,18,205,98,231,80
2020년01월_남_60~69세,"4,107","1,298",375,313,69,339,298,359,243,201,20,214,78,234,66
2020년01월_남_70~79세,"3,293",817,267,274,61,315,270,393,210,150,22,202,85,156,71
2020년01월_남_80~89세,"1,327",275,100,129,11,105,135,178,88,89,11,93,36,50,27
2020년01월_남_90~99세,88,14,9,7,0,5,10,12,8,8,0,5,5,4,1
2020년01월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020년01월_여_총인구수,"25,200","9,178","1,876","2,255",366,"1,660","1,710","2,241","1,183","1,067",112,"1,320",498,"1,337",397
2020년01월_여_연령구간인구수,"25,200","9,178","1,876","2,255",366,"1,660","1,710","2,241","1,183","1,067",112,"1,320",498,"1,337",397
2020년01월_여_0~9세,"1,613",722,113,187,27,44,69,105,47,41,2,78,21,135,22
2020년01월_여_10~19세,"1,841",895,97,176,25,73,107,137,58,51,4,81,22,103,12
2020년01월_여_20~29세,"1,598",785,103,127,11,86,85,119,52,39,1,68,25,71,26
2020년01월_여_30~39세,"1,987",961,126,187,33,77,100,137,60,50,6,77,24,129,20
2020년01월_여_40~49세,"2,640","1,299",148,242,38,134,150,177,82,76,8,100,37,124,25
2020년01월_여_50~59세,"3,802","1,533",263,312,61,244,250,274,175,163,14,167,74,202,70
2020년01월_여_60~69세,"4,168","1,344",356,295,80,368,315,372,241,192,15,236,81,204,69
2020년01월_여_70~79세,"4,271",990,378,393,61,339,349,536,276,235,27,290,108,202,87
2020년01월_여_80~89세,"2,849",555,251,296,25,256,251,329,168,192,30,203,92,148,53
2020년01월_여_90~99세,411,85,39,40,3,38,33,52,24,28,4,20,14,19,12
2020년01월_여_100세 이상,20,9,2,0,2,1,1,3,0,0,1,0,0,0,1
