,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년11월_계_총인구수,"36,937","10,761","4,730","4,826","1,857","1,663","3,299","2,561","3,534","1,684","2,022"
2020년11월_계_연령구간인구수,"36,937","10,761","4,730","4,826","1,857","1,663","3,299","2,561","3,534","1,684","2,022"
2020년11월_계_0~9세,"1,746",639,255,299,71,37,152,106,103,35,49
2020년11월_계_10~19세,"2,559","1,020",238,381,128,105,178,166,153,94,96
2020년11월_계_20~29세,"2,837","1,023",341,403,118,116,226,172,204,115,119
2020년11월_계_30~39세,"3,104",939,710,485,93,98,296,144,173,67,99
2020년11월_계_40~49세,"4,982","1,680",730,747,212,176,447,297,319,178,196
2020년11월_계_50~59세,"7,028","1,937",776,925,381,327,649,511,747,381,394
2020년11월_계_60~69세,"7,526","1,773",872,918,415,369,784,550,880,428,537
2020년11월_계_70~79세,"4,536","1,100",557,476,280,270,376,349,553,242,333
2020년11월_계_80~89세,"2,218",526,211,171,145,130,167,223,346,122,177
2020년11월_계_90~99세,351,109,31,15,14,24,22,41,53,21,21
2020년11월_계_100세 이상,50,15,9,6,0,11,2,2,3,1,1
2020년11월_남_총인구수,"19,199","5,479","2,496","2,548",961,825,"1,762","1,285","1,875",906,"1,062"
2020년11월_남_연령구간인구수,"19,199","5,479","2,496","2,548",961,825,"1,762","1,285","1,875",906,"1,062"
2020년11월_남_0~9세,902,333,127,157,34,14,78,55,51,21,32
2020년11월_남_10~19세,"1,324",535,112,199,65,55,89,82,86,52,49
2020년11월_남_20~29세,"1,616",584,186,233,69,68,131,104,107,70,64
2020년11월_남_30~39세,"1,741",492,416,257,52,59,181,78,106,40,60
2020년11월_남_40~49세,"2,898",880,450,421,135,107,280,171,207,111,136
2020년11월_남_50~59세,"3,847","1,044",434,517,208,184,336,278,421,226,199
2020년11월_남_60~69세,"3,962",929,414,470,233,182,435,277,491,236,295
2020년11월_남_70~79세,"2,035",484,255,220,109,104,175,156,264,109,159
2020년11월_남_80~89세,776,176,87,68,52,39,51,73,128,39,63
2020년11월_남_90~99세,78,18,12,2,4,6,5,10,14,2,5
2020년11월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년11월_여_총인구수,"17,738","5,282","2,234","2,278",896,838,"1,537","1,276","1,659",778,960
2020년11월_여_연령구간인구수,"17,738","5,282","2,234","2,278",896,838,"1,537","1,276","1,659",778,960
2020년11월_여_0~9세,844,306,128,142,37,23,74,51,52,14,17
2020년11월_여_10~19세,"1,235",485,126,182,63,50,89,84,67,42,47
2020년11월_여_20~29세,"1,221",439,155,170,49,48,95,68,97,45,55
2020년11월_여_30~39세,"1,363",447,294,228,41,39,115,66,67,27,39
2020년11월_여_40~49세,"2,084",800,280,326,77,69,167,126,112,67,60
2020년11월_여_50~59세,"3,181",893,342,408,173,143,313,233,326,155,195
2020년11월_여_60~69세,"3,564",844,458,448,182,187,349,273,389,192,242
2020년11월_여_70~79세,"2,501",616,302,256,171,166,201,193,289,133,174
2020년11월_여_80~89세,"1,442",350,124,103,93,91,116,150,218,83,114
2020년11월_여_90~99세,273,91,19,13,10,18,17,31,39,19,16
2020년11월_여_100세 이상,30,11,6,2,0,4,1,1,3,1,1
