,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년06월_계_총인구수,"81,620","10,768","6,582","5,627","34,210","3,135","6,420","4,744","2,042","5,076","3,016"
2020년06월_계_연령구간인구수,"81,620","10,768","6,582","5,627","34,210","3,135","6,420","4,744","2,042","5,076","3,016"
2020년06월_계_0~9세,"7,080",757,278,188,"5,178",48,223,119,62,136,91
2020년06월_계_10~19세,"8,796","1,132",400,320,"5,561",154,455,221,93,278,182
2020년06월_계_20~29세,"8,299","1,318",546,515,"3,846",239,702,331,165,377,260
2020년06월_계_30~39세,"9,311","1,023",417,365,"6,084",151,455,259,130,252,175
2020년06월_계_40~49세,"12,695","1,538",747,619,"7,334",272,720,454,202,521,288
2020년06월_계_50~59세,"12,425","1,863","1,194","1,172","3,708",594,"1,144",907,363,881,599
2020년06월_계_60~69세,"10,478","1,556","1,246","1,138","1,556",597,"1,231",997,486,"1,038",633
2020년06월_계_70~79세,"7,791","1,050","1,073",804,642,590,888,905,359,978,502
2020년06월_계_80~89세,"4,138",480,601,429,261,436,513,477,145,541,255
2020년06월_계_90~99세,571,51,78,71,38,53,73,73,34,72,28
2020년06월_계_100세 이상,36,0,2,6,2,1,16,1,3,2,3
2020년06월_남_총인구수,"40,940","5,372","3,318","2,954","16,869","1,558","3,306","2,387","1,058","2,562","1,556"
2020년06월_남_연령구간인구수,"40,940","5,372","3,318","2,954","16,869","1,558","3,306","2,387","1,058","2,562","1,556"
2020년06월_남_0~9세,"3,610",394,155,97,"2,612",20,116,66,34,75,41
2020년06월_남_10~19세,"4,514",598,207,154,"2,855",87,228,100,49,145,91
2020년06월_남_20~29세,"4,467",751,307,295,"1,900",136,419,187,93,243,136
2020년06월_남_30~39세,"4,789",542,252,217,"2,883",109,259,172,85,148,122
2020년06월_남_40~49세,"6,740",779,459,369,"3,593",168,430,309,131,325,177
2020년06월_남_50~59세,"6,821",971,672,682,"1,958",347,640,513,196,483,359
2020년06월_남_60~69세,"5,220",748,599,614,724,303,650,494,247,518,323
2020년06월_남_70~79세,"3,440",438,477,387,270,255,397,384,164,444,224
2020년06월_남_80~89세,"1,244",144,175,127,69,122,160,149,53,172,73
2020년06월_남_90~99세,91,7,15,11,4,11,7,13,6,9,8
2020년06월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년06월_여_총인구수,"40,680","5,396","3,264","2,673","17,341","1,577","3,114","2,357",984,"2,514","1,460"
2020년06월_여_연령구간인구수,"40,680","5,396","3,264","2,673","17,341","1,577","3,114","2,357",984,"2,514","1,460"
2020년06월_여_0~9세,"3,470",363,123,91,"2,566",28,107,53,28,61,50
2020년06월_여_10~19세,"4,282",534,193,166,"2,706",67,227,121,44,133,91
2020년06월_여_20~29세,"3,832",567,239,220,"1,946",103,283,144,72,134,124
2020년06월_여_30~39세,"4,522",481,165,148,"3,201",42,196,87,45,104,53
2020년06월_여_40~49세,"5,955",759,288,250,"3,741",104,290,145,71,196,111
2020년06월_여_50~59세,"5,604",892,522,490,"1,750",247,504,394,167,398,240
2020년06월_여_60~69세,"5,258",808,647,524,832,294,581,503,239,520,310
2020년06월_여_70~79세,"4,351",612,596,417,372,335,491,521,195,534,278
2020년06월_여_80~89세,"2,894",336,426,302,192,314,353,328,92,369,182
2020년06월_여_90~99세,480,44,63,60,34,42,66,60,28,63,20
2020년06월_여_100세 이상,32,0,2,5,1,1,16,1,3,2,1
