카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년10월_계_총인구수,"63,923","19,645","11,937","3,686","2,332","1,536","2,339","2,811","1,411","1,820","1,140","1,657","2,854","2,713","3,109","2,832","2,101"
2021년10월_계_연령구간인구수,"63,923","19,645","11,937","3,686","2,332","1,536","2,339","2,811","1,411","1,820","1,140","1,657","2,854","2,713","3,109","2,832","2,101"
2021년10월_계_0~9세,"2,720",974,909,94,42,45,55,87,20,40,19,34,99,66,83,97,56
2021년10월_계_10~19세,"4,438","1,778","1,151",192,109,53,138,142,55,77,29,48,131,100,132,210,93
2021년10월_계_20~29세,"5,048","2,037","1,303",212,109,61,116,167,62,88,49,64,156,151,165,208,100
2021년10월_계_30~39세,"4,141","1,506","1,154",170,92,75,115,124,49,66,52,56,135,134,165,129,119
2021년10월_계_40~49세,"6,798","2,486","1,686",323,173,101,208,252,94,143,65,107,235,218,260,288,159
2021년10월_계_50~59세,"10,325","3,518","1,924",595,372,240,353,403,203,221,173,203,409,392,501,501,317
2021년10월_계_60~69세,"13,540","3,708","1,856",977,601,398,504,656,369,432,309,437,652,625,770,660,586
2021년10월_계_70~79세,"9,334","2,220","1,095",609,469,307,447,566,296,374,228,344,585,507,563,393,331
2021년10월_계_80~89세,"6,508","1,208",746,456,312,220,340,364,224,318,187,311,382,445,408,302,285
2021년10월_계_90~99세,"1,033",205,108,52,49,36,61,47,38,59,29,51,68,74,61,42,53
2021년10월_계_100세 이상,38,5,5,6,4,0,2,3,1,2,0,2,2,1,1,2,2
2021년10월_남_총인구수,"31,754","9,777","5,894","1,858","1,147",762,"1,149","1,355",681,881,575,787,"1,412","1,364","1,582","1,471","1,059"
2021년10월_남_연령구간인구수,"31,754","9,777","5,894","1,858","1,147",762,"1,149","1,355",681,881,575,787,"1,412","1,364","1,582","1,471","1,059"
2021년10월_남_0~9세,"1,452",517,484,56,23,24,31,46,12,22,9,16,46,39,39,53,35
2021년10월_남_10~19세,"2,350",942,598,89,71,31,66,76,23,41,22,27,70,61,69,116,48
2021년10월_남_20~29세,"2,917","1,207",682,132,70,38,72,101,38,56,26,35,95,85,98,119,63
2021년10월_남_30~39세,"2,252",777,568,109,58,44,70,73,37,37,34,33,80,80,100,82,70
2021년10월_남_40~49세,"3,691","1,271",863,183,95,60,127,130,53,90,38,58,138,152,165,167,101
2021년10월_남_50~59세,"5,469","1,795","1,021",316,199,120,181,215,113,121,100,112,234,209,262,295,176
2021년10월_남_60~69세,"6,806","1,786",911,508,291,223,257,314,178,219,152,222,329,341,410,350,315
2021년10월_남_70~79세,"4,239","1,011",480,285,212,141,208,248,146,160,110,156,264,224,272,176,146
2021년10월_남_80~89세,"2,322",427,263,162,119,72,121,140,73,119,78,117,138,152,148,101,92
2021년10월_남_90~99세,252,43,24,17,9,9,16,12,8,15,6,11,18,21,19,11,13
2021년10월_남_100세 이상,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년10월_여_총인구수,"32,169","9,868","6,043","1,828","1,185",774,"1,190","1,456",730,939,565,870,"1,442","1,349","1,527","1,361","1,042"
2021년10월_여_연령구간인구수,"32,169","9,868","6,043","1,828","1,185",774,"1,190","1,456",730,939,565,870,"1,442","1,349","1,527","1,361","1,042"
2021년10월_여_0~9세,"1,268",457,425,38,19,21,24,41,8,18,10,18,53,27,44,44,21
2021년10월_여_10~19세,"2,088",836,553,103,38,22,72,66,32,36,7,21,61,39,63,94,45
2021년10월_여_20~29세,"2,131",830,621,80,39,23,44,66,24,32,23,29,61,66,67,89,37
2021년10월_여_30~39세,"1,889",729,586,61,34,31,45,51,12,29,18,23,55,54,65,47,49
2021년10월_여_40~49세,"3,107","1,215",823,140,78,41,81,122,41,53,27,49,97,66,95,121,58
2021년10월_여_50~59세,"4,856","1,723",903,279,173,120,172,188,90,100,73,91,175,183,239,206,141
2021년10월_여_60~69세,"6,734","1,922",945,469,310,175,247,342,191,213,157,215,323,284,360,310,271
2021년10월_여_70~79세,"5,095","1,209",615,324,257,166,239,318,150,214,118,188,321,283,291,217,185
2021년10월_여_80~89세,"4,186",781,483,294,193,148,219,224,151,199,109,194,244,293,260,201,193
2021년10월_여_90~99세,781,162,84,35,40,27,45,35,30,44,23,40,50,53,42,31,40
2021년10월_여_100세 이상,34,4,5,5,4,0,2,3,1,1,0,2,2,1,1,1,2
