카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년08월_계_총인구수,"99,984","38,344","8,535","28,521","3,501","3,457","2,956","2,316","2,116","3,260","3,513","3,465"
2020년08월_계_연령구간인구수,"99,984","38,344","8,535","28,521","3,501","3,457","2,956","2,316","2,116","3,260","3,513","3,465"
2020년08월_계_0~9세,"7,902","2,563",292,"4,413",103,131,80,46,26,80,76,92
2020년08월_계_10~19세,"9,627","4,399",462,"3,656",135,229,119,71,64,150,157,185
2020년08월_계_20~29세,"9,648","4,854",611,"2,712",228,235,149,120,118,211,189,221
2020년08월_계_30~39세,"10,638","3,676",487,"5,181",215,191,144,100,97,146,201,200
2020년08월_계_40~49세,"14,600","6,164",831,"5,432",334,371,239,167,134,293,281,354
2020년08월_계_50~59세,"15,889","6,806","1,488","3,352",651,589,466,390,367,569,573,638
2020년08월_계_60~69세,"14,413","5,047","1,819","2,018",764,698,631,537,513,762,840,784
2020년08월_계_70~79세,"10,034","3,046","1,566","1,059",584,538,584,462,427,593,616,559
2020년08월_계_80~89세,"6,320","1,553",846,613,425,428,493,353,324,394,506,385
2020년08월_계_90~99세,853,220,112,82,61,45,49,69,46,55,69,45
2020년08월_계_100세 이상,60,16,21,3,1,2,2,1,0,7,5,2
2020년08월_남_총인구수,"49,715","18,987","4,183","14,276","1,785","1,748","1,426","1,170","1,029","1,612","1,754","1,745"
2020년08월_남_연령구간인구수,"49,715","18,987","4,183","14,276","1,785","1,748","1,426","1,170","1,029","1,612","1,754","1,745"
2020년08월_남_0~9세,"4,120","1,309",159,"2,310",59,75,41,26,12,37,44,48
2020년08월_남_10~19세,"4,890","2,237",246,"1,852",74,117,61,34,26,68,82,93
2020년08월_남_20~29세,"5,325","2,683",364,"1,367",138,157,87,79,79,128,112,131
2020년08월_남_30~39세,"5,516","1,909",287,"2,554",133,105,85,68,63,86,124,102
2020년08월_남_40~49세,"7,623","3,009",483,"2,756",213,212,155,107,89,196,187,216
2020년08월_남_50~59세,"8,282","3,483",759,"1,757",357,314,256,222,189,288,304,353
2020년08월_남_60~69세,"7,057","2,391",863,978,394,365,308,271,249,390,437,411
2020년08월_남_70~79세,"4,476","1,363",687,489,258,249,244,219,193,264,254,256
2020년08월_남_80~89세,"2,191",534,294,198,144,147,177,126,121,139,187,124
2020년08월_남_90~99세,216,62,35,15,14,7,11,18,8,14,21,11
2020년08월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2020년08월_여_총인구수,"50,269","19,357","4,352","14,245","1,716","1,709","1,530","1,146","1,087","1,648","1,759","1,720"
2020년08월_여_연령구간인구수,"50,269","19,357","4,352","14,245","1,716","1,709","1,530","1,146","1,087","1,648","1,759","1,720"
2020년08월_여_0~9세,"3,782","1,254",133,"2,103",44,56,39,20,14,43,32,44
2020년08월_여_10~19세,"4,737","2,162",216,"1,804",61,112,58,37,38,82,75,92
2020년08월_여_20~29세,"4,323","2,171",247,"1,345",90,78,62,41,39,83,77,90
2020년08월_여_30~39세,"5,122","1,767",200,"2,627",82,86,59,32,34,60,77,98
2020년08월_여_40~49세,"6,977","3,155",348,"2,676",121,159,84,60,45,97,94,138
2020년08월_여_50~59세,"7,607","3,323",729,"1,595",294,275,210,168,178,281,269,285
2020년08월_여_60~69세,"7,356","2,656",956,"1,040",370,333,323,266,264,372,403,373
2020년08월_여_70~79세,"5,558","1,683",879,570,326,289,340,243,234,329,362,303
2020년08월_여_80~89세,"4,129","1,019",552,415,281,281,316,227,203,255,319,261
2020년08월_여_90~99세,637,158,77,67,47,38,38,51,38,41,48,34
2020년08월_여_100세 이상,41,9,15,3,0,2,1,1,0,5,3,2
