카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년05월_계_총인구수,"68,832","34,804","4,613","2,406","2,385","3,772","3,921","5,983","3,791","3,914","3,243"
2020년05월_계_연령구간인구수,"68,832","34,804","4,613","2,406","2,385","3,772","3,921","5,983","3,791","3,914","3,243"
2020년05월_계_0~9세,"3,882","2,748",127,39,49,134,91,361,92,124,117
2020년05월_계_10~19세,"5,327","3,667",160,115,108,206,161,423,138,187,162
2020년05월_계_20~29세,"6,570","4,028",354,149,125,277,248,665,257,286,181
2020년05월_계_30~39세,"6,232","4,017",317,95,99,210,201,570,251,269,203
2020년05월_계_40~49세,"8,380","5,373",392,166,199,338,350,560,361,346,295
2020년05월_계_50~59세,"12,976","6,039",857,475,501,831,795,"1,039",769,871,799
2020년05월_계_60~69세,"13,225","4,842","1,186",649,666,917,"1,060","1,153","1,021",917,814
2020년05월_계_70~79세,"7,325","2,534",711,420,379,492,601,688,556,522,422
2020년05월_계_80~89세,"4,271","1,347",423,256,234,322,369,466,292,347,215
2020년05월_계_90~99세,603,193,82,42,25,41,38,57,51,40,34
2020년05월_계_100세 이상,41,16,4,0,0,4,7,1,3,5,1
2020년05월_남_총인구수,"35,290","17,514","2,409","1,207","1,249","1,929","2,027","3,173","1,995","2,061","1,726"
2020년05월_남_연령구간인구수,"35,290","17,514","2,409","1,207","1,249","1,929","2,027","3,173","1,995","2,061","1,726"
2020년05월_남_0~9세,"1,949","1,359",59,23,31,71,46,190,45,63,62
2020년05월_남_10~19세,"2,754","1,887",87,66,66,107,95,183,75,102,86
2020년05월_남_20~29세,"3,887","2,294",224,88,69,174,145,471,151,165,106
2020년05월_남_30~39세,"3,392","2,116",193,49,62,107,113,325,159,158,110
2020년05월_남_40~49세,"4,501","2,716",245,95,127,193,210,321,217,210,167
2020년05월_남_50~59세,"6,807","3,120",462,246,254,425,426,554,399,472,449
2020년05월_남_60~69세,"6,871","2,424",622,338,352,482,542,621,554,503,433
2020년05월_남_70~79세,"3,461","1,087",358,191,204,246,312,328,269,252,214
2020년05월_남_80~89세,"1,488",460,132,100,77,110,126,164,107,124,88
2020년05월_남_90~99세,171,50,24,11,7,13,11,16,19,10,10
2020년05월_남_100세 이상,9,1,3,0,0,1,1,0,0,2,1
2020년05월_여_총인구수,"33,542","17,290","2,204","1,199","1,136","1,843","1,894","2,810","1,796","1,853","1,517"
2020년05월_여_연령구간인구수,"33,542","17,290","2,204","1,199","1,136","1,843","1,894","2,810","1,796","1,853","1,517"
2020년05월_여_0~9세,"1,933","1,389",68,16,18,63,45,171,47,61,55
2020년05월_여_10~19세,"2,573","1,780",73,49,42,99,66,240,63,85,76
2020년05월_여_20~29세,"2,683","1,734",130,61,56,103,103,194,106,121,75
2020년05월_여_30~39세,"2,840","1,901",124,46,37,103,88,245,92,111,93
2020년05월_여_40~49세,"3,879","2,657",147,71,72,145,140,239,144,136,128
2020년05월_여_50~59세,"6,169","2,919",395,229,247,406,369,485,370,399,350
2020년05월_여_60~69세,"6,354","2,418",564,311,314,435,518,532,467,414,381
2020년05월_여_70~79세,"3,864","1,447",353,229,175,246,289,360,287,270,208
2020년05월_여_80~89세,"2,783",887,291,156,157,212,243,302,185,223,127
2020년05월_여_90~99세,432,143,58,31,18,28,27,41,32,30,24
2020년05월_여_100세 이상,32,15,1,0,0,3,6,1,3,3,0
