,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년05월_계_총인구수,"263,286","25,896","36,308","21,018","6,118","5,610","3,391","3,792","3,064","10,193","6,673","20,437","37,302","30,096","16,134","37,254"
2020년05월_계_연령구간인구수,"263,286","25,896","36,308","21,018","6,118","5,610","3,391","3,792","3,064","10,193","6,673","20,437","37,302","30,096","16,134","37,254"
2020년05월_계_0~9세,"21,228","1,755","2,548","2,435",188,159,82,114,98,616,246,"2,117","3,075","3,355","1,068","3,372"
2020년05월_계_10~19세,"23,076","2,849","3,723","1,164",304,256,114,166,118,609,426,"2,031","4,107","2,303",852,"4,054"
2020년05월_계_20~29세,"35,998","3,825","5,338","3,227",559,492,218,275,266,"1,625","1,041","2,146","4,524","3,822","3,648","4,992"
2020년05월_계_30~39세,"33,881","2,639","4,046","4,224",512,428,213,244,203,"1,236",690,"2,889","4,238","4,672","2,835","4,812"
2020년05월_계_40~49세,"41,658","4,124","6,512","2,978",675,646,280,407,303,"1,354",859,"3,548","6,597","4,572","2,246","6,557"
2020년05월_계_50~59세,"44,764","4,265","6,827","2,844","1,215","1,103",640,750,615,"1,967","1,309","3,060","6,324","5,121","2,447","6,277"
2020년05월_계_60~69세,"33,552","3,231","3,841","2,247","1,369","1,228",829,846,688,"1,702","1,099","2,479","4,668","3,505","1,742","4,078"
2020년05월_계_70~79세,"19,026","2,065","2,240","1,222",797,806,593,553,480,741,642,"1,483","2,546","1,913",871,"2,074"
2020년05월_계_80~89세,"9,019","1,024","1,130",605,440,436,369,378,246,309,325,601,"1,093",753,382,928
2020년05월_계_90~99세,"1,017",107,96,67,53,54,51,58,45,32,33,75,124,76,39,107
2020년05월_계_100세 이상,67,12,7,5,6,2,2,1,2,2,3,8,6,4,4,3
2020년05월_남_총인구수,"132,603","13,027","18,854","11,158","3,263","2,858","1,778","1,968","1,562","4,932","3,321","10,033","17,904","14,494","8,791","18,660"
2020년05월_남_연령구간인구수,"132,603","13,027","18,854","11,158","3,263","2,858","1,778","1,968","1,562","4,932","3,321","10,033","17,904","14,494","8,791","18,660"
2020년05월_남_0~9세,"10,841",934,"1,307","1,284",107,80,44,58,51,287,136,"1,067","1,501","1,681",560,"1,744"
2020년05월_남_10~19세,"12,027","1,501","1,910",611,163,131,59,90,70,332,229,"1,105","2,020","1,155",463,"2,188"
2020년05월_남_20~29세,"19,774","2,140","3,006","1,796",328,287,141,162,166,855,576,"1,164","2,345","2,010","2,031","2,767"
2020년05월_남_30~39세,"18,125","1,440","2,297","2,375",294,269,140,146,110,622,395,"1,441","2,079","2,314","1,732","2,471"
2020년05월_남_40~49세,"21,311","2,019","3,340","1,719",405,392,180,242,183,647,429,"1,784","3,207","2,216","1,303","3,245"
2020년05월_남_50~59세,"22,514","2,201","3,669","1,464",685,557,358,431,335,926,658,"1,460","3,035","2,354","1,289","3,092"
2020년05월_남_60~69세,"16,365","1,550","1,976","1,137",732,633,453,460,338,822,532,"1,141","2,210","1,593",842,"1,946"
2020년05월_남_70~79세,"8,310",855,948,547,387,357,275,253,225,337,251,626,"1,080",849,432,888
2020년05월_남_80~89세,"3,105",363,372,211,149,143,119,114,69,98,107,225,399,302,132,302
2020년05월_남_90~99세,220,22,29,14,10,9,9,12,13,6,8,18,28,19,6,17
2020년05월_남_100세 이상,11,2,0,0,3,0,0,0,2,0,0,2,0,1,1,0
2020년05월_여_총인구수,"130,683","12,869","17,454","9,860","2,855","2,752","1,613","1,824","1,502","5,261","3,352","10,404","19,398","15,602","7,343","18,594"
2020년05월_여_연령구간인구수,"130,683","12,869","17,454","9,860","2,855","2,752","1,613","1,824","1,502","5,261","3,352","10,404","19,398","15,602","7,343","18,594"
2020년05월_여_0~9세,"10,387",821,"1,241","1,151",81,79,38,56,47,329,110,"1,050","1,574","1,674",508,"1,628"
2020년05월_여_10~19세,"11,049","1,348","1,813",553,141,125,55,76,48,277,197,926,"2,087","1,148",389,"1,866"
2020년05월_여_20~29세,"16,224","1,685","2,332","1,431",231,205,77,113,100,770,465,982,"2,179","1,812","1,617","2,225"
2020년05월_여_30~39세,"15,756","1,199","1,749","1,849",218,159,73,98,93,614,295,"1,448","2,159","2,358","1,103","2,341"
2020년05월_여_40~49세,"20,347","2,105","3,172","1,259",270,254,100,165,120,707,430,"1,764","3,390","2,356",943,"3,312"
2020년05월_여_50~59세,"22,250","2,064","3,158","1,380",530,546,282,319,280,"1,041",651,"1,600","3,289","2,767","1,158","3,185"
2020년05월_여_60~69세,"17,187","1,681","1,865","1,110",637,595,376,386,350,880,567,"1,338","2,458","1,912",900,"2,132"
2020년05월_여_70~79세,"10,716","1,210","1,292",675,410,449,318,300,255,404,391,857,"1,466","1,064",439,"1,186"
2020년05월_여_80~89세,"5,914",661,758,394,291,293,250,264,177,211,218,376,694,451,250,626
2020년05월_여_90~99세,797,85,67,53,43,45,42,46,32,26,25,57,96,57,33,90
2020년05월_여_100세 이상,56,10,7,5,3,2,2,1,0,2,3,6,6,3,3,3
